chrom,start,end,num,list,ENCFF042YRF_RAD21_sorted.bed,ENCFF128EFJ_RAD21_sorted.bed,ENCFF144YNR_RAD21_sorted.bed,ENCFF265WWW_RAD21_sorted.bed,ENCFF407MXA_RAD21_sorted.bed,ENCFF710DZU_RAD21_sorted.bed,ENCFF758ASL_RAD21_sorted.bed,ENCFF961ADY_RAD21_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778680,778728,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,778728,778765,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,778765,778819,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,778819,778830,5,"1,2,5,6,9",1,1,0,0,1,1,0,0,1
chr1,778830,778831,6,"1,2,5,6,7,9",1,1,0,0,1,1,1,0,1
chr1,778831,778901,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,778901,778987,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,778987,778999,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,778999,779007,4,"1,2,6,9",1,1,0,0,0,1,0,0,1
chr1,1019337,1019363,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1019363,1019519,3,"4,5,9",0,0,0,1,1,0,0,0,1
chr1,1019519,1019521,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1059329,1059513,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1349330,1349514,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1349693,1349701,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,1349701,1349789,3,"2,7,9",0,1,0,0,0,0,1,0,1
chr1,1349821,1349874,3,"2,7,9",0,1,0,0,0,0,1,0,1
chr1,1349874,1349877,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,1349877,1349884,5,"2,4,5,7,9",0,1,0,1,1,0,1,0,1
chr1,1349884,1349960,6,"2,4,5,6,7,9",0,1,0,1,1,1,1,0,1
chr1,1349960,1349969,5,"2,4,6,7,9",0,1,0,1,0,1,1,0,1
chr1,1349969,1350012,4,"2,4,7,9",0,1,0,1,0,0,1,0,1
chr1,1375152,1375182,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1375182,1375366,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1375366,1375476,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,1399405,1399462,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,1399462,1399678,3,"2,7,9",0,1,0,0,0,0,1,0,1
chr1,1407271,1407588,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1440940,1440953,3,"1,7,9",1,0,0,0,0,0,1,0,1
chr1,1440953,1440959,4,"1,2,7,9",1,1,0,0,0,0,1,0,1
chr1,1440959,1440982,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
chr1,1440982,1440990,6,"1,2,5,6,7,9",1,1,0,0,1,1,1,0,1
chr1,1440990,1441132,7,"1,2,4,5,6,7,9",1,1,0,1,1,1,1,0,1
chr1,1441132,1441146,6,"1,2,4,6,7,9",1,1,0,1,0,1,1,0,1
chr1,1441146,1441179,5,"1,2,6,7,9",1,1,0,0,0,1,1,0,1
