chrom,start,end,num,list,ENCFF042WXA_CTCF_sorted.bed,ENCFF090ZJH_CTCF_sorted.bed,ENCFF153CDM_CTCF_sorted.bed,ENCFF179UDP_CTCF_sorted.bed,ENCFF374VTS_CTCF_sorted.bed,ENCFF406IQL_CTCF_sorted.bed,ENCFF447AYX_CTCF_sorted.bed,ENCFF697VGB_CTCF_sorted.bed,ENCFF770ZIZ_CTCF_sorted.bed,ENCFF933UDR_CTCF_sorted.bed,ENCFF942DXM_CTCF_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778693,778700,2,"6,12",0,0,0,0,0,1,0,0,0,0,0,1
chr1,778700,778715,3,"6,8,12",0,0,0,0,0,1,0,1,0,0,0,1
chr1,778715,778726,4,"6,8,10,12",0,0,0,0,0,1,0,1,0,1,0,1
chr1,778726,778761,5,"5,6,8,10,12",0,0,0,0,1,1,0,1,0,1,0,1
chr1,778761,778783,6,"4,5,6,8,10,12",0,0,0,1,1,1,0,1,0,1,0,1
chr1,778783,778789,7,"2,4,5,6,8,10,12",0,1,0,1,1,1,0,1,0,1,0,1
chr1,778789,778791,8,"1,2,4,5,6,8,10,12",1,1,0,1,1,1,0,1,0,1,0,1
chr1,778791,778792,9,"1,2,3,4,5,6,8,10,12",1,1,1,1,1,1,0,1,0,1,0,1
chr1,778792,778793,10,"1,2,3,4,5,6,8,9,10,12",1,1,1,1,1,1,0,1,1,1,0,1
chr1,778793,778824,11,"1,2,3,4,5,6,8,9,10,11,12",1,1,1,1,1,1,0,1,1,1,1,1
chr1,778824,778900,12,"1,2,3,4,5,6,7,8,9,10,11,12",1,1,1,1,1,1,1,1,1,1,1,1
chr1,778900,778916,11,"1,2,3,4,5,6,7,9,10,11,12",1,1,1,1,1,1,1,0,1,1,1,1
chr1,778916,778917,10,"1,2,3,4,5,6,7,9,10,12",1,1,1,1,1,1,1,0,1,1,0,1
