chrom,start,end,num,list,ENCFF304EAE_SIN3A_sorted.bed,ENCFF544UFD_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,905139,905576,2,"1,3",1,0,1
chr1,959112,959502,2,"2,3",0,1,1
chr1,1013238,1013688,2,"2,3",0,1,1
chr1,1212847,1213266,2,"2,3",0,1,1
chr1,1231605,1232317,2,"1,3",1,0,1
chr1,1307895,1308269,3,"1,2,3",1,1,1
chr1,1308269,1308578,2,"1,3",1,0,1
chr1,1308593,1308743,2,"1,3",1,0,1
chr1,1324438,1324888,2,"2,3",0,1,1
chr1,1349465,1349915,2,"2,3",0,1,1
chr1,1375069,1375703,2,"1,3",1,0,1
chr1,1399038,1399234,2,"2,3",0,1,1
chr1,1399234,1399418,3,"1,2,3",1,1,1
chr1,1399418,1399469,2,"1,3",1,0,1
chr1,1399469,1399738,3,"1,2,3",1,1,1
chr1,1399738,1399891,2,"2,3",0,1,1
chr1,1406952,1407153,2,"1,3",1,0,1
chr1,1407153,1407603,3,"1,2,3",1,1,1
chr1,1407603,1407659,2,"1,3",1,0,1
chr1,1471426,1471519,2,"1,3",1,0,1
chr1,1471519,1471930,3,"1,2,3",1,1,1
chr1,1471930,1471969,2,"2,3",0,1,1
chr1,1511782,1512232,2,"2,3",0,1,1
chr1,1574695,1574734,2,"1,3",1,0,1
chr1,1574734,1575184,3,"1,2,3",1,1,1
chr1,1575184,1575199,2,"1,3",1,0,1
chr1,1615145,1615519,2,"2,3",0,1,1
chr1,1630138,1630642,2,"1,3",1,0,1
chr1,1724090,1724191,2,"1,3",1,0,1
chr1,1724191,1724594,3,"1,2,3",1,1,1
chr1,1724594,1724641,2,"2,3",0,1,1
chr1,1890973,1891356,2,"1,3",1,0,1
chr1,2391296,2391439,2,"1,3",1,0,1
chr1,2391439,2391641,3,"1,2,3",1,1,1
chr1,2391641,2391800,2,"1,3",1,0,1
chr1,2412298,2412343,2,"1,3",1,0,1
chr1,2412343,2412793,3,"1,2,3",1,1,1
chr1,2412793,2412802,2,"1,3",1,0,1
chr1,2525963,2526557,2,"2,3",0,1,1
chr1,2526846,2527205,2,"2,3",0,1,1
chr1,2546500,2546653,2,"1,3",1,0,1
chr1,2546877,2547004,2,"1,3",1,0,1
chr1,2548676,2549044,2,"2,3",0,1,1
chr1,2585472,2585922,2,"2,3",0,1,1
