chrom,start,end,num,list,ENCFF064YQB_HDAC2_sorted.bed,ENCFF122YMX_HDAC2_sorted.bed,ENCFF528PCS_HDAC2_sorted.bed,ENCFF668YCY_HDAC2_sorted.bed,ENCFF695QGI_HDAC2_sorted.bed,ENCFF703AZO_HDAC2_sorted.bed,ENCFF949FHW_HDAC2_sorted.bed,ENCFF974RAS_HDAC2_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,827245,827689,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,959165,959271,5,"1,2,4,5,9",1,1,0,1,1,0,0,0,1
chr1,959271,959327,4,"1,4,5,9",1,0,0,1,1,0,0,0,1
chr1,959327,959358,3,"1,5,9",1,0,0,0,1,0,0,0,1
chr1,959358,959390,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1000706,1000829,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1000829,1000881,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,1000881,1000904,4,"1,2,5,9",1,1,0,0,1,0,0,0,1
chr1,1013152,1013529,4,"1,2,5,9",1,1,0,0,1,0,0,0,1
chr1,1013529,1013599,3,"1,5,9",1,0,0,0,1,0,0,0,1
chr1,1013599,1013632,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1019323,1019397,3,"1,5,9",1,0,0,0,1,0,0,0,1
chr1,1019397,1019417,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1059134,1059224,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1157484,1157795,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1273992,1274323,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1307911,1308039,2,"8,9",0,0,0,0,0,0,0,1,1
chr1,1308039,1308047,3,"2,8,9",0,1,0,0,0,0,0,1,1
chr1,1308047,1308171,4,"2,5,8,9",0,1,0,0,1,0,0,1,1
chr1,1308171,1308451,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1308451,1308483,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1324560,1324680,2,"1,9",1,0,0,0,0,0,0,0,1
chr1,1375095,1375097,2,"4,9",0,0,0,1,0,0,0,0,1
chr1,1375097,1375158,3,"1,4,9",1,0,0,1,0,0,0,0,1
chr1,1375158,1375275,4,"1,4,8,9",1,0,0,1,0,0,0,1,1
chr1,1375275,1375355,5,"1,2,4,8,9",1,1,0,1,0,0,0,1,1
chr1,1375355,1375418,4,"1,2,8,9",1,1,0,0,0,0,0,1,1
chr1,1375418,1375501,3,"1,2,9",1,1,0,0,0,0,0,0,1
chr1,1375501,1375689,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1399484,1399496,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1399496,1399678,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1407134,1407149,2,"4,9",0,0,0,1,0,0,0,0,1
