chrom,start,end,num,list,ENCFF701USE_SIN3A_sorted.bed,ENCFF940QMI_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778517,778930,3,"1,2,3",1,1,1
chr1,778930,779094,2,"1,3",1,0,1
chr1,827198,827658,2,"1,3",1,0,1
chr1,904483,904541,2,"2,3",0,1,1
chr1,904541,904895,3,"1,2,3",1,1,1
chr1,938151,938723,2,"1,3",1,0,1
chr1,976219,976300,2,"2,3",0,1,1
chr1,976300,976576,3,"1,2,3",1,1,1
chr1,976576,976733,2,"2,3",0,1,1
chr1,1000071,1000480,2,"2,3",0,1,1
chr1,1000480,1000909,3,"1,2,3",1,1,1
chr1,1013188,1013532,3,"1,2,3",1,1,1
chr1,1013532,1013722,2,"1,3",1,0,1
chr1,1059458,1059613,2,"2,3",0,1,1
chr1,1059613,1059772,3,"1,2,3",1,1,1
chr1,1079438,1080103,3,"1,2,3",1,1,1
chr1,1080103,1080166,2,"2,3",0,1,1
chr1,1080205,1080654,2,"2,3",0,1,1
chr1,1231924,1231964,2,"2,3",0,1,1
chr1,1231964,1232077,3,"1,2,3",1,1,1
chr1,1232077,1232084,2,"1,3",1,0,1
chr1,1273652,1273654,2,"2,3",0,1,1
chr1,1273654,1273807,3,"1,2,3",1,1,1
chr1,1273807,1273855,2,"2,3",0,1,1
chr1,1307965,1308382,3,"1,2,3",1,1,1
chr1,1308382,1308509,2,"2,3",0,1,1
chr1,1308691,1308737,2,"1,3",1,0,1
chr1,1324532,1324675,2,"1,3",1,0,1
chr1,1344761,1345465,2,"2,3",0,1,1
chr1,1375133,1375147,2,"1,3",1,0,1
chr1,1375147,1375432,3,"1,2,3",1,1,1
chr1,1375432,1375550,2,"2,3",0,1,1
chr1,1399317,1399410,2,"1,3",1,0,1
chr1,1399410,1399667,3,"1,2,3",1,1,1
chr1,1399667,1399777,2,"1,3",1,0,1
chr1,1407051,1407315,3,"1,2,3",1,1,1
chr1,1407315,1407612,2,"1,3",1,0,1
chr1,1511711,1511832,2,"2,3",0,1,1
chr1,1511832,1512072,3,"1,2,3",1,1,1
chr1,1512072,1512080,2,"1,3",1,0,1
chr1,1574771,1574817,2,"2,3",0,1,1
chr1,1574817,1575048,3,"1,2,3",1,1,1
chr1,1575048,1575177,2,"2,3",0,1,1
chr1,1615142,1615271,2,"1,3",1,0,1
chr1,1615271,1615367,3,"1,2,3",1,1,1
chr1,1615367,1615378,2,"2,3",0,1,1
chr1,1615378,1615403,3,"1,2,3",1,1,1
chr1,1615403,1615838,2,"1,3",1,0,1
chr1,1658715,1658758,2,"2,3",0,1,1
chr1,1658758,1659218,3,"1,2,3",1,1,1
chr1,1659218,1659245,2,"2,3",0,1,1
chr1,1724064,1724141,2,"2,3",0,1,1
chr1,1724141,1724556,3,"1,2,3",1,1,1
chr1,1724556,1724777,2,"1,3",1,0,1
chr1,1746213,1746743,2,"2,3",0,1,1
chr1,1777959,1778046,2,"2,3",0,1,1
chr1,1778046,1778212,3,"1,2,3",1,1,1
chr1,1778212,1778225,2,"2,3",0,1,1
chr1,1778225,1778445,3,"1,2,3",1,1,1
chr1,1778445,1778646,2,"2,3",0,1,1
chr1,1908700,1909233,2,"2,3",0,1,1
chr1,1909233,1909440,3,"1,2,3",1,1,1
chr1,2133184,2133332,2,"1,3",1,0,1
chr1,2189624,2189634,2,"2,3",0,1,1
chr1,2189634,2189939,3,"1,2,3",1,1,1
chr1,2189939,2190035,2,"2,3",0,1,1
chr1,2212521,2212691,2,"2,3",0,1,1
chr1,2212691,2213051,3,"1,2,3",1,1,1
chr1,2213051,2213151,2,"1,3",1,0,1
chr1,2227575,2227640,3,"1,2,3",1,1,1
chr1,2227640,2227973,2,"2,3",0,1,1
chr1,2391363,2391637,3,"1,2,3",1,1,1
chr1,2391637,2391691,2,"1,3",1,0,1
chr1,2391750,2392013,2,"2,3",0,1,1
chr1,2412514,2412675,3,"1,2,3",1,1,1
chr1,2412675,2412686,2,"1,3",1,0,1
chr1,2526124,2526247,2,"2,3",0,1,1
