chrom,start,end,num,list,ENCFF479IYY_MAX_sorted.bed,ENCFF586AUN_MAX_sorted.bed,ENCFF631IHP_MAX_sorted.bed,ENCFF714XUB_MAX_sorted.bed,ENCFF776CUK_MAX_sorted.bed,ENCFF833YNQ_MAX_sorted.bed,ENCFF922DMX_MAX_sorted.bed,ENCFF947ANW_MAX_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778580,778595,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,778595,778598,3,"6,7,9",0,0,0,0,0,1,1,0,1
chr1,778598,778643,4,"3,6,7,9",0,0,1,0,0,1,1,0,1
chr1,778643,778715,5,"2,3,6,7,9",0,1,1,0,0,1,1,0,1
chr1,778715,778730,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,778730,778738,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,778738,778753,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,778753,778884,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,778884,779007,6,"2,3,5,7,8,9",0,1,1,0,1,0,1,1,1
chr1,827102,827313,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,827313,827763,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,827763,827858,2,"6,9",0,0,0,0,0,1,0,0,1
chr1,959165,959172,6,"3,5,6,7,8,9",0,0,1,0,1,1,1,1,1
chr1,959172,959361,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,959361,959369,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,959369,959379,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,959379,959500,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1000013,1000054,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1000054,1000102,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1000102,1000107,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,1000107,1000284,5,"5,6,7,8,9",0,0,0,0,1,1,1,1,1
chr1,1000284,1000292,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,1000292,1000390,3,"5,6,9",0,0,0,0,1,1,0,0,1
chr1,1000390,1000543,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1000706,1000711,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1000711,1000724,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1000724,1000777,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1000777,1000853,8,"2,3,4,5,6,7,8,9",0,1,1,1,1,1,1,1,1
chr1,1000853,1000904,9,"1,2,3,4,5,6,7,8,9",1,1,1,1,1,1,1,1,1
chr1,1013152,1013186,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1013186,1013198,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1013198,1013227,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1013227,1013258,5,"2,3,5,8,9",0,1,1,0,1,0,0,1,1
chr1,1013258,1013317,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,1013317,1013480,7,"2,3,5,6,7,8,9",0,1,1,0,1,1,1,1,1
chr1,1013480,1013562,6,"2,3,5,6,8,9",0,1,1,0,1,1,0,1,1
chr1,1013562,1013578,5,"2,3,5,8,9",0,1,1,0,1,0,0,1,1
chr1,1013578,1013583,4,"2,3,8,9",0,1,1,0,0,0,0,1,1
chr1,1013583,1013632,3,"2,3,9",0,1,1,0,0,0,0,0,1
chr1,1019323,1019411,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1019411,1019633,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1019633,1019638,2,"7,9",0,0,0,0,0,0,1,0,1
chr1,1019638,1019755,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1019755,1019780,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1020065,1020111,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1020111,1020297,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1059455,1059494,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1059494,1059531,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1059531,1059651,4,"5,6,7,9",0,0,0,0,1,1,1,0,1
chr1,1059651,1059800,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,1069101,1069183,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1069183,1069208,3,"2,7,9",0,1,0,0,0,0,1,0,1
chr1,1069208,1069527,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,1069527,1069606,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1069606,1069631,2,"2,9",0,1,0,0,0,0,0,0,1
chr1,1069631,1069660,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1157449,1157510,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1157510,1157795,3,"5,7,9",0,0,0,0,1,0,1,0,1
chr1,1231698,1231707,5,"2,3,5,7,9",0,1,1,0,1,0,1,0,1
chr1,1231707,1231953,4,"2,3,5,9",0,1,1,0,1,0,0,0,1
chr1,1231953,1231966,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1231966,1231976,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,1231976,1232003,5,"1,2,5,7,9",1,1,0,0,1,0,1,0,1
chr1,1232003,1232016,6,"1,2,4,5,7,9",1,1,0,1,1,0,1,0,1
chr1,1232016,1232043,7,"1,2,4,5,7,8,9",1,1,0,1,1,0,1,1,1
chr1,1232043,1232175,6,"1,4,5,7,8,9",1,0,0,1,1,0,1,1,1
chr1,1232175,1232197,5,"1,4,5,7,9",1,0,0,1,1,0,1,0,1
chr1,1232197,1232210,4,"1,4,7,9",1,0,0,1,0,0,1,0,1
chr1,1232210,1232236,3,"1,4,9",1,0,0,1,0,0,0,0,1
chr1,1232236,1232279,2,"4,9",0,0,0,1,0,0,0,0,1
chr1,1232343,1232355,2,"5,9",0,0,0,0,1,0,0,0,1
chr1,1273857,1273926,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1273926,1273982,3,"3,6,9",0,0,1,0,0,1,0,0,1
chr1,1273982,1274230,4,"3,5,6,9",0,0,1,0,1,1,0,0,1
chr1,1274230,1274306,3,"3,5,9",0,0,1,0,1,0,0,0,1
chr1,1274306,1274323,2,"3,9",0,0,1,0,0,0,0,0,1
chr1,1293633,1293677,4,"3,5,6,9",0,0,1,0,1,1,0,0,1
chr1,1293677,1293692,5,"2,3,5,6,9",0,1,1,0,1,1,0,0,1
chr1,1293692,1293980,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
chr1,1293980,1294060,5,"2,3,6,7,9",0,1,1,0,0,1,1,0,1
chr1,1294060,1294161,4,"2,3,7,9",0,1,1,0,0,0,1,0,1
chr1,1307881,1307915,3,"2,5,9",0,1,0,0,1,0,0,0,1
chr1,1307915,1307922,4,"2,5,7,9",0,1,0,0,1,0,1,0,1
chr1,1307922,1308091,5,"2,5,6,7,9",0,1,0,0,1,1,1,0,1
chr1,1308091,1308181,6,"2,3,5,6,7,9",0,1,1,0,1,1,1,0,1
