chrom,start,end,num,list,ENCFF033EDJ_CEBPB_sorted.bed,ENCFF189ZQR_CEBPB_sorted.bed,ENCFF569UZW_CEBPB_sorted.bed,ENCFF787GDS_CEBPB_sorted.bed,ENCFF838RSB_CEBPB_sorted.bed,ENCFF993SCW_CEBPB_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778527,778647,3,"2,5,7",0,1,0,0,1,0,1
chr1,778647,778654,2,"5,7",0,0,0,0,1,0,1
chr1,1000706,1000719,2,"2,7",0,1,0,0,0,0,1
chr1,1000719,1000775,3,"2,5,7",0,1,0,0,1,0,1
chr1,1000775,1000777,4,"2,4,5,7",0,1,0,1,1,0,1
chr1,1000777,1000819,5,"2,4,5,6,7",0,1,0,1,1,1,1
chr1,1000819,1000850,6,"1,2,4,5,6,7",1,1,0,1,1,1,1
chr1,1000850,1000904,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,1013152,1013422,2,"5,7",0,0,0,0,1,0,1
chr1,1307937,1307945,2,"2,7",0,1,0,0,0,0,1
chr1,1307945,1308035,3,"2,5,7",0,1,0,0,1,0,1
chr1,1308035,1308089,4,"2,5,6,7",0,1,0,0,1,1,1
chr1,1308089,1308115,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,1308115,1308137,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,1308137,1308367,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,1308367,1308377,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,1308377,1308435,5,"2,3,5,6,7",0,1,1,0,1,1,1
chr1,1308435,1308456,4,"2,3,5,7",0,1,1,0,1,0,1
chr1,1308456,1308551,3,"2,5,7",0,1,0,0,1,0,1
chr1,1308551,1308573,2,"2,7",0,1,0,0,0,0,1
chr1,1511941,1512241,2,"6,7",0,0,0,0,0,1,1
chr1,1658957,1659301,2,"3,7",0,0,1,0,0,0,1
chr1,1890983,1891193,2,"5,7",0,0,0,0,1,0,1
chr1,1891193,1891483,3,"5,6,7",0,0,0,0,1,1,1
chr1,1891483,1891493,2,"6,7",0,0,0,0,0,1,1
chr1,2189426,2189515,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,2189515,2189578,7,"1,2,3,4,5,6,7",1,1,1,1,1,1,1
chr1,2189578,2189595,6,"2,3,4,5,6,7",0,1,1,1,1,1,1
chr1,2189595,2189659,5,"2,3,4,6,7",0,1,1,1,0,1,1
chr1,2189659,2189701,4,"2,3,6,7",0,1,1,0,0,1,1
chr1,2189701,2189704,3,"2,6,7",0,1,0,0,0,1,1
chr1,2189704,2189764,2,"2,7",0,1,0,0,0,0,1
chr1,2391464,2391496,2,"1,7",1,0,0,0,0,0,1
chr1,2391496,2391714,3,"1,3,7",1,0,1,0,0,0,1
chr1,2391714,2391840,2,"3,7",0,0,1,0,0,0,1
chr1,2643153,2643400,2,"1,7",1,0,0,0,0,0,1
chr1,3624683,3624918,6,"1,2,3,5,6,7",1,1,1,0,1,1,1
chr1,3624918,3624941,5,"2,3,5,6,7",0,1,1,0,1,1,1
