chrom,start,end,num,list,ENCFF445KZL_ELK1_sorted.bed,ENCFF870ZGY_ELK1_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,959035,959425,2,"1,3",1,0,1
chr1,1000623,1000924,2,"1,3",1,0,1
chr1,1231815,1232205,2,"1,3",1,0,1
chr1,1272710,1273100,2,"1,3",1,0,1
chr1,1308008,1308398,2,"1,3",1,0,1
chr1,1324393,1324783,2,"1,3",1,0,1
chr1,1375069,1375120,2,"1,3",1,0,1
chr1,1375120,1375424,3,"1,2,3",1,1,1
chr1,1375424,1375642,2,"1,3",1,0,1
chr1,1399254,1399644,2,"1,3",1,0,1
chr1,1407111,1407501,2,"1,3",1,0,1
chr1,1574592,1574638,2,"1,3",1,0,1
chr1,1574638,1574942,3,"1,2,3",1,1,1
chr1,1574942,1575138,2,"1,3",1,0,1
chr1,1615282,1615515,2,"1,3",1,0,1
chr1,1659072,1659103,2,"2,3",0,1,1
chr1,1659103,1659326,3,"1,2,3",1,1,1
chr1,1659326,1659376,2,"2,3",0,1,1
chr1,1724397,1724636,2,"1,3",1,0,1
chr1,2227533,2228056,2,"1,3",1,0,1
chr1,2391632,2391634,2,"2,3",0,1,1
chr1,2391634,2391898,3,"1,2,3",1,1,1
chr1,2391898,2391936,2,"2,3",0,1,1
chr1,2412439,2412473,2,"2,3",0,1,1
chr1,2412473,2412743,3,"1,2,3",1,1,1
chr1,2412743,2412863,2,"1,3",1,0,1
chr1,2643089,2643458,2,"1,3",1,0,1
chr1,3624761,3624956,2,"1,3",1,0,1
chr1,3649924,3650302,2,"1,3",1,0,1
chr1,3857156,3857746,2,"1,3",1,0,1
chr1,6784821,6785414,2,"1,3",1,0,1
chr1,7954065,7954145,2,"1,3",1,0,1
chr1,7954145,7954449,3,"1,2,3",1,1,1
chr1,7954449,7954455,2,"1,3",1,0,1
chr1,7961437,7961827,2,"1,3",1,0,1
chr1,9943178,9943568,2,"1,3",1,0,1
chr1,10032652,10033042,2,"1,3",1,0,1
chr1,11273197,11273587,2,"1,3",1,0,1
chr1,11478737,11479127,2,"1,3",1,0,1
chr1,11803148,11803187,2,"1,3",1,0,1
chr1,11803187,11803279,3,"1,2,3",1,1,1
chr1,11803279,11803297,2,"1,3",1,0,1
chr1,11805899,11806177,2,"1,3",1,0,1
chr1,11907738,11907836,2,"1,3",1,0,1
chr1,11907836,11907940,3,"1,2,3",1,1,1
chr1,11907940,11907972,2,"1,3",1,0,1
chr1,11908075,11908308,2,"1,3",1,0,1
chr1,11980019,11980244,2,"1,3",1,0,1
chr1,11980244,11980409,3,"1,2,3",1,1,1
chr1,11980409,11980548,2,"2,3",0,1,1
chr1,12229824,12230214,2,"1,3",1,0,1
chr1,15836002,15836392,2,"1,3",1,0,1
chr1,16236983,16237373,2,"1,3",1,0,1
chr1,16366901,16366920,2,"1,3",1,0,1
chr1,16366920,16367224,3,"1,2,3",1,1,1
chr1,16367224,16367262,2,"1,3",1,0,1
chr1,16440559,16440949,2,"1,3",1,0,1
chr1,16644542,16644932,2,"1,3",1,0,1
chr1,16905082,16905207,2,"1,3",1,0,1
chr1,19210186,19210195,2,"2,3",0,1,1
chr1,19210195,19210468,3,"1,2,3",1,1,1
chr1,19210468,19210490,2,"2,3",0,1,1
chr1,19596705,19596792,2,"2,3",0,1,1
chr1,19596792,19596986,3,"1,2,3",1,1,1
chr1,19596986,19597009,2,"2,3",0,1,1
chr1,20507992,20508044,2,"2,3",0,1,1
chr1,20508044,20508296,3,"1,2,3",1,1,1
chr1,20508296,20508471,2,"1,3",1,0,1
chr1,20661292,20661315,2,"1,3",1,0,1
chr1,20661315,20661619,3,"1,2,3",1,1,1
chr1,20661619,20661700,2,"1,3",1,0,1
chr1,22025364,22025371,2,"2,3",0,1,1
chr1,22025371,22025668,3,"1,2,3",1,1,1
chr1,22025668,22025669,2,"1,3",1,0,1
chr1,23368115,23368505,2,"1,3",1,0,1
chr1,23539846,23540236,2,"1,3",1,0,1
chr1,23691628,23692018,2,"1,3",1,0,1
chr1,23743238,23743834,2,"1,3",1,0,1
chr1,23790915,23790925,2,"1,3",1,0,1
chr1,23790925,23791229,3,"1,2,3",1,1,1
chr1,23791229,23791305,2,"1,3",1,0,1
chr1,23800720,23801110,2,"1,3",1,0,1
chr1,24413419,24413809,2,"1,3",1,0,1
chr1,25232279,25232522,2,"1,3",1,0,1
chr1,25232522,25232669,3,"1,2,3",1,1,1
chr1,25232669,25232826,2,"2,3",0,1,1
chr1,25239732,25239781,2,"1,3",1,0,1
chr1,25239781,25240085,3,"1,2,3",1,1,1
chr1,25240085,25240122,2,"1,3",1,0,1
chr1,25819727,25820117,2,"1,3",1,0,1
chr1,26169763,26169774,2,"1,3",1,0,1
chr1,26169774,26170078,3,"1,2,3",1,1,1
chr1,26170078,26170107,2,"1,3",1,0,1
chr1,26787992,26788382,2,"1,3",1,0,1
chr1,26890057,26890447,2,"1,3",1,0,1
chr1,27008167,27008527,2,"1,3",1,0,1
chr1,27234229,27234619,2,"1,3",1,0,1
chr1,27322093,27322094,2,"1,3",1,0,1
chr1,27322094,27322398,3,"1,2,3",1,1,1
chr1,27322398,27322483,2,"1,3",1,0,1
chr1,27773095,27773485,2,"1,3",1,0,1
chr1,27959886,27960276,2,"1,3",1,0,1
chr1,28088437,28088471,2,"1,3",1,0,1
chr1,28088471,28088775,3,"1,2,3",1,1,1
chr1,28088775,28089026,2,"1,3",1,0,1
chr1,28328875,28328893,2,"2,3",0,1,1
chr1,28328893,28329144,3,"1,2,3",1,1,1
chr1,28329144,28329179,2,"2,3",0,1,1
chr1,28505788,28506178,2,"1,3",1,0,1
chr1,28526853,28526906,2,"1,3",1,0,1
chr1,28526906,28527210,3,"1,2,3",1,1,1
chr1,28527210,28527446,2,"1,3",1,0,1
chr1,28552701,28552761,2,"1,3",1,0,1
chr1,28552761,28553065,3,"1,2,3",1,1,1
chr1,28553065,28553091,2,"1,3",1,0,1
chr1,28642923,28642998,2,"2,3",0,1,1
chr1,28642998,28643227,3,"1,2,3",1,1,1
chr1,28643227,28643253,2,"1,3",1,0,1
chr1,28648145,28648155,2,"2,3",0,1,1
chr1,28648155,28648449,3,"1,2,3",1,1,1
chr1,28648449,28648545,2,"1,3",1,0,1
chr1,28668523,28668634,2,"2,3",0,1,1
chr1,28668634,28668767,3,"1,2,3",1,1,1
chr1,28668767,28668827,2,"2,3",0,1,1
chr1,28736587,28736977,2,"1,3",1,0,1
chr1,28882045,28882415,2,"1,3",1,0,1
chr1,31644885,31645275,2,"1,3",1,0,1
chr1,31788300,31788690,2,"1,3",1,0,1
chr1,31938318,31938622,2,"2,3",0,1,1
chr1,32013662,32014052,2,"1,3",1,0,1
chr1,32179573,32179963,2,"1,3",1,0,1
chr1,32222154,32222544,2,"1,3",1,0,1
chr1,32291791,32292181,2,"1,3",1,0,1
chr1,32650356,32650721,2,"1,3",1,0,1
chr1,32817194,32817584,2,"1,3",1,0,1
chr1,33149770,33149797,2,"2,3",0,1,1
chr1,33149797,33150074,3,"1,2,3",1,1,1
chr1,33150074,33150187,2,"1,3",1,0,1
chr1,33472426,33472816,2,"1,3",1,0,1
chr1,35715543,35715815,2,"1,3",1,0,1
chr1,35931103,35931226,2,"1,3",1,0,1
chr1,36088673,36088762,2,"2,3",0,1,1
chr1,36088762,36088977,3,"1,2,3",1,1,1
chr1,36088977,36089272,2,"1,3",1,0,1
chr1,36149351,36149741,2,"1,3",1,0,1
chr1,36223892,36224196,2,"2,3",0,1,1
chr1,37554157,37554543,2,"1,3",1,0,1
chr1,37692179,37692569,2,"1,3",1,0,1
chr1,37808023,37808131,2,"2,3",0,1,1
chr1,37808131,37808316,3,"1,2,3",1,1,1
chr1,37808316,37808327,2,"2,3",0,1,1
chr1,37859429,37859819,2,"1,3",1,0,1
chr1,37989939,37989960,2,"1,3",1,0,1
chr1,37989960,37990264,3,"1,2,3",1,1,1
chr1,37990264,37990329,2,"1,3",1,0,1
chr1,38012531,38012921,2,"1,3",1,0,1
chr1,38991077,38991467,2,"1,3",1,0,1
chr1,39026508,39026590,2,"1,3",1,0,1
chr1,39026590,39026942,3,"1,2,3",1,1,1
chr1,39026942,39027053,2,"1,3",1,0,1
chr1,39799238,39799488,2,"2,3",0,1,1
chr1,40039802,40039888,2,"1,3",1,0,1
chr1,40039888,40040091,3,"1,2,3",1,1,1
chr1,40040091,40040229,2,"1,3",1,0,1
chr1,40040467,40040548,2,"1,3",1,0,1
chr1,40040548,40040852,3,"1,2,3",1,1,1
chr1,40040852,40040880,2,"1,3",1,0,1
chr1,40257878,40257932,2,"2,3",0,1,1
chr1,40257932,40258124,3,"1,2,3",1,1,1
chr1,40258124,40258182,2,"2,3",0,1,1
chr1,40373521,40374111,2,"1,3",1,0,1
chr1,40531381,40531771,2,"1,3",1,0,1
chr1,41496365,41496513,2,"2,3",0,1,1
chr1,42463024,42463414,2,"1,3",1,0,1
chr1,42658144,42658534,2,"1,3",1,0,1
chr1,42682003,42682393,2,"1,3",1,0,1
chr1,42767016,42767609,2,"1,3",1,0,1
chr1,42817103,42817493,2,"1,3",1,0,1
chr1,43172162,43172196,2,"2,3",0,1,1
chr1,43172196,43172466,3,"1,2,3",1,1,1
chr1,43172466,43172682,2,"1,3",1,0,1
chr1,43285299,43285888,2,"1,3",1,0,1
chr1,43389645,43389682,2,"2,3",0,1,1
chr1,43389682,43389949,3,"1,2,3",1,1,1
chr1,43389949,43389973,2,"1,3",1,0,1
chr1,43946490,43946880,2,"1,3",1,0,1
chr1,43991323,43991713,2,"1,3",1,0,1
chr1,44213276,44213870,2,"1,3",1,0,1
chr1,44631901,44632291,2,"1,3",1,0,1
