chrom,start,end,num,list,ENCFF081XKA_EP300_sorted.bed,ENCFF264QTE_EP300_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1073704,1073737,2,"1,3",1,0,1
chr1,1073737,1073937,3,"1,2,3",1,1,1
chr1,1073937,1073957,2,"1,3",1,0,1
chr1,1079466,1079750,2,"2,3",0,1,1
chr1,1758771,1759047,2,"1,3",1,0,1
chr1,1759047,1759107,3,"1,2,3",1,1,1
chr1,1759107,1759331,2,"2,3",0,1,1
chr1,6220274,6220290,2,"2,3",0,1,1
chr1,6220290,6220558,3,"1,2,3",1,1,1
chr1,6220558,6220626,2,"1,3",1,0,1
chr1,7447874,7448111,3,"1,2,3",1,1,1
chr1,7448111,7448148,2,"1,3",1,0,1
chr1,8182241,8182271,2,"2,3",0,1,1
chr1,8182271,8182607,3,"1,2,3",1,1,1
chr1,8182607,8182730,2,"2,3",0,1,1
chr1,8197883,8197910,2,"2,3",0,1,1
chr1,8197910,8198167,3,"1,2,3",1,1,1
chr1,8198167,8198246,2,"1,3",1,0,1
chr1,8903920,8904204,2,"2,3",0,1,1
chr1,9843022,9843358,2,"1,3",1,0,1
chr1,9950531,9950546,2,"2,3",0,1,1
chr1,9950546,9950677,3,"1,2,3",1,1,1
chr1,9950677,9950698,2,"2,3",0,1,1
chr1,11908572,11909120,2,"1,3",1,0,1
chr1,15229843,15229849,2,"2,3",0,1,1
chr1,15229849,15230127,3,"1,2,3",1,1,1
chr1,15230127,15230185,2,"1,3",1,0,1
chr1,15800083,15800367,2,"2,3",0,1,1
chr1,15800536,15800820,2,"2,3",0,1,1
chr1,16608275,16608326,2,"1,3",1,0,1
chr1,16608326,16608610,3,"1,2,3",1,1,1
chr1,16608610,16608611,2,"1,3",1,0,1
chr1,16644555,16644891,2,"1,3",1,0,1
chr1,16644951,16645237,2,"1,3",1,0,1
chr1,17250612,17250641,2,"1,3",1,0,1
chr1,17250641,17250925,3,"1,2,3",1,1,1
chr1,17250925,17250948,2,"1,3",1,0,1
chr1,17314781,17314799,2,"2,3",0,1,1
chr1,17314799,17315065,3,"1,2,3",1,1,1
chr1,17315065,17315135,2,"1,3",1,0,1
chr1,19596668,19596705,2,"1,3",1,0,1
chr1,19596705,19596989,3,"1,2,3",1,1,1
chr1,19596989,19597004,2,"1,3",1,0,1
chr1,21064145,21064429,2,"2,3",0,1,1
chr1,23562337,23562601,2,"1,3",1,0,1
chr1,23585551,23585623,2,"1,3",1,0,1
chr1,23585623,23585887,3,"1,2,3",1,1,1
chr1,23585887,23585907,2,"2,3",0,1,1
chr1,24011652,24011936,2,"2,3",0,1,1
chr1,26907579,26907863,2,"2,3",0,1,1
chr1,27008104,27008336,2,"2,3",0,1,1
chr1,27365468,27365729,2,"2,3",0,1,1
chr1,28526871,28527005,2,"1,3",1,0,1
chr1,28527005,28527207,3,"1,2,3",1,1,1
chr1,28527207,28527289,2,"2,3",0,1,1
chr1,31172259,31172543,2,"2,3",0,1,1
chr1,31477589,31477841,2,"2,3",0,1,1
chr1,31842931,31843019,2,"2,3",0,1,1
chr1,31843019,31843103,3,"1,2,3",1,1,1
chr1,31843103,31843215,2,"2,3",0,1,1
chr1,32332392,32332676,2,"2,3",0,1,1
chr1,32332824,32333096,2,"2,3",0,1,1
chr1,33149828,33149853,2,"1,3",1,0,1
chr1,33149853,33150137,3,"1,2,3",1,1,1
chr1,33150137,33150164,2,"1,3",1,0,1
chr1,36408484,36408768,2,"2,3",0,1,1
chr1,37793362,37793600,2,"1,3",1,0,1
chr1,39159198,39159482,2,"2,3",0,1,1
chr1,41353730,41354014,2,"2,3",0,1,1
chr1,42165819,42166103,2,"2,3",0,1,1
chr1,42335906,42335968,2,"2,3",0,1,1
chr1,42340128,42340186,2,"1,3",1,0,1
chr1,42340186,42340464,3,"1,2,3",1,1,1
chr1,42340464,42340470,2,"2,3",0,1,1
chr1,42992410,42992500,2,"2,3",0,1,1
chr1,42992500,42992654,3,"1,2,3",1,1,1
chr1,42992654,42992694,2,"2,3",0,1,1
chr1,43858303,43858587,2,"2,3",0,1,1
chr1,44327923,44328207,2,"2,3",0,1,1
chr1,46132809,46133093,2,"2,3",0,1,1
chr1,46133467,46133661,2,"2,3",0,1,1
chr1,46171954,46172238,2,"2,3",0,1,1
chr1,46183126,46183410,2,"2,3",0,1,1
chr1,46611878,46612162,2,"2,3",0,1,1
chr1,46757335,46757619,2,"2,3",0,1,1
chr1,47031072,47031356,2,"2,3",0,1,1
chr1,47478072,47478088,2,"1,3",1,0,1
chr1,47478088,47478372,3,"1,2,3",1,1,1
chr1,47478372,47478408,2,"1,3",1,0,1
chr1,51329399,51329413,2,"2,3",0,1,1
chr1,51329413,51329683,3,"1,2,3",1,1,1
chr1,51329683,51329749,2,"1,3",1,0,1
chr1,51558262,51558349,2,"1,3",1,0,1
chr1,51558349,51558633,3,"1,2,3",1,1,1
chr1,51558633,51558800,2,"1,3",1,0,1
chr1,51567668,51567677,2,"2,3",0,1,1
chr1,51567677,51567948,3,"1,2,3",1,1,1
chr1,51567948,51568013,2,"1,3",1,0,1
chr1,51569780,51569828,2,"1,3",1,0,1
chr1,51569828,51570112,3,"1,2,3",1,1,1
chr1,51570112,51570116,2,"1,3",1,0,1
chr1,56414764,56415048,2,"2,3",0,1,1
chr1,56547950,56548234,2,"2,3",0,1,1
chr1,58577231,58577515,2,"2,3",0,1,1
chr1,64915894,64916178,2,"2,3",0,1,1
chr1,64983154,64983253,2,"1,3",1,0,1
chr1,64983253,64983400,3,"1,2,3",1,1,1
chr1,64983400,64983490,2,"1,3",1,0,1
chr1,65297710,65298046,2,"1,3",1,0,1
chr1,80594049,80594333,2,"2,3",0,1,1
chr1,84634675,84634959,2,"2,3",0,1,1
chr1,85135182,85135466,2,"2,3",0,1,1
chr1,93585236,93585520,2,"2,3",0,1,1
chr1,107572649,107572985,2,"1,3",1,0,1
chr1,108199247,108199290,2,"1,3",1,0,1
chr1,108199290,108199437,3,"1,2,3",1,1,1
chr1,108199437,108199471,2,"1,3",1,0,1
chr1,108553985,108554014,2,"2,3",0,1,1
chr1,108554014,108554350,3,"1,2,3",1,1,1
chr1,108554350,108554417,2,"2,3",0,1,1
chr1,109066308,109066338,2,"1,3",1,0,1
chr1,109066338,109066622,3,"1,2,3",1,1,1
chr1,109066622,109066644,2,"1,3",1,0,1
chr1,109100037,109100373,2,"1,3",1,0,1
chr1,109240139,109240146,2,"1,3",1,0,1
chr1,109240146,109240416,3,"1,2,3",1,1,1
chr1,109240416,109240431,2,"1,3",1,0,1
