chrom,start,end,num,list,ENCFF395ESB_HDAC2_sorted.bed,ENCFF419CZB_HDAC2_sorted.bed,ENCFF465QDK_HDAC2_sorted.bed,ENCFF496MRB_HDAC2_sorted.bed,ENCFF595GCJ_HDAC2_sorted.bed,ENCFF663JQM_HDAC2_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778512,778612,2,"2,7",0,1,0,0,0,0,1
chr1,778612,778922,3,"2,3,7",0,1,1,0,0,0,1
chr1,778922,779092,2,"3,7",0,0,1,0,0,0,1
chr1,921147,921374,2,"1,7",1,0,0,0,0,0,1
chr1,960504,960694,2,"1,7",1,0,0,0,0,0,1
chr1,1000213,1000531,2,"1,7",1,0,0,0,0,0,1
chr1,1000531,1000543,3,"1,3,7",1,0,1,0,0,0,1
chr1,1000543,1000726,2,"3,7",0,0,1,0,0,0,1
chr1,1000726,1000883,3,"1,3,7",1,0,1,0,0,0,1
chr1,1000883,1000885,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1006414,1006551,2,"3,7",0,0,1,0,0,0,1
chr1,1006551,1006636,3,"3,6,7",0,0,1,0,0,1,1
chr1,1006636,1006637,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,1006637,1006756,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,1006756,1006825,4,"2,3,6,7",0,1,1,0,0,1,1
chr1,1006825,1006871,3,"3,6,7",0,0,1,0,0,1,1
chr1,1013229,1013639,2,"2,7",0,1,0,0,0,0,1
chr1,1058242,1058398,2,"3,7",0,0,1,0,0,0,1
chr1,1058398,1058519,3,"2,3,7",0,1,1,0,0,0,1
chr1,1058519,1058722,2,"3,7",0,0,1,0,0,0,1
chr1,1059365,1059695,2,"1,7",1,0,0,0,0,0,1
chr1,1079733,1080143,2,"2,7",0,1,0,0,0,0,1
chr1,1128525,1128598,2,"2,7",0,1,0,0,0,0,1
chr1,1238076,1238556,2,"3,7",0,0,1,0,0,0,1
chr1,1273686,1274303,2,"2,7",0,1,0,0,0,0,1
chr1,1281614,1281631,2,"3,7",0,0,1,0,0,0,1
chr1,1281631,1281679,3,"1,3,7",1,0,1,0,0,0,1
chr1,1281679,1281961,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1281961,1282094,3,"2,3,7",0,1,1,0,0,0,1
chr1,1282094,1282411,2,"2,7",0,1,0,0,0,0,1
chr1,1305632,1305660,3,"2,3,7",0,1,1,0,0,0,1
chr1,1305660,1305671,2,"3,7",0,0,1,0,0,0,1
chr1,1308498,1308719,2,"2,7",0,1,0,0,0,0,1
chr1,1347806,1348263,2,"3,7",0,0,1,0,0,0,1
chr1,1360127,1360537,2,"2,7",0,1,0,0,0,0,1
chr1,1375149,1375159,2,"2,7",0,1,0,0,0,0,1
chr1,1375159,1375359,3,"2,3,7",0,1,1,0,0,0,1
chr1,1375359,1375659,2,"2,7",0,1,0,0,0,0,1
chr1,1400761,1400826,2,"3,7",0,0,1,0,0,0,1
chr1,1400826,1400855,3,"1,3,7",1,0,1,0,0,0,1
chr1,1400855,1400873,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,1400873,1401148,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,1401148,1401195,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,1401195,1401237,3,"1,3,7",1,0,1,0,0,0,1
chr1,1407010,1407149,2,"3,7",0,0,1,0,0,0,1
chr1,1407149,1407215,3,"1,3,7",1,0,1,0,0,0,1
chr1,1407215,1407388,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1407388,1407464,3,"1,3,7",1,0,1,0,0,0,1
chr1,1407464,1407679,2,"1,7",1,0,0,0,0,0,1
chr1,1421173,1421190,2,"3,7",0,0,1,0,0,0,1
chr1,1421190,1421267,3,"2,3,7",0,1,1,0,0,0,1
chr1,1421267,1421597,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1421597,1421600,3,"2,3,7",0,1,1,0,0,0,1
chr1,1421600,1421613,2,"3,7",0,0,1,0,0,0,1
chr1,1431665,1431741,2,"1,7",1,0,0,0,0,0,1
chr1,1431741,1431995,3,"1,3,7",1,0,1,0,0,0,1
chr1,1431995,1432221,2,"3,7",0,0,1,0,0,0,1
chr1,1433077,1433096,2,"1,7",1,0,0,0,0,0,1
chr1,1433096,1433139,3,"1,3,7",1,0,1,0,0,0,1
chr1,1433139,1433174,4,"1,2,3,7",1,1,1,0,0,0,1
chr1,1433174,1433397,5,"1,2,3,6,7",1,1,1,0,0,1,1
chr1,1433397,1433514,4,"1,3,6,7",1,0,1,0,0,1,1
chr1,1433514,1433607,3,"1,3,7",1,0,1,0,0,0,1
chr1,1433607,1433664,2,"3,7",0,0,1,0,0,0,1
chr1,1438089,1438132,3,"1,2,7",1,1,0,0,0,0,1
