chrom,start,end,num,list,ENCFF093TVZ_CEBPB_sorted.bed,ENCFF623VYN_CEBPB_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1000784,1000924,2,"1,3",1,0,1
chr1,1132552,1132788,2,"1,3",1,0,1
chr1,1308153,1308189,2,"1,3",1,0,1
chr1,1308189,1308338,3,"1,2,3",1,1,1
chr1,1308338,1308341,2,"1,3",1,0,1
chr1,2189422,2189658,2,"1,3",1,0,1
chr1,2494336,2494355,2,"2,3",0,1,1
chr1,2494355,2494564,3,"1,2,3",1,1,1
chr1,3668920,3668931,2,"2,3",0,1,1
chr1,3668931,3668938,3,"1,2,3",1,1,1
chr1,3900254,3900284,2,"1,3",1,0,1
chr1,3900284,3900383,3,"1,2,3",1,1,1
chr1,3900383,3900490,2,"1,3",1,0,1
chr1,6260019,6260036,2,"2,3",0,1,1
chr1,6260036,6260273,3,"1,2,3",1,1,1
chr1,6260273,6260284,2,"2,3",0,1,1
chr1,6385787,6386023,2,"1,3",1,0,1
chr1,6472164,6472381,2,"1,3",1,0,1
chr1,7771643,7771879,2,"1,3",1,0,1
chr1,8017667,8017722,2,"2,3",0,1,1
chr1,8017722,8017874,3,"1,2,3",1,1,1
chr1,8182244,8182810,2,"2,3",0,1,1
chr1,8197674,8197739,2,"2,3",0,1,1
chr1,8197739,8197975,3,"1,2,3",1,1,1
chr1,8197975,8198038,2,"2,3",0,1,1
chr1,8794649,8794787,2,"1,3",1,0,1
chr1,8873764,8873946,2,"1,3",1,0,1
chr1,8877933,8878078,3,"1,2,3",1,1,1
chr1,8878078,8878127,2,"2,3",0,1,1
chr1,9428875,9429111,2,"1,3",1,0,1
chr1,9539145,9539221,2,"2,3",0,1,1
chr1,9539221,9539457,3,"1,2,3",1,1,1
chr1,9539457,9539509,2,"2,3",0,1,1
chr1,9719241,9719477,2,"1,3",1,0,1
chr1,10899878,10900072,3,"1,2,3",1,1,1
chr1,10900072,10900189,2,"2,3",0,1,1
chr1,10900361,10900400,2,"2,3",0,1,1
chr1,10900400,10900636,3,"1,2,3",1,1,1
chr1,10900636,10900725,2,"2,3",0,1,1
chr1,10900818,10901054,2,"1,3",1,0,1
chr1,11484149,11484180,2,"2,3",0,1,1
chr1,11484180,11484241,3,"1,2,3",1,1,1
chr1,11484241,11484315,2,"2,3",0,1,1
chr1,11803106,11803342,2,"1,3",1,0,1
chr1,12528394,12528410,2,"1,3",1,0,1
chr1,12528410,12528587,3,"1,2,3",1,1,1
chr1,12528587,12528895,2,"2,3",0,1,1
chr1,15229787,15229868,2,"2,3",0,1,1
chr1,15229868,15230104,3,"1,2,3",1,1,1
chr1,15230104,15230151,2,"2,3",0,1,1
chr1,15524251,15524487,2,"1,3",1,0,1
chr1,15524634,15524729,2,"1,3",1,0,1
chr1,15524918,15525154,2,"1,3",1,0,1
chr1,15800101,15800337,2,"1,3",1,0,1
chr1,16120998,16121058,2,"2,3",0,1,1
chr1,16121058,16121294,3,"1,2,3",1,1,1
chr1,16121294,16121362,2,"2,3",0,1,1
chr1,16154665,16154841,2,"1,3",1,0,1
chr1,16206385,16206621,2,"1,3",1,0,1
chr1,16352467,16352703,2,"1,3",1,0,1
chr1,16608235,16608374,2,"2,3",0,1,1
chr1,16608374,16608599,3,"1,2,3",1,1,1
chr1,16608599,16608610,2,"1,3",1,0,1
chr1,17304285,17304521,2,"1,3",1,0,1
chr1,18597516,18597752,2,"1,3",1,0,1
chr1,19210221,19210457,2,"1,3",1,0,1
chr1,21064175,21064411,2,"1,3",1,0,1
chr1,22750752,22750970,2,"1,3",1,0,1
chr1,23368796,23369032,2,"1,3",1,0,1
chr1,23377139,23377375,2,"1,3",1,0,1
chr1,23585641,23585655,2,"2,3",0,1,1
chr1,23585655,23585844,3,"1,2,3",1,1,1
chr1,23585844,23585851,2,"2,3",0,1,1
chr1,23777931,23778094,2,"1,3",1,0,1
chr1,23838593,23838727,2,"2,3",0,1,1
chr1,23838727,23838827,3,"1,2,3",1,1,1
chr1,23838827,23838831,2,"2,3",0,1,1
chr1,24003349,24003585,2,"1,3",1,0,1
chr1,24283362,24283598,2,"1,3",1,0,1
chr1,24283824,24283948,2,"2,3",0,1,1
chr1,24283948,24284184,3,"1,2,3",1,1,1
chr1,24284184,24284188,2,"2,3",0,1,1
