chrom,start,end,num,list,ENCFF110FKC_MAX_sorted.bed,ENCFF204YUM_MAX_sorted.bed,ENCFF608XFL_MAX_sorted.bed,ENCFF770REJ_MAX_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778517,778595,2,"3,5",0,0,1,0,1
chr1,778595,778894,3,"3,4,5",0,0,1,1,1
chr1,778894,779165,2,"4,5",0,0,0,1,1
chr1,827168,827738,2,"4,5",0,0,0,1,1
chr1,869798,870170,2,"3,5",0,0,1,0,1
chr1,904621,904633,3,"2,4,5",0,1,0,1,1
chr1,904633,904664,4,"2,3,4,5",0,1,1,1,1
chr1,904664,904895,5,"1,2,3,4,5",1,1,1,1,1
chr1,911208,911469,3,"3,4,5",0,0,1,1,1
chr1,912863,913193,3,"3,4,5",0,0,1,1,1
chr1,938151,938451,4,"1,3,4,5",1,0,1,1,1
chr1,938451,938723,3,"3,4,5",0,0,1,1,1
chr1,966092,966514,3,"3,4,5",0,0,1,1,1
chr1,966514,966650,2,"4,5",0,0,0,1,1
chr1,966862,967018,2,"3,5",0,0,1,0,1
chr1,967018,967283,3,"3,4,5",0,0,1,1,1
chr1,1000076,1000386,2,"1,5",1,0,0,0,1
chr1,1000640,1000687,2,"4,5",0,0,0,1,1
chr1,1000687,1000765,3,"3,4,5",0,0,1,1,1
chr1,1000765,1000830,4,"2,3,4,5",0,1,1,1,1
chr1,1000830,1000909,5,"1,2,3,4,5",1,1,1,1,1
chr1,1013188,1013716,2,"4,5",0,0,0,1,1
chr1,1079438,1079451,2,"4,5",0,0,0,1,1
chr1,1079451,1079588,3,"2,4,5",0,1,0,1,1
chr1,1079588,1079771,4,"2,3,4,5",0,1,1,1,1
chr1,1079771,1080004,3,"3,4,5",0,0,1,1,1
chr1,1080004,1080151,2,"3,5",0,0,1,0,1
chr1,1080151,1080156,3,"2,3,5",0,1,1,0,1
chr1,1080156,1080240,4,"1,2,3,5",1,1,1,0,1
chr1,1080240,1080466,3,"1,2,5",1,1,0,0,1
chr1,1080466,1080471,2,"2,5",0,1,0,0,1
chr1,1231724,1231759,2,"4,5",0,0,0,1,1
chr1,1231759,1231933,3,"3,4,5",0,0,1,1,1
chr1,1231933,1231951,4,"2,3,4,5",0,1,1,1,1
chr1,1231951,1232209,5,"1,2,3,4,5",1,1,1,1,1
chr1,1232209,1232253,4,"1,2,4,5",1,1,0,1,1
chr1,1232253,1232261,3,"1,4,5",1,0,0,1,1
chr1,1273694,1274144,2,"3,5",0,0,1,0,1
chr1,1307965,1308245,2,"3,5",0,0,1,0,1
chr1,1308245,1308445,3,"3,4,5",0,0,1,1,1
chr1,1308445,1308504,2,"4,5",0,0,0,1,1
chr1,1308582,1308737,2,"1,5",1,0,0,0,1
chr1,1324532,1324856,2,"3,5",0,0,1,0,1
chr1,1344772,1345342,2,"4,5",0,0,0,1,1
chr1,1375117,1375124,2,"4,5",0,0,0,1,1
chr1,1375124,1375163,3,"2,4,5",0,1,0,1,1
chr1,1375163,1375356,4,"2,3,4,5",0,1,1,1,1
chr1,1375356,1375424,3,"2,4,5",0,1,0,1,1
chr1,1375424,1375444,2,"2,5",0,1,0,0,1
chr1,1399323,1399495,2,"3,5",0,0,1,0,1
chr1,1399495,1399773,3,"3,4,5",0,0,1,1,1
chr1,1399773,1400106,2,"4,5",0,0,0,1,1
chr1,1407088,1407111,2,"2,5",0,1,0,0,1
chr1,1407111,1407154,3,"2,4,5",0,1,0,1,1
chr1,1407154,1407408,4,"2,3,4,5",0,1,1,1,1
chr1,1407408,1407431,3,"3,4,5",0,0,1,1,1
chr1,1407431,1407494,2,"4,5",0,0,0,1,1
chr1,1511828,1511856,2,"4,5",0,0,0,1,1
chr1,1511856,1511922,3,"2,4,5",0,1,0,1,1
chr1,1511922,1512060,4,"2,3,4,5",0,1,1,1,1
chr1,1512060,1512112,3,"2,4,5",0,1,0,1,1
chr1,1512112,1512176,2,"2,5",0,1,0,0,1
chr1,1574709,1575159,2,"3,5",0,0,1,0,1
chr1,1615274,1615844,2,"4,5",0,0,0,1,1
chr1,1658708,1658799,2,"4,5",0,0,0,1,1
chr1,1658799,1659249,3,"3,4,5",0,0,1,1,1
chr1,1659249,1659530,2,"4,5",0,0,0,1,1
chr1,1692326,1692913,2,"3,5",0,0,1,0,1
chr1,1692979,1693031,2,"3,5",0,0,1,0,1
chr1,1724195,1724645,2,"3,5",0,0,1,0,1
chr1,1745955,1746220,2,"4,5",0,0,0,1,1
chr1,1746220,1746670,3,"3,4,5",0,0,1,1,1
