chrom,start,end,num,list,ENCFF287HLG_MAZ_sorted.bed,ENCFF494YAO_MAZ_sorted.bed,ENCFF662EQM_MAZ_sorted.bed,ENCFF815AXO_MAZ_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778480,779027,3,"1,3,5",1,0,1,0,1
chr1,779027,779073,2,"3,5",0,0,1,0,1
chr1,921147,921374,4,"1,3,4,5",1,0,1,1,1
chr1,938145,938444,2,"1,5",1,0,0,0,1
chr1,959145,959663,2,"1,5",1,0,0,0,1
chr1,960445,960477,4,"1,3,4,5",1,0,1,1,1
chr1,960477,960694,5,"1,2,3,4,5",1,1,1,1,1
chr1,966413,967259,2,"3,5",0,0,1,0,1
chr1,1000005,1000176,2,"3,5",0,0,1,0,1
chr1,1000176,1000202,3,"2,3,5",0,1,1,0,1
chr1,1000202,1000210,4,"2,3,4,5",0,1,1,1,1
chr1,1000210,1000436,5,"1,2,3,4,5",1,1,1,1,1
chr1,1000436,1000586,4,"1,3,4,5",1,0,1,1,1
chr1,1000586,1000786,3,"1,3,5",1,0,1,0,1
chr1,1000786,1000885,2,"3,5",0,0,1,0,1
chr1,1006301,1006679,3,"3,4,5",0,0,1,1,1
chr1,1006679,1006871,2,"3,5",0,0,1,0,1
chr1,1013288,1013415,2,"3,5",0,0,1,0,1
chr1,1013415,1013932,3,"1,3,5",1,0,1,0,1
chr1,1013932,1013991,2,"1,5",1,0,0,0,1
chr1,1019308,1019605,2,"3,5",0,0,1,0,1
chr1,1019605,1019700,3,"2,3,5",0,1,1,0,1
chr1,1019700,1019727,4,"2,3,4,5",0,1,1,1,1
chr1,1019727,1019796,3,"2,4,5",0,1,0,1,1
chr1,1019796,1019865,2,"2,5",0,1,0,0,1
chr1,1019866,1019947,2,"3,5",0,0,1,0,1
chr1,1020034,1020297,2,"3,5",0,0,1,0,1
chr1,1058111,1058185,2,"3,5",0,0,1,0,1
chr1,1058185,1058314,3,"1,3,5",1,0,1,0,1
chr1,1058314,1058698,4,"1,3,4,5",1,0,1,1,1
chr1,1058698,1058760,3,"1,3,5",1,0,1,0,1
chr1,1058867,1058965,2,"3,5",0,0,1,0,1
chr1,1059368,1059505,2,"4,5",0,0,0,1,1
chr1,1059505,1059794,3,"1,4,5",1,0,0,1,1
chr1,1079541,1080117,2,"1,5",1,0,0,0,1
chr1,1128525,1128772,2,"1,5",1,0,0,0,1
chr1,1231445,1231889,2,"3,5",0,0,1,0,1
chr1,1237964,1238046,2,"3,5",0,0,1,0,1
chr1,1238046,1238181,3,"3,4,5",0,0,1,1,1
chr1,1238181,1238430,4,"1,3,4,5",1,0,1,1,1
chr1,1238430,1238757,3,"1,3,5",1,0,1,0,1
chr1,1238757,1238817,2,"3,5",0,0,1,0,1
chr1,1273533,1273581,2,"3,5",0,0,1,0,1
