chrom,start,end,num,list,ENCFF184VLV_ESRRA_sorted.bed,ENCFF701CIO_ESRRA_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778577,778947,2,"1,3",1,0,1
chr1,959194,959500,2,"1,3",1,0,1
chr1,1000042,1000412,2,"1,3",1,0,1
chr1,1000706,1000764,2,"2,3",0,1,1
chr1,1000764,1000904,3,"1,2,3",1,1,1
chr1,1157409,1157763,2,"1,3",1,0,1
chr1,1231698,1231949,2,"2,3",0,1,1
chr1,1231949,1232046,3,"1,2,3",1,1,1
chr1,1232046,1232127,2,"2,3",0,1,1
chr1,1273751,1273980,2,"1,3",1,0,1
chr1,1324965,1325104,2,"1,3",1,0,1
chr1,1349539,1349789,2,"1,3",1,0,1
chr1,1349821,1350012,2,"1,3",1,0,1
chr1,1375095,1375108,2,"2,3",0,1,1
chr1,1375108,1375662,3,"1,2,3",1,1,1
chr1,1399274,1399361,2,"1,3",1,0,1
chr1,1399361,1399644,3,"1,2,3",1,1,1
chr1,1399644,1399678,2,"2,3",0,1,1
chr1,1407134,1407483,3,"1,2,3",1,1,1
chr1,1407483,1407508,2,"2,3",0,1,1
chr1,1440940,1441179,2,"1,3",1,0,1
chr1,1471527,1471652,2,"2,3",0,1,1
chr1,1471652,1471746,3,"1,2,3",1,1,1
chr1,1471746,1471857,2,"2,3",0,1,1
chr1,1511789,1512159,2,"1,3",1,0,1
chr1,1574967,1575082,2,"2,3",0,1,1
chr1,1615385,1615608,2,"2,3",0,1,1
chr1,1615694,1615805,2,"2,3",0,1,1
chr1,1658949,1659000,2,"2,3",0,1,1
chr1,1659000,1659111,3,"1,2,3",1,1,1
chr1,1659111,1659251,2,"1,3",1,0,1
chr1,1724162,1724215,2,"2,3",0,1,1
chr1,1724215,1724582,3,"1,2,3",1,1,1
chr1,1724582,1724585,2,"1,3",1,0,1
chr1,1758865,1759219,2,"1,3",1,0,1
chr1,1778806,1779072,2,"2,3",0,1,1
chr1,1891004,1891299,2,"1,3",1,0,1
chr1,1906267,1906516,3,"1,2,3",1,1,1
chr1,1906516,1906526,2,"2,3",0,1,1
chr1,1919285,1919831,2,"1,3",1,0,1
chr1,2133104,2133425,2,"1,3",1,0,1
chr1,2180345,2180715,2,"1,3",1,0,1
chr1,2189641,2189940,2,"1,3",1,0,1
chr1,2189975,2190011,2,"1,3",1,0,1
chr1,2227549,2227965,2,"1,3",1,0,1
chr1,2381801,2382054,2,"1,3",1,0,1
chr1,2391514,2391933,2,"1,3",1,0,1
chr1,2412477,2412770,2,"1,3",1,0,1
chr1,2526145,2526498,2,"1,3",1,0,1
chr1,2546454,2546457,2,"1,3",1,0,1
chr1,2546914,2547224,2,"1,3",1,0,1
chr1,2586353,2586723,2,"1,3",1,0,1
chr1,3313110,3313429,2,"1,3",1,0,1
chr1,3619041,3619302,2,"1,3",1,0,1
chr1,3624796,3625125,2,"1,3",1,0,1
chr1,3747206,3747571,2,"1,3",1,0,1
chr1,3775496,3775769,2,"1,3",1,0,1
chr1,3857201,3857571,2,"1,3",1,0,1
chr1,3900217,3900339,2,"2,3",0,1,1
