chrom,start,end,num,list,ENCFF204CDB_ESRRA_sorted.bed,ENCFF640LUD_ESRRA_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778480,778969,2,"2,3",0,1,1
chr1,1000536,1000885,2,"1,3",1,0,1
chr1,1006066,1006221,2,"1,3",1,0,1
chr1,1006445,1006463,2,"2,3",0,1,1
chr1,1006463,1006871,3,"1,2,3",1,1,1
chr1,1013363,1013863,2,"1,3",1,0,1
chr1,1058240,1058257,2,"1,3",1,0,1
chr1,1058257,1058740,3,"1,2,3",1,1,1
chr1,1058740,1058760,2,"2,3",0,1,1
chr1,1079403,1080125,2,"2,3",0,1,1
chr1,1231579,1232099,2,"2,3",0,1,1
chr1,1238096,1238108,2,"2,3",0,1,1
chr1,1238108,1238608,3,"1,2,3",1,1,1
chr1,1238608,1238616,2,"2,3",0,1,1
chr1,1281563,1282282,2,"2,3",0,1,1
chr1,1324942,1324986,2,"2,3",0,1,1
chr1,1324986,1325418,3,"1,2,3",1,1,1
chr1,1347618,1348084,2,"1,3",1,0,1
chr1,1375086,1375586,2,"1,3",1,0,1
chr1,1399251,1399740,3,"1,2,3",1,1,1
chr1,1399740,1399881,2,"2,3",0,1,1
chr1,1400760,1400764,2,"1,3",1,0,1
chr1,1400764,1401237,3,"1,2,3",1,1,1
chr1,1407010,1407414,2,"1,3",1,0,1
chr1,1433028,1433454,3,"1,2,3",1,1,1
chr1,1433454,1433634,2,"2,3",0,1,1
chr1,1471433,1471879,2,"2,3",0,1,1
chr1,1511646,1512146,2,"1,3",1,0,1
chr1,1615405,1615441,2,"2,3",0,1,1
chr1,1615441,1615925,3,"1,2,3",1,1,1
chr1,1615925,1615976,2,"1,3",1,0,1
chr1,1678721,1679197,2,"1,3",1,0,1
chr1,1778734,1779254,2,"2,3",0,1,1
chr1,1783010,1783194,2,"1,3",1,0,1
chr1,1906251,1906535,3,"1,2,3",1,1,1
chr1,1909134,1909460,2,"2,3",0,1,1
chr1,2047261,2047541,2,"2,3",0,1,1
chr1,2049597,2050352,2,"1,3",1,0,1
chr1,2134830,2135350,2,"2,3",0,1,1
chr1,2208168,2208522,2,"2,3",0,1,1
chr1,2234493,2234628,2,"2,3",0,1,1
chr1,2311447,2311791,2,"1,3",1,0,1
chr1,2413107,2413510,2,"1,3",1,0,1
chr1,2578281,2578658,2,"1,3",1,0,1
chr1,2642789,2643289,2,"1,3",1,0,1
chr1,3456901,3457401,2,"1,3",1,0,1
chr1,3460117,3460422,3,"1,2,3",1,1,1
chr1,3668691,3668756,2,"2,3",0,1,1
chr1,3668756,3668938,3,"1,2,3",1,1,1
chr1,3718051,3718523,2,"1,3",1,0,1
chr1,3772051,3772216,2,"1,3",1,0,1
chr1,3775330,3775617,2,"1,3",1,0,1
chr1,3900026,3900195,2,"2,3",0,1,1
chr1,3900195,3900524,3,"1,2,3",1,1,1
chr1,3900524,3900695,2,"1,3",1,0,1
chr1,5991875,5992375,2,"1,3",1,0,1
chr1,6199332,6199884,2,"2,3",0,1,1
chr1,6205824,6205861,2,"1,3",1,0,1
chr1,6205861,6206324,3,"1,2,3",1,1,1
chr1,6206324,6206381,2,"2,3",0,1,1
chr1,6393435,6393935,2,"1,3",1,0,1
chr1,6447093,6447138,2,"1,3",1,0,1
chr1,6447138,6447593,3,"1,2,3",1,1,1
chr1,6447593,6447600,2,"2,3",0,1,1
chr1,6450908,6451393,2,"2,3",0,1,1
chr1,6579477,6580107,2,"1,3",1,0,1
chr1,6624902,6625402,2,"1,3",1,0,1
chr1,6784733,6785253,2,"2,3",0,1,1
chr1,8026112,8026137,2,"1,3",1,0,1
chr1,8027277,8027777,2,"1,3",1,0,1
chr1,8211897,8212417,2,"2,3",0,1,1
chr1,8742005,8742367,3,"1,2,3",1,1,1
chr1,8742367,8742448,2,"2,3",0,1,1
chr1,8879101,8879125,2,"1,3",1,0,1
chr1,8879125,8879236,3,"1,2,3",1,1,1
chr1,8879236,8879412,2,"2,3",0,1,1
chr1,9100535,9100687,2,"1,3",1,0,1
chr1,9100687,9101028,3,"1,2,3",1,1,1
chr1,9172092,9172535,2,"1,3",1,0,1
chr1,9233163,9233675,2,"2,3",0,1,1
chr1,9234204,9234309,2,"1,3",1,0,1
chr1,9234309,9234753,3,"1,2,3",1,1,1
chr1,9234753,9234829,2,"2,3",0,1,1
chr1,9501006,9501535,2,"1,3",1,0,1
chr1,9539020,9539520,2,"1,3",1,0,1
chr1,9588565,9589006,2,"2,3",0,1,1
chr1,9929440,9929791,2,"2,3",0,1,1
chr1,9943148,9943169,2,"1,3",1,0,1
chr1,9943169,9943601,3,"1,2,3",1,1,1
chr1,10210060,10210560,2,"1,3",1,0,1
chr1,10398616,10399366,2,"1,3",1,0,1
chr1,10430233,10430668,3,"1,2,3",1,1,1
chr1,10430668,10430685,2,"2,3",0,1,1
chr1,10472220,10472712,2,"1,3",1,0,1
chr1,10474753,10475090,2,"2,3",0,1,1
chr1,11012445,11013145,2,"1,3",1,0,1
chr1,11272997,11273497,2,"1,3",1,0,1
chr1,11671451,11672120,2,"1,3",1,0,1
chr1,11842601,11842634,2,"1,3",1,0,1
chr1,11842634,11843101,3,"1,2,3",1,1,1
chr1,11843101,11843154,2,"2,3",0,1,1
chr1,11907907,11907956,2,"2,3",0,1,1
chr1,11908077,11908427,2,"2,3",0,1,1
chr1,11979970,11980670,2,"1,3",1,0,1
chr1,12525351,12525788,2,"1,3",1,0,1
chr1,12528494,12528498,2,"2,3",0,1,1
chr1,12528498,12528904,3,"1,2,3",1,1,1
chr1,12615918,12616380,2,"2,3",0,1,1
chr1,12618982,12619350,2,"1,3",1,0,1
chr1,15153672,15154192,2,"2,3",0,1,1
chr1,15584785,15584838,2,"2,3",0,1,1
chr1,15584838,15585338,3,"1,2,3",1,1,1
chr1,15585338,15585393,2,"2,3",0,1,1
chr1,15800038,15800083,2,"2,3",0,1,1
chr1,15800083,15800558,3,"1,2,3",1,1,1
chr1,15800558,15800583,2,"1,3",1,0,1
chr1,15834610,15834678,2,"1,3",1,0,1
chr1,15834678,15835110,3,"1,2,3",1,1,1
chr1,15835110,15835198,2,"2,3",0,1,1
chr1,15847198,15847350,2,"1,3",1,0,1
chr1,15847350,15847870,3,"1,2,3",1,1,1
chr1,15847870,15847881,2,"1,3",1,0,1
chr1,15975592,15976102,2,"1,3",1,0,1
chr1,15976102,15976277,3,"1,2,3",1,1,1
chr1,15994583,15994882,2,"2,3",0,1,1
chr1,16003934,16003968,2,"1,3",1,0,1
chr1,16003968,16004414,3,"1,2,3",1,1,1
chr1,16004414,16004472,2,"2,3",0,1,1
chr1,16012765,16012777,2,"2,3",0,1,1
chr1,16012777,16013277,3,"1,2,3",1,1,1
chr1,16013277,16013285,2,"2,3",0,1,1
chr1,16164301,16164700,2,"2,3",0,1,1
chr1,16440393,16440488,2,"2,3",0,1,1
chr1,16440488,16440988,3,"1,2,3",1,1,1
chr1,16440988,16441068,2,"2,3",0,1,1
chr1,16613168,16613231,2,"1,3",1,0,1
chr1,16613231,16613668,3,"1,2,3",1,1,1
chr1,16613668,16613960,2,"2,3",0,1,1
chr1,16644563,16644955,3,"1,2,3",1,1,1
chr1,16644955,16644966,2,"1,3",1,0,1
chr1,16645192,16645692,2,"1,3",1,0,1
chr1,17406047,17406054,2,"1,3",1,0,1
chr1,17406054,17406547,3,"1,2,3",1,1,1
chr1,17406547,17406574,2,"2,3",0,1,1
chr1,18901159,18901563,2,"1,3",1,0,1
chr1,19210122,19210128,2,"2,3",0,1,1
chr1,19210128,19210628,3,"1,2,3",1,1,1
chr1,19210628,19210642,2,"2,3",0,1,1
chr1,19251430,19251763,3,"1,2,3",1,1,1
chr1,19251763,19251911,2,"1,3",1,0,1
chr1,19311626,19311963,2,"1,3",1,0,1
chr1,19596392,19596632,2,"1,3",1,0,1
chr1,19596632,19597079,3,"1,2,3",1,1,1
chr1,19597079,19597152,2,"2,3",0,1,1
chr1,19925208,19925753,2,"2,3",0,1,1
chr1,20476362,20476762,2,"2,3",0,1,1
chr1,20480308,20480785,3,"1,2,3",1,1,1
chr1,20486578,20487078,2,"1,3",1,0,1
chr1,20507791,20507828,2,"1,3",1,0,1
chr1,20507828,20508291,3,"1,2,3",1,1,1
chr1,20508291,20508348,2,"2,3",0,1,1
chr1,20551957,20552584,2,"1,3",1,0,1
chr1,20633248,20633617,3,"1,2,3",1,1,1
chr1,20633617,20633684,2,"2,3",0,1,1
chr1,20696820,20697341,2,"2,3",0,1,1
chr1,21269590,21269959,2,"1,3",1,0,1
chr1,21269959,21270090,3,"1,2,3",1,1,1
chr1,21270090,21270147,2,"2,3",0,1,1
chr1,21669578,21669667,2,"1,3",1,0,1
chr1,21669667,21670078,3,"1,2,3",1,1,1
chr1,21670078,21670141,2,"2,3",0,1,1
chr1,22052516,22052866,2,"1,3",1,0,1
chr1,22052955,22053016,2,"1,3",1,0,1
chr1,22451677,22451747,2,"1,3",1,0,1
chr1,22451747,22452267,3,"1,2,3",1,1,1
chr1,22452267,22452445,2,"1,3",1,0,1
chr1,23019193,23019202,2,"1,3",1,0,1
chr1,23019202,23019615,3,"1,2,3",1,1,1
chr1,23019615,23019722,2,"2,3",0,1,1
chr1,23187653,23187676,2,"2,3",0,1,1
chr1,23187676,23188056,3,"1,2,3",1,1,1
chr1,23376989,23377509,2,"2,3",0,1,1
chr1,23743052,23743552,2,"1,3",1,0,1
chr1,23777905,23778320,2,"2,3",0,1,1
chr1,23958964,23959160,2,"2,3",0,1,1
