chrom,start,end,peak_count,files,ENCFF001WUM.bed.gz,ENCFF001WUL.bed.gz,TF_TSS_10kb_named.bed
chr1,713232,713463,3,"1,2,3",1,1,1
chr1,713653,713656,3,"1,2,3",1,1,1
chr1,713880,714751,3,"1,2,3",1,1,1
chr1,715078,715514,3,"1,2,3",1,1,1
chr1,761958,763150,3,"1,2,3",1,1,1
chr1,805273,805349,3,"1,2,3",1,1,1
chr1,858427,862018,3,"1,2,3",1,1,1
chr1,874024,874168,3,"1,2,3",1,1,1
chr1,874582,874708,3,"1,2,3",1,1,1
chr1,875078,878654,3,"1,2,3",1,1,1
chr1,878816,879081,3,"1,2,3",1,1,1
chr1,879245,879497,3,"1,2,3",1,1,1
chr1,894834,895160,3,"1,2,3",1,1,1
chr1,895457,896915,3,"1,2,3",1,1,1
chr1,901559,902867,3,"1,2,3",1,1,1
chr1,911178,912119,3,"1,2,3",1,1,1
chr1,919715,919928,3,"1,2,3",1,1,1
chr1,934116,937441,3,"1,2,3",1,1,1
chr1,948241,949193,3,"1,2,3",1,1,1
chr1,954574,954848,3,"1,2,3",1,1,1
chr1,955051,955220,3,"1,2,3",1,1,1
chr1,955530,957600,3,"1,2,3",1,1,1
chr1,960071,960701,3,"1,2,3",1,1,1
chr1,994085,995602,3,"1,2,3",1,1,1
chr1,999368,999414,3,"1,2,3",1,1,1
chr1,999625,999705,3,"1,2,3",1,1,1
chr1,1004147,1005169,3,"1,2,3",1,1,1
chr1,1014834,1015940,3,"1,2,3",1,1,1
chr1,1050430,1050924,3,"1,2,3",1,1,1
chr1,1051124,1052508,3,"1,2,3",1,1,1
chr1,1136936,1137071,3,"1,2,3",1,1,1
chr1,1166049,1167476,3,"1,2,3",1,1,1
chr1,1168006,1168091,3,"1,2,3",1,1,1
chr1,1207567,1210227,3,"1,2,3",1,1,1
chr1,1240494,1240535,3,"1,2,3",1,1,1
chr1,1240769,1241459,3,"1,2,3",1,1,1
chr1,1242014,1244935,3,"1,2,3",1,1,1
chr1,1259583,1261306,3,"1,2,3",1,1,1
