chrom,start,end,num,list,ENCFF033OLJ_RAD21_sorted.bed,ENCFF708PXY_RAD21_sorted.bed,ENCFF717LNZ_RAD21_sorted.bed,ENCFF856BXY_RAD21_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778758,778809,2,"3,5",0,0,1,0,1
chr1,778809,779042,3,"2,3,5",0,1,1,0,1
chr1,779042,779069,2,"2,5",0,1,0,0,1
chr1,869823,870083,2,"2,5",0,1,0,0,1
chr1,904567,904628,2,"1,5",1,0,0,0,1
chr1,904628,904650,3,"1,3,5",1,0,1,0,1
chr1,904650,904655,4,"1,2,3,5",1,1,1,0,1
chr1,904655,904885,5,"1,2,3,4,5",1,1,1,1,1
chr1,904885,904910,4,"1,2,3,5",1,1,1,0,1
chr1,904910,904912,3,"1,3,5",1,0,1,0,1
chr1,904912,904955,2,"1,5",1,0,0,0,1
chr1,925548,925799,2,"2,5",0,1,0,0,1
chr1,938150,938162,4,"1,2,3,5",1,1,1,0,1
chr1,938162,938392,5,"1,2,3,4,5",1,1,1,1,1
chr1,938392,938399,4,"1,2,3,5",1,1,1,0,1
chr1,938399,938401,3,"1,2,5",1,1,0,0,1
chr1,938401,938485,2,"1,5",1,0,0,0,1
chr1,976079,976339,2,"2,5",0,1,0,0,1
chr1,984113,984183,2,"1,5",1,0,0,0,1
chr1,984183,984210,3,"1,3,5",1,0,1,0,1
chr1,984210,984214,4,"1,2,3,5",1,1,1,0,1
chr1,984214,984444,5,"1,2,3,4,5",1,1,1,1,1
chr1,984444,984467,4,"1,2,3,5",1,1,1,0,1
chr1,984467,984470,3,"1,2,5",1,1,0,0,1
chr1,984470,984537,2,"1,5",1,0,0,0,1
chr1,1001846,1001905,2,"3,5",0,0,1,0,1
chr1,1001905,1002120,3,"2,3,5",0,1,1,0,1
chr1,1063865,1063916,4,"2,3,4,5",0,1,1,1,1
chr1,1063916,1064034,5,"1,2,3,4,5",1,1,1,1,1
chr1,1064034,1064071,4,"2,3,4,5",0,1,1,1,1
chr1,1064071,1064101,3,"2,3,5",0,1,1,0,1
chr1,1064101,1064113,2,"3,5",0,0,1,0,1
chr1,1073777,1074037,2,"2,5",0,1,0,0,1
chr1,1079441,1079701,2,"2,5",0,1,0,0,1
chr1,1132511,1132935,2,"1,5",1,0,0,0,1
chr1,1290205,1290212,3,"2,3,5",0,1,1,0,1
chr1,1290212,1290442,4,"2,3,4,5",0,1,1,1,1
chr1,1290442,1290464,3,"2,3,5",0,1,1,0,1
chr1,1290464,1290466,2,"3,5",0,0,1,0,1
chr1,1291819,1291887,2,"1,5",1,0,0,0,1
chr1,1291887,1291911,3,"1,2,5",1,1,0,0,1
chr1,1291911,1291992,4,"1,2,4,5",1,1,0,1,1
chr1,1291992,1292090,5,"1,2,3,4,5",1,1,1,1,1
chr1,1292090,1292141,4,"1,2,4,5",1,1,0,1,1
chr1,1292141,1292147,3,"1,2,5",1,1,0,0,1
chr1,1292147,1292157,2,"1,5",1,0,0,0,1
chr1,1349810,1350029,2,"2,5",0,1,0,0,1
chr1,1372091,1372102,2,"3,5",0,0,1,0,1
chr1,1372102,1372351,3,"2,3,5",0,1,1,0,1
chr1,1407758,1408028,2,"1,5",1,0,0,0,1
chr1,1440901,1440938,2,"1,5",1,0,0,0,1
chr1,1440938,1440953,3,"1,3,5",1,0,1,0,1
chr1,1440953,1440982,4,"1,2,3,5",1,1,1,0,1
chr1,1440982,1441212,5,"1,2,3,4,5",1,1,1,1,1
chr1,1441212,1441213,4,"1,2,3,5",1,1,1,0,1
chr1,1441213,1441222,3,"1,3,5",1,0,1,0,1
chr1,1441222,1441287,2,"1,5",1,0,0,0,1
chr1,1441629,1441664,2,"3,5",0,0,1,0,1
chr1,1441664,1441675,3,"2,3,5",0,1,1,0,1
chr1,1441675,1441896,4,"2,3,4,5",0,1,1,1,1
chr1,1504803,1504947,2,"1,5",1,0,0,0,1
chr1,1504947,1504948,3,"1,3,5",1,0,1,0,1
chr1,1504948,1504957,4,"1,3,4,5",1,0,1,1,1
chr1,1504957,1505178,5,"1,2,3,4,5",1,1,1,1,1
chr1,1505178,1505217,4,"1,2,3,5",1,1,1,0,1
chr1,1505217,1505227,3,"1,3,5",1,0,1,0,1
chr1,1505227,1505231,2,"3,5",0,0,1,0,1
chr1,1551019,1551041,2,"2,5",0,1,0,0,1
chr1,1551041,1551271,3,"2,4,5",0,1,0,1,1
chr1,1551271,1551279,2,"2,5",0,1,0,0,1
chr1,1758738,1758801,2,"1,5",1,0,0,0,1
chr1,1758801,1759045,3,"1,3,5",1,0,1,0,1
chr1,1759045,1759162,4,"1,2,3,5",1,1,1,0,1
chr1,1759162,1759293,3,"2,3,5",0,1,1,0,1
chr1,1759293,1759305,2,"2,5",0,1,0,0,1
chr1,1779048,1779332,2,"3,5",0,0,1,0,1
chr1,1906307,1906312,2,"3,5",0,0,1,0,1
chr1,1906312,1906332,3,"1,3,5",1,0,1,0,1
chr1,1906332,1906335,4,"1,2,3,5",1,1,1,0,1
chr1,1906335,1906479,5,"1,2,3,4,5",1,1,1,1,1
chr1,1906479,1906484,3,"3,4,5",0,0,1,1,1
chr1,1906484,1906493,2,"4,5",0,0,0,1,1
chr1,1909008,1909268,2,"2,5",0,1,0,0,1
chr1,2044863,2044872,2,"3,5",0,0,1,0,1
chr1,2044872,2044885,3,"2,3,5",0,1,1,0,1
chr1,2044885,2045115,4,"2,3,4,5",0,1,1,1,1
chr1,2045115,2045132,3,"2,3,5",0,1,1,0,1
