chrom,start,end,num,list,ENCFF089XUG_MAZ_sorted.bed,ENCFF147KVT_MAZ_sorted.bed,ENCFF372CNC_MAZ_sorted.bed,ENCFF547ETZ_MAZ_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778453,778509,2,"1,5",1,0,0,0,1
chr1,778509,778528,3,"1,3,5",1,0,1,0,1
chr1,778528,778582,4,"1,3,4,5",1,0,1,1,1
chr1,778582,778902,5,"1,2,3,4,5",1,1,1,1,1
chr1,778902,778924,4,"1,3,4,5",1,0,1,1,1
chr1,778924,778933,3,"1,3,5",1,0,1,0,1
chr1,778933,779076,2,"1,5",1,0,0,0,1
chr1,827294,827301,2,"4,5",0,0,0,1,1
chr1,827301,827339,3,"1,4,5",1,0,0,1,1
chr1,827339,827659,4,"1,2,4,5",1,1,0,1,1
chr1,827659,827690,3,"1,4,5",1,0,0,1,1
chr1,827690,827921,2,"1,5",1,0,0,0,1
chr1,904530,904615,2,"4,5",0,0,0,1,1
chr1,904615,904926,3,"2,4,5",0,1,0,1,1
chr1,904926,904935,2,"2,5",0,1,0,0,1
chr1,905204,905212,2,"1,5",1,0,0,0,1
chr1,905212,905576,3,"1,4,5",1,0,0,1,1
chr1,959112,959187,2,"1,5",1,0,0,0,1
chr1,959187,959231,3,"1,4,5",1,0,0,1,1
chr1,959231,959512,4,"1,2,4,5",1,1,0,1,1
chr1,959512,959549,3,"2,4,5",0,1,0,1,1
chr1,960416,960425,2,"3,5",0,0,1,0,1
chr1,960425,960459,3,"2,3,5",0,1,1,0,1
chr1,960459,960513,4,"2,3,4,5",0,1,1,1,1
chr1,960513,960677,5,"1,2,3,4,5",1,1,1,1,1
chr1,960677,960743,4,"1,2,3,5",1,1,1,0,1
chr1,960743,960767,3,"2,3,5",0,1,1,0,1
chr1,960767,960822,2,"2,5",0,1,0,0,1
chr1,966639,966760,2,"1,5",1,0,0,0,1
chr1,966760,967055,3,"1,4,5",1,0,0,1,1
chr1,967055,967156,2,"4,5",0,0,0,1,1
chr1,1000184,1000338,2,"1,5",1,0,0,0,1
chr1,1000338,1000658,3,"1,2,5",1,1,0,0,1
chr1,1000658,1000803,2,"1,5",1,0,0,0,1
chr1,1001860,1001916,4,"1,3,4,5",1,0,1,1,1
chr1,1001916,1002115,5,"1,2,3,4,5",1,1,1,1,1
chr1,1013245,1013661,2,"1,5",1,0,0,0,1
chr1,1019460,1019474,2,"4,5",0,0,0,1,1
chr1,1019474,1019480,3,"1,4,5",1,0,0,1,1
chr1,1019480,1019800,4,"1,2,4,5",1,1,0,1,1
chr1,1019800,1019856,3,"1,4,5",1,0,0,1,1
chr1,1019856,1019890,2,"1,5",1,0,0,0,1
chr1,1020117,1020343,2,"1,5",1,0,0,0,1
chr1,1050660,1050694,2,"4,5",0,0,0,1,1
chr1,1050694,1050759,3,"1,4,5",1,0,0,1,1
chr1,1050759,1051035,4,"1,2,4,5",1,1,0,1,1
chr1,1059393,1059494,2,"4,5",0,0,0,1,1
chr1,1059494,1059789,3,"1,4,5",1,0,0,1,1
chr1,1059789,1059803,2,"1,5",1,0,0,0,1
chr1,1063769,1063780,2,"3,5",0,0,1,0,1
chr1,1063780,1064176,3,"3,4,5",0,0,1,1,1
chr1,1064176,1064241,2,"3,5",0,0,1,0,1
chr1,1064241,1064262,3,"3,4,5",0,0,1,1,1
chr1,1064262,1064282,4,"2,3,4,5",0,1,1,1,1
chr1,1064282,1064519,5,"1,2,3,4,5",1,1,1,1,1
chr1,1064519,1064571,4,"2,3,4,5",0,1,1,1,1
chr1,1069092,1069655,2,"1,5",1,0,0,0,1
chr1,1136977,1137227,2,"3,5",0,0,1,0,1
chr1,1137227,1137261,3,"1,3,5",1,0,1,0,1
chr1,1137261,1137330,4,"1,3,4,5",1,0,1,1,1
chr1,1137330,1137643,5,"1,2,3,4,5",1,1,1,1,1
chr1,1137643,1137650,4,"2,3,4,5",0,1,1,1,1
chr1,1137650,1137657,3,"3,4,5",0,0,1,1,1
chr1,1137657,1137685,2,"3,5",0,0,1,0,1
chr1,1144083,1144453,2,"1,5",1,0,0,0,1
chr1,1157366,1157405,2,"4,5",0,0,0,1,1
chr1,1157405,1157450,3,"3,4,5",0,0,1,1,1
chr1,1157450,1157473,4,"1,3,4,5",1,0,1,1,1
