chrom,start,end,num,list,ENCFF053XIP_REST_sorted.bed,ENCFF321FXG_REST_sorted.bed,ENCFF377BCP_REST_sorted.bed,ENCFF462FTK_REST_sorted.bed,ENCFF625JMY_REST_sorted.bed,ENCFF681JCX_REST_sorted.bed,ENCFF800ESB_REST_sorted.bed,ENCFF807IYF_REST_sorted.bed,ENCFF873JLN_REST_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778527,778681,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,778681,778734,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,778734,778757,4,"4,7,8,10",0,0,0,1,0,0,1,1,0,1
chr1,778757,778892,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,778892,779007,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1000013,1000239,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,1000746,1000904,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,1069189,1069347,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,1069347,1069660,3,"2,6,10",0,1,0,0,0,1,0,0,0,1
chr1,1135375,1135673,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,1135673,1135676,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1157478,1157586,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,1157586,1157719,3,"8,9,10",0,0,0,0,0,0,0,1,1,1
chr1,1157719,1157722,4,"6,8,9,10",0,0,0,0,0,1,0,1,1,1
chr1,1157722,1157795,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1231712,1231713,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,1231713,1231777,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1231777,1231931,4,"6,8,9,10",0,0,0,0,0,1,0,1,1,1
chr1,1231931,1231950,5,"4,6,8,9,10",0,0,0,1,0,1,0,1,1,1
chr1,1231950,1232021,6,"4,6,7,8,9,10",0,0,0,1,0,1,1,1,1,1
chr1,1232021,1232092,5,"4,6,7,8,10",0,0,0,1,0,1,1,1,0,1
chr1,1232092,1232093,4,"4,7,8,10",0,0,0,1,0,0,1,1,0,1
chr1,1232093,1232237,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,1232237,1232241,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1308050,1308580,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,1308583,1308612,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,1308612,1308737,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1324560,1324634,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,1349567,1349589,2,"8,10",0,0,0,0,0,0,0,1,0,1
chr1,1349589,1349722,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1349722,1349789,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,1349821,1349947,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,1349947,1349969,3,"4,6,10",0,0,0,1,0,1,0,0,0,1
chr1,1349969,1350012,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1375095,1375118,4,"1,6,8,10",1,0,0,0,0,1,0,1,0,1
chr1,1375118,1375141,5,"1,6,8,9,10",1,0,0,0,0,1,0,1,1,1
chr1,1375141,1375142,6,"1,2,6,8,9,10",1,1,0,0,0,1,0,1,1,1
chr1,1375142,1375342,7,"1,2,5,6,8,9,10",1,1,0,0,1,1,0,1,1,1
chr1,1375342,1375362,6,"1,2,6,8,9,10",1,1,0,0,0,1,0,1,1,1
chr1,1375362,1375404,5,"1,2,6,8,10",1,1,0,0,0,1,0,1,0,1
chr1,1375404,1375461,4,"1,2,6,10",1,1,0,0,0,1,0,0,0,1
chr1,1375461,1375566,3,"1,2,10",1,1,0,0,0,0,0,0,0,1
chr1,1375566,1375689,2,"1,10",1,0,0,0,0,0,0,0,0,1
chr1,1399248,1399396,4,"2,6,8,10",0,1,0,0,0,1,0,1,0,1
chr1,1399396,1399437,5,"2,4,6,8,10",0,1,0,1,0,1,0,1,0,1
chr1,1399437,1399448,4,"2,4,8,10",0,1,0,1,0,0,0,1,0,1
chr1,1399448,1399678,3,"2,4,10",0,1,0,1,0,0,0,0,0,1
chr1,1407205,1407224,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1407224,1407270,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,1407270,1407514,4,"4,8,9,10",0,0,0,1,0,0,0,1,1,1
chr1,1407514,1407588,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,1440946,1440957,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,1440957,1441179,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,1471450,1471498,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1471498,1471514,4,"6,8,9,10",0,0,0,0,0,1,0,1,1,1
chr1,1471514,1471519,5,"6,7,8,9,10",0,0,0,0,0,1,1,1,1,1
chr1,1471519,1471583,6,"4,6,7,8,9,10",0,0,0,1,0,1,1,1,1,1
chr1,1471583,1471737,5,"4,6,7,9,10",0,0,0,1,0,1,1,0,1,1
chr1,1471737,1471742,4,"4,7,9,10",0,0,0,1,0,0,1,0,1,1
chr1,1471742,1471807,3,"4,7,10",0,0,0,1,0,0,1,0,0,1
chr1,1471807,1471809,2,"7,10",0,0,0,0,0,0,1,0,0,1
chr1,1505589,1505747,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1511622,1511694,4,"1,2,6,10",1,1,0,0,0,1,0,0,0,1
chr1,1511694,1511866,5,"1,2,6,8,10",1,1,0,0,0,1,0,1,0,1
chr1,1511866,1512002,6,"1,2,6,8,9,10",1,1,0,0,0,1,0,1,1,1
chr1,1512002,1512059,5,"1,6,8,9,10",1,0,0,0,0,1,0,1,1,1
chr1,1512059,1512074,4,"1,8,9,10",1,0,0,0,0,0,0,1,1,1
chr1,1512074,1512110,3,"1,9,10",1,0,0,0,0,0,0,0,1,1
chr1,1512110,1512181,2,"1,10",1,0,0,0,0,0,0,0,0,1
chr1,1574495,1574641,3,"2,6,10",0,1,0,0,0,1,0,0,0,1
chr1,1574641,1574776,2,"2,10",0,1,0,0,0,0,0,0,0,1
chr1,1615464,1615485,2,"9,10",0,0,0,0,0,0,0,0,1,1
chr1,1615485,1615589,3,"4,9,10",0,0,0,1,0,0,0,0,1,1
chr1,1615589,1615608,4,"4,8,9,10",0,0,0,1,0,0,0,1,1,1
chr1,1615694,1615708,5,"4,6,8,9,10",0,0,0,1,0,1,0,1,1,1
chr1,1615708,1615889,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,1615889,1615938,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1659026,1659430,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1724082,1724101,2,"6,10",0,0,0,0,0,1,0,0,0,1
chr1,1724101,1724358,3,"6,8,10",0,0,0,0,0,1,0,1,0,1
chr1,1724358,1724453,4,"4,6,8,10",0,0,0,1,0,1,0,1,0,1
chr1,1724453,1724481,3,"4,8,10",0,0,0,1,0,0,0,1,0,1
chr1,1724481,1724762,2,"4,10",0,0,0,1,0,0,0,0,0,1
chr1,1758846,1759219,2,"4,10",0,0,0,1,0,0,0,0,0,1
