chrom,start,end,num,list,ENCFF181MKU_RCOR1_sorted.bed,ENCFF204NAG_RCOR1_sorted.bed,ENCFF360FBK_RCOR1_sorted.bed,ENCFF757RIY_RCOR1_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778761,779007,2,"2,5",0,1,0,0,1
chr1,1000750,1000790,2,"4,5",0,0,0,1,1
chr1,1000790,1000904,3,"2,4,5",0,1,0,1,1
chr1,1059493,1059783,2,"2,5",0,1,0,0,1
chr1,1157420,1157716,2,"4,5",0,0,0,1,1
chr1,1231931,1232221,2,"2,5",0,1,0,0,1
chr1,1273751,1274039,2,"2,5",0,1,0,0,1
chr1,1324560,1324811,2,"2,5",0,1,0,0,1
chr1,1375135,1375183,2,"2,5",0,1,0,0,1
chr1,1375183,1375185,3,"2,3,5",0,1,1,0,1
chr1,1375185,1375425,4,"2,3,4,5",0,1,1,1,1
chr1,1375425,1375481,3,"3,4,5",0,0,1,1,1
chr1,1375481,1375493,2,"3,5",0,0,1,0,1
chr1,1399401,1399678,2,"2,5",0,1,0,0,1
chr1,1407184,1407474,2,"2,5",0,1,0,0,1
chr1,1511858,1512148,2,"2,5",0,1,0,0,1
chr1,1574806,1574845,2,"1,5",1,0,0,0,1
chr1,1574845,1575082,3,"1,4,5",1,0,0,1,1
chr1,1758834,1758866,2,"4,5",0,0,0,1,1
chr1,1758866,1759130,3,"2,4,5",0,1,0,1,1
chr1,1759130,1759156,2,"2,5",0,1,0,0,1
chr1,1778814,1778825,2,"4,5",0,0,0,1,1
chr1,1778825,1779110,3,"2,4,5",0,1,0,1,1
chr1,1779110,1779221,2,"2,5",0,1,0,0,1
chr1,1890971,1891262,2,"4,5",0,0,0,1,1
chr1,1906267,1906526,3,"2,4,5",0,1,0,1,1
chr1,1909222,1909453,2,"4,5",0,0,0,1,1
chr1,1919476,1919766,2,"2,5",0,1,0,0,1
chr1,2180399,2180490,2,"2,5",0,1,0,0,1
chr1,2180490,2180689,3,"2,4,5",0,1,0,1,1
chr1,2180689,2180764,2,"4,5",0,0,0,1,1
chr1,2189426,2189575,3,"2,3,5",0,1,1,0,1
chr1,2189575,2189647,4,"2,3,4,5",0,1,1,1,1
chr1,2189647,2189855,3,"2,4,5",0,1,0,1,1
chr1,2189855,2189871,2,"4,5",0,0,0,1,1
chr1,2381801,2382049,3,"2,4,5",0,1,0,1,1
chr1,2382049,2382054,2,"2,5",0,1,0,0,1
chr1,2391461,2391751,2,"2,5",0,1,0,0,1
chr1,2546220,2546457,2,"2,5",0,1,0,0,1
chr1,2546914,2546964,3,"2,4,5",0,1,0,1,1
chr1,2546964,2547114,2,"2,5",0,1,0,0,1
chr1,3313111,3313401,2,"2,5",0,1,0,0,1
chr1,3619041,3619206,5,"1,2,3,4,5",1,1,1,1,1
chr1,3619206,3619210,4,"1,3,4,5",1,0,1,1,1
chr1,3619210,3619220,3,"3,4,5",0,0,1,1,1
chr1,3619220,3619272,2,"3,5",0,0,1,0,1
chr1,3649929,3650176,2,"2,5",0,1,0,0,1
chr1,3718052,3718309,2,"2,5",0,1,0,0,1
chr1,3775496,3775724,4,"2,3,4,5",0,1,1,1,1
chr1,3775724,3775752,3,"2,3,5",0,1,1,0,1
chr1,3775752,3775769,2,"3,5",0,0,1,0,1
chr1,3900981,3901167,2,"1,5",1,0,0,0,1
chr1,3901235,3901341,2,"1,5",1,0,0,0,1
chr1,5885826,5885887,2,"3,5",0,0,1,0,1
chr1,5885887,5885899,3,"2,3,5",0,1,1,0,1
chr1,5885899,5886053,4,"2,3,4,5",0,1,1,1,1
chr1,5886053,5886115,3,"2,3,5",0,1,1,0,1
chr1,5886115,5886136,2,"3,5",0,0,1,0,1
chr1,5992524,5992570,2,"2,5",0,1,0,0,1
chr1,5992570,5992785,3,"2,4,5",0,1,0,1,1
chr1,6199553,6199596,2,"4,5",0,0,0,1,1
chr1,6199596,6199849,3,"2,4,5",0,1,0,1,1
chr1,6199849,6199886,2,"2,5",0,1,0,0,1
chr1,6205174,6205417,2,"2,5",0,1,0,0,1
chr1,6236102,6236106,2,"3,5",0,0,1,0,1
chr1,6236106,6236256,3,"3,4,5",0,0,1,1,1
chr1,6245103,6245178,2,"1,5",1,0,0,0,1
chr1,6245178,6245190,3,"1,2,5",1,1,0,0,1
chr1,6245190,6245280,4,"1,2,4,5",1,1,0,1,1
chr1,6245280,6245286,3,"1,4,5",1,0,0,1,1
