chrom,start,end,num,list,ENCFF324SPP_SIN3A_sorted.bed,ENCFF701HQE_SIN3A_sorted.bed,ENCFF763YLV_SIN3A_sorted.bed,ENCFF873MAF_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778527,778673,4,"1,3,4,5",1,0,1,1,1
chr1,778673,778727,3,"3,4,5",0,0,1,1,1
chr1,778727,778887,2,"4,5",0,0,0,1,1
chr1,827102,827264,3,"3,4,5",0,0,1,1,1
chr1,827264,827619,2,"4,5",0,0,0,1,1
chr1,959165,959173,4,"2,3,4,5",0,1,1,1,1
chr1,959173,959295,5,"1,2,3,4,5",1,1,1,1,1
chr1,959295,959323,4,"1,2,3,5",1,1,1,0,1
chr1,959323,959354,3,"2,3,5",0,1,1,0,1
chr1,959354,959365,2,"3,5",0,0,1,0,1
chr1,1000122,1000543,2,"2,5",0,1,0,0,1
chr1,1013228,1013238,2,"4,5",0,0,0,1,1
chr1,1013238,1013468,3,"3,4,5",0,0,1,1,1
chr1,1013468,1013528,2,"3,5",0,0,1,0,1
chr1,1019998,1020127,2,"3,5",0,0,1,0,1
chr1,1020127,1020297,3,"2,3,5",0,1,1,0,1
chr1,1059134,1059560,2,"4,5",0,0,0,1,1
chr1,1059560,1059800,3,"3,4,5",0,0,1,1,1
chr1,1069349,1069639,2,"3,5",0,0,1,0,1
chr1,1273963,1274253,2,"3,5",0,0,1,0,1
chr1,1307881,1307956,2,"2,5",0,1,0,0,1
chr1,1307956,1307968,3,"1,2,5",1,1,0,0,1
chr1,1307968,1308024,4,"1,2,4,5",1,1,0,1,1
chr1,1308024,1308098,5,"1,2,3,4,5",1,1,1,1,1
chr1,1308098,1308106,4,"1,2,4,5",1,1,0,1,1
chr1,1308106,1308257,3,"2,4,5",0,1,0,1,1
chr1,1308257,1308614,2,"4,5",0,0,0,1,1
chr1,1308614,1308737,3,"3,4,5",0,0,1,1,1
chr1,1324560,1324581,2,"3,5",0,0,1,0,1
chr1,1324637,1325104,2,"4,5",0,0,0,1,1
chr1,1349306,1349449,3,"1,3,5",1,0,1,0,1
chr1,1349449,1349463,2,"3,5",0,0,1,0,1
chr1,1349463,1349557,3,"2,3,5",0,1,1,0,1
chr1,1349557,1349789,2,"2,5",0,1,0,0,1
chr1,1349821,1350012,2,"2,5",0,1,0,0,1
chr1,1375095,1375365,4,"2,3,4,5",0,1,1,1,1
chr1,1375365,1375451,3,"2,4,5",0,1,0,1,1
chr1,1375451,1375576,4,"2,3,4,5",0,1,1,1,1
chr1,1375576,1375614,3,"2,3,5",0,1,1,0,1
chr1,1375614,1375689,2,"3,5",0,0,1,0,1
chr1,1399310,1399382,2,"4,5",0,0,0,1,1
chr1,1399382,1399485,3,"2,4,5",0,1,0,1,1
chr1,1399485,1399540,4,"1,2,4,5",1,1,0,1,1
chr1,1399540,1399612,5,"1,2,3,4,5",1,1,1,1,1
chr1,1399612,1399635,4,"1,2,4,5",1,1,0,1,1
chr1,1399635,1399678,3,"2,4,5",0,1,0,1,1
chr1,1407134,1407228,2,"3,5",0,0,1,0,1
chr1,1407228,1407315,3,"1,3,5",1,0,1,0,1
chr1,1407315,1407378,4,"1,3,4,5",1,0,1,1,1
chr1,1407378,1407397,3,"3,4,5",0,0,1,1,1
chr1,1407397,1407492,2,"4,5",0,0,0,1,1
chr1,1435571,1435819,3,"3,4,5",0,0,1,1,1
chr1,1435819,1435849,2,"3,5",0,0,1,0,1
