chrom,start,end,num,list,ENCFF684YEX_RFX5_sorted.bed,ENCFF863XXN_RFX5_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778545,778569,2,"1,3",1,0,1
chr1,778569,778879,3,"1,2,3",1,1,1
chr1,778879,778885,2,"1,3",1,0,1
chr1,1399448,1399891,2,"1,3",1,0,1
chr1,1407192,1407532,2,"1,3",1,0,1
chr1,1471532,1471842,2,"2,3",0,1,1
chr1,1511877,1511890,2,"1,3",1,0,1
chr1,1511890,1512200,3,"1,2,3",1,1,1
chr1,1512200,1512217,2,"1,3",1,0,1
chr1,1615192,1615245,2,"1,3",1,0,1
chr1,1615245,1615384,3,"1,2,3",1,1,1
chr1,1615384,1615439,2,"1,3",1,0,1
chr1,1630328,1630668,2,"1,3",1,0,1
chr1,1919437,1919747,2,"2,3",0,1,1
chr1,2391389,2391932,2,"1,3",1,0,1
chr1,2556334,2556674,2,"1,3",1,0,1
chr1,3624651,3624991,2,"1,3",1,0,1
chr1,5992321,5992391,2,"1,3",1,0,1
chr1,5992391,5992661,3,"1,2,3",1,1,1
chr1,5992661,5992701,2,"2,3",0,1,1
chr1,6199490,6199830,2,"1,3",1,0,1
chr1,6259948,6260288,2,"1,3",1,0,1
chr1,6579773,6580113,2,"1,3",1,0,1
chr1,6784942,6785282,2,"1,3",1,0,1
chr1,8877941,8878204,2,"1,3",1,0,1
chr1,8878985,8879325,2,"1,3",1,0,1
chr1,9428801,9429141,2,"1,3",1,0,1
chr1,9539229,9539569,2,"1,3",1,0,1
chr1,9593460,9593711,3,"1,2,3",1,1,1
chr1,9593711,9593774,2,"1,3",1,0,1
chr1,9787711,9788001,2,"1,3",1,0,1
chr1,11806110,11806450,2,"1,3",1,0,1
chr1,11980189,11980242,2,"1,3",1,0,1
chr1,11980242,11980529,3,"1,2,3",1,1,1
chr1,11980529,11980552,2,"2,3",0,1,1
chr1,12019203,12019543,2,"1,3",1,0,1
chr1,15603461,15603464,2,"2,3",0,1,1
chr1,15603464,15603771,3,"1,2,3",1,1,1
chr1,15603771,15603804,2,"1,3",1,0,1
chr1,15834420,15834961,2,"1,3",1,0,1
chr1,16236399,16236427,2,"1,3",1,0,1
chr1,16236427,16236694,3,"1,2,3",1,1,1
chr1,16236694,16236720,2,"1,3",1,0,1
chr1,16352353,16352693,2,"1,3",1,0,1
chr1,16613201,16613338,2,"1,3",1,0,1
chr1,16644601,16644941,2,"1,3",1,0,1
chr1,18902695,18902740,2,"1,3",1,0,1
chr1,18902740,18903035,3,"1,2,3",1,1,1
chr1,18903035,18903050,2,"2,3",0,1,1
chr1,19210190,19210530,2,"1,3",1,0,1
chr1,19251415,19251986,2,"1,3",1,0,1
chr1,20508025,20508365,2,"1,3",1,0,1
chr1,20661319,20661435,2,"2,3",0,1,1
chr1,20661435,20661775,3,"1,2,3",1,1,1
chr1,20661775,20661845,2,"2,3",0,1,1
chr1,22019075,22019084,2,"1,3",1,0,1
chr1,22019084,22019394,3,"1,2,3",1,1,1
chr1,22019394,22019415,2,"1,3",1,0,1
chr1,22052494,22052834,2,"1,3",1,0,1
chr1,23019193,23019533,2,"1,3",1,0,1
chr1,23168681,23169010,2,"1,3",1,0,1
chr1,23368219,23368559,2,"1,3",1,0,1
chr1,23743367,23743707,2,"1,3",1,0,1
chr1,23868146,23868486,2,"1,3",1,0,1
chr1,23958985,23959295,2,"2,3",0,1,1
chr1,23959581,23959591,2,"1,3",1,0,1
chr1,23959591,23959858,3,"1,2,3",1,1,1
chr1,23959858,23960103,2,"1,3",1,0,1
chr1,24744864,24745167,2,"1,3",1,0,1
chr1,25031574,25032069,2,"1,3",1,0,1
chr1,25430082,25430422,2,"1,3",1,0,1
chr1,25998199,25998539,2,"1,3",1,0,1
chr1,26035294,26035604,2,"2,3",0,1,1
chr1,26169685,26170025,2,"1,3",1,0,1
chr1,26279809,26280149,2,"1,3",1,0,1
chr1,26529572,26529912,2,"1,3",1,0,1
chr1,26692965,26693305,2,"1,3",1,0,1
chr1,26695763,26696005,2,"2,3",0,1,1
chr1,26865025,26865041,2,"1,3",1,0,1
chr1,26865041,26865351,3,"1,2,3",1,1,1
chr1,26865351,26865365,2,"1,3",1,0,1
chr1,27012818,27013158,2,"1,3",1,0,1
chr1,27099511,27099549,2,"1,3",1,0,1
chr1,27099549,27099851,3,"1,2,3",1,1,1
chr1,27099851,27099859,2,"2,3",0,1,1
chr1,27321994,27322137,2,"1,3",1,0,1
chr1,27322137,27322334,3,"1,2,3",1,1,1
chr1,27322334,27322631,2,"2,3",0,1,1
chr1,27341819,27342115,2,"1,3",1,0,1
chr1,27392512,27392608,2,"1,3",1,0,1
chr1,27395433,27395715,2,"1,3",1,0,1
chr1,27659970,27660294,2,"1,3",1,0,1
chr1,27772881,27773221,2,"1,3",1,0,1
chr1,28235858,28235930,2,"2,3",0,1,1
chr1,28235930,28236168,3,"1,2,3",1,1,1
chr1,28236168,28236463,2,"1,3",1,0,1
chr1,28247134,28247162,2,"1,3",1,0,1
chr1,28247162,28247496,3,"1,2,3",1,1,1
chr1,28247496,28247531,2,"1,3",1,0,1
chr1,28552800,28553140,2,"1,3",1,0,1
chr1,28648050,28648390,2,"1,3",1,0,1
chr1,28736534,28736874,2,"1,3",1,0,1
chr1,29230812,29231122,2,"2,3",0,1,1
chr1,30718726,30719036,2,"2,3",0,1,1
chr1,30824420,30824548,2,"2,3",0,1,1
chr1,30824548,30824686,3,"1,2,3",1,1,1
chr1,30824686,30824730,2,"2,3",0,1,1
chr1,31296804,31296857,2,"2,3",0,1,1
chr1,31296857,31297055,3,"1,2,3",1,1,1
chr1,31297055,31297114,2,"2,3",0,1,1
chr1,31644735,31644859,2,"2,3",0,1,1
chr1,31644859,31644946,3,"1,2,3",1,1,1
chr1,31644946,31645045,2,"2,3",0,1,1
chr1,31938382,31938722,2,"1,3",1,0,1
chr1,32179900,32180228,2,"1,3",1,0,1
chr1,32291794,32292134,2,"1,3",1,0,1
chr1,32394413,32394753,2,"1,3",1,0,1
chr1,32650938,32651278,2,"1,3",1,0,1
chr1,32981157,32981177,2,"1,3",1,0,1
chr1,32981177,32981487,3,"1,2,3",1,1,1
chr1,32981487,32981497,2,"1,3",1,0,1
chr1,33472305,33472645,2,"1,3",1,0,1
chr1,36224112,36224295,2,"1,3",1,0,1
chr1,36224295,36224452,3,"1,2,3",1,1,1
chr1,36224452,36224605,2,"2,3",0,1,1
chr1,36306863,36307203,2,"1,3",1,0,1
chr1,36385717,36386057,2,"1,3",1,0,1
chr1,36450381,36450427,2,"1,3",1,0,1
chr1,36450427,36450721,3,"1,2,3",1,1,1
chr1,36450721,36450737,2,"2,3",0,1,1
chr1,36464071,36464615,2,"1,3",1,0,1
chr1,37692280,37692285,2,"2,3",0,1,1
chr1,37692285,37692590,3,"1,2,3",1,1,1
chr1,37692590,37692607,2,"1,3",1,0,1
chr1,37989922,37990262,2,"1,3",1,0,1
chr1,38012387,38012727,2,"1,3",1,0,1
chr1,39954965,39955571,2,"1,3",1,0,1
chr1,40161084,40161101,2,"1,3",1,0,1
chr1,40161101,40161424,3,"1,2,3",1,1,1
chr1,40161424,40161614,2,"2,3",0,1,1
chr1,40691926,40692046,2,"1,3",1,0,1
chr1,40692046,40692266,3,"1,2,3",1,1,1
chr1,40692266,40692356,2,"2,3",0,1,1
chr1,41360952,41361292,2,"1,3",1,0,1
chr1,42463049,42463389,2,"1,3",1,0,1
chr1,42658151,42658491,2,"1,3",1,0,1
chr1,42846404,42846744,2,"1,3",1,0,1
chr1,42924189,42924217,2,"2,3",0,1,1
chr1,42924217,42924499,3,"1,2,3",1,1,1
chr1,42924499,42924557,2,"1,3",1,0,1
chr1,43172139,43172479,2,"1,3",1,0,1
chr1,43454531,43454864,2,"1,3",1,0,1
chr1,43649816,43649849,2,"1,3",1,0,1
chr1,43649849,43650162,3,"1,2,3",1,1,1
chr1,43650162,43650203,2,"1,3",1,0,1
chr1,43707258,43707598,2,"1,3",1,0,1
chr1,43974762,43975102,2,"1,3",1,0,1
chr1,44674390,44674409,2,"1,3",1,0,1
chr1,44674409,44674719,3,"1,2,3",1,1,1
chr1,44674719,44674730,2,"1,3",1,0,1
chr1,44739572,44739912,2,"1,3",1,0,1
chr1,44799799,44800139,2,"1,3",1,0,1
chr1,44807283,44807593,3,"1,2,3",1,1,1
chr1,44807593,44807623,2,"1,3",1,0,1
chr1,45339737,45340282,2,"1,3",1,0,1
chr1,45491177,45491241,2,"1,3",1,0,1
chr1,45491241,45491517,3,"1,2,3",1,1,1
chr1,45491517,45491551,2,"2,3",0,1,1
chr1,45583340,45583375,2,"1,3",1,0,1
chr1,45583375,45583725,3,"1,2,3",1,1,1
chr1,45583725,45583772,2,"1,3",1,0,1
chr1,45687086,45687199,2,"2,3",0,1,1
chr1,45687199,45687310,3,"1,2,3",1,1,1
chr1,45687310,45687396,2,"2,3",0,1,1
chr1,46132970,46133003,2,"1,3",1,0,1
chr1,46133003,46133204,3,"1,2,3",1,1,1
chr1,46133204,46133261,2,"1,3",1,0,1
chr1,46247511,46247851,2,"1,3",1,0,1
chr1,46613910,46614176,2,"1,3",1,0,1
chr1,51729487,51729567,2,"2,3",0,1,1
chr1,51729567,51729797,3,"1,2,3",1,1,1
chr1,51729797,51730145,2,"1,3",1,0,1
chr1,52056472,52057079,2,"1,3",1,0,1
chr1,52636886,52636891,2,"2,3",0,1,1
chr1,52636891,52637196,3,"1,2,3",1,1,1
chr1,52637196,52637231,2,"1,3",1,0,1
chr1,52702962,52703302,2,"1,3",1,0,1
chr1,52921564,52921904,2,"1,3",1,0,1
chr1,53326209,53326549,2,"1,3",1,0,1
chr1,54052711,54053329,2,"1,3",1,0,1
chr1,54715444,54715726,2,"1,3",1,0,1
chr1,54887162,54887502,2,"1,3",1,0,1
chr1,58784216,58784556,2,"1,3",1,0,1
chr1,59296704,59297044,2,"1,3",1,0,1
chr1,59814487,59814827,2,"1,3",1,0,1
chr1,62436307,62436347,2,"2,3",0,1,1
chr1,62436347,62436617,3,"1,2,3",1,1,1
chr1,62436617,62436687,2,"1,3",1,0,1
chr1,62783930,62784270,2,"1,3",1,0,1
chr1,63367505,63367845,2,"1,3",1,0,1
chr1,67684980,67685025,2,"2,3",0,1,1
chr1,67685025,67685290,3,"1,2,3",1,1,1
chr1,67685290,67685365,2,"1,3",1,0,1
chr1,70410993,70411003,2,"2,3",0,1,1
chr1,70411003,70411303,3,"1,2,3",1,1,1
chr1,70411303,70411343,2,"1,3",1,0,1
chr1,75724365,75724705,2,"1,3",1,0,1
chr1,75786049,75786359,2,"2,3",0,1,1
chr1,84506137,84506684,2,"1,3",1,0,1
chr1,86396188,86396508,2,"1,3",1,0,1
chr1,87045789,87046071,2,"2,3",0,1,1
chr1,87328248,87328262,2,"1,3",1,0,1
chr1,87328262,87328572,3,"1,2,3",1,1,1
chr1,87328572,87328588,2,"1,3",1,0,1
chr1,88684087,88684397,2,"2,3",0,1,1
chr1,89670106,89670394,2,"2,3",0,1,1
chr1,92831851,92832191,2,"1,3",1,0,1
chr1,92961207,92961547,2,"1,3",1,0,1
chr1,93079032,93079576,2,"1,3",1,0,1
chr1,93846270,93846610,2,"1,3",1,0,1
chr1,100077614,100077706,2,"2,3",0,1,1
chr1,100077706,100077797,3,"1,2,3",1,1,1
chr1,100077797,100077898,2,"2,3",0,1,1
chr1,100249716,100250056,2,"1,3",1,0,1
chr1,108963299,108963639,2,"1,3",1,0,1
chr1,109090547,109090887,2,"1,3",1,0,1
chr1,109493862,109494451,2,"1,3",1,0,1
chr1,109984483,109984494,2,"1,3",1,0,1
chr1,109984494,109984804,3,"1,2,3",1,1,1
chr1,109984804,109984823,2,"1,3",1,0,1
chr1,110338958,110338973,2,"1,3",1,0,1
chr1,110338973,110339283,3,"1,2,3",1,1,1
chr1,110339283,110339298,2,"1,3",1,0,1
chr1,110963230,110963570,2,"1,3",1,0,1
chr1,110963983,110964293,2,"2,3",0,1,1
chr1,111592838,111592866,2,"1,3",1,0,1
chr1,111592866,111592961,3,"1,2,3",1,1,1
chr1,111592961,111593026,2,"1,3",1,0,1
chr1,111739261,111739601,2,"1,3",1,0,1
chr1,112704997,112705337,2,"1,3",1,0,1
chr1,113390147,113390457,2,"2,3",0,1,1
chr1,113905027,113905367,2,"1,3",1,0,1
chr1,114581619,114581919,2,"1,3",1,0,1
chr1,115099325,115099665,2,"1,3",1,0,1
chr1,116372992,116372993,2,"1,3",1,0,1
chr1,116372993,116373303,3,"1,2,3",1,1,1
chr1,116373303,116373332,2,"1,3",1,0,1
chr1,117059984,117060324,2,"1,3",1,0,1
chr1,117367309,117367592,2,"1,3",1,0,1
chr1,119140524,119140864,2,"1,3",1,0,1
chr1,121184478,121184788,2,"2,3",0,1,1
chr1,144552088,144552393,2,"1,3",1,0,1
chr1,145927310,145927650,2,"1,3",1,0,1
chr1,145996556,145996896,2,"1,3",1,0,1
chr1,147172490,147172830,2,"1,3",1,0,1
chr1,149886603,149886628,2,"1,3",1,0,1
chr1,149886628,149886938,3,"1,2,3",1,1,1
chr1,149886938,149886943,2,"1,3",1,0,1
chr1,150213588,150213627,2,"1,3",1,0,1
chr1,150213627,150213928,3,"1,2,3",1,1,1
chr1,150213928,150213937,2,"2,3",0,1,1
chr1,150236059,150236369,2,"2,3",0,1,1
chr1,150363798,150364138,2,"1,3",1,0,1
chr1,150487134,150487474,2,"1,3",1,0,1
chr1,150561132,150561442,2,"2,3",0,1,1
chr1,150562121,150562150,2,"1,3",1,0,1
chr1,150562150,150562363,3,"1,2,3",1,1,1
chr1,150562363,150562394,2,"1,3",1,0,1
chr1,150611478,150611818,2,"1,3",1,0,1
chr1,150697110,150697117,2,"1,3",1,0,1
chr1,150697117,150697427,3,"1,2,3",1,1,1
chr1,150697427,150697450,2,"1,3",1,0,1
chr1,150876668,150876680,2,"1,3",1,0,1
chr1,150876680,150876990,3,"1,2,3",1,1,1
chr1,150876990,150877008,2,"1,3",1,0,1
chr1,151008161,151008168,2,"2,3",0,1,1
chr1,151008168,151008471,3,"1,2,3",1,1,1
chr1,151008471,151008508,2,"1,3",1,0,1
chr1,151059330,151059866,2,"1,3",1,0,1
chr1,151198299,151198639,2,"1,3",1,0,1
chr1,151254519,151254859,2,"1,3",1,0,1
chr1,151281961,151282271,2,"2,3",0,1,1
chr1,151347098,151347128,2,"1,3",1,0,1
chr1,151347128,151347561,3,"1,2,3",1,1,1
chr1,151347561,151347591,2,"1,3",1,0,1
chr1,151443889,151444180,2,"1,3",1,0,1
chr1,151790448,151790526,2,"2,3",0,1,1
chr1,151790526,151790866,3,"1,2,3",1,1,1
chr1,151790866,151790937,2,"2,3",0,1,1
chr1,153598848,153598911,2,"2,3",0,1,1
chr1,153598911,153599091,3,"1,2,3",1,1,1
chr1,153599091,153599158,2,"2,3",0,1,1
chr1,153670873,153670944,2,"1,3",1,0,1
chr1,153670944,153671213,3,"1,2,3",1,1,1
chr1,153671213,153671254,2,"2,3",0,1,1
chr1,153671435,153671775,2,"1,3",1,0,1
chr1,153727729,153727789,2,"1,3",1,0,1
chr1,153727789,153728069,3,"1,2,3",1,1,1
chr1,153728069,153728099,2,"2,3",0,1,1
chr1,153922857,153922906,2,"1,3",1,0,1
chr1,153922906,153923197,3,"1,2,3",1,1,1
chr1,153923197,153923216,2,"2,3",0,1,1
chr1,153967576,153967916,2,"1,3",1,0,1
chr1,153990508,153991032,2,"1,3",1,0,1
chr1,154220528,154220612,2,"1,3",1,0,1
chr1,154220612,154220868,3,"1,2,3",1,1,1
chr1,154220868,154220922,2,"2,3",0,1,1
chr1,154328442,154328782,2,"1,3",1,0,1
chr1,154937071,154937102,2,"1,3",1,0,1
chr1,154937170,154937411,2,"1,3",1,0,1
chr1,154974388,154974728,2,"1,3",1,0,1
chr1,155000718,155001237,2,"1,3",1,0,1
chr1,155173106,155173446,2,"1,3",1,0,1
chr1,155244585,155244925,2,"1,3",1,0,1
chr1,155308543,155308569,2,"1,3",1,0,1
chr1,155308569,155308879,3,"1,2,3",1,1,1
chr1,155308879,155308883,2,"1,3",1,0,1
chr1,155688754,155689094,2,"1,3",1,0,1
chr1,156193937,156194204,2,"1,3",1,0,1
chr1,156338486,156338826,2,"1,3",1,0,1
chr1,156421669,156421956,2,"1,3",1,0,1
chr1,156501028,156501368,2,"1,3",1,0,1
chr1,156505207,156505547,2,"1,3",1,0,1
chr1,156741084,156741424,2,"1,3",1,0,1
chr1,157138216,157138362,2,"1,3",1,0,1
chr1,159076636,159076652,2,"1,3",1,0,1
chr1,159076652,159076962,3,"1,2,3",1,1,1
chr1,159076962,159076976,2,"1,3",1,0,1
chr1,159188480,159188495,2,"1,3",1,0,1
chr1,159188495,159188741,3,"1,2,3",1,1,1
chr1,159910417,159910727,2,"2,3",0,1,1
chr1,160789753,160789775,2,"1,3",1,0,1
chr1,160789775,160790001,3,"1,2,3",1,1,1
chr1,160790001,160790013,2,"1,3",1,0,1
chr1,161044956,161045185,2,"1,3",1,0,1
chr1,161046647,161046919,2,"1,3",1,0,1
chr1,161069813,161069846,2,"1,3",1,0,1
chr1,161069846,161070153,3,"1,2,3",1,1,1
chr1,161070153,161070156,2,"2,3",0,1,1
chr1,161117819,161118159,2,"1,3",1,0,1
chr1,161185396,161185427,2,"1,3",1,0,1
chr1,161185427,161185705,3,"1,2,3",1,1,1
chr1,161185705,161185738,2,"1,3",1,0,1
chr1,161225673,161226013,2,"1,3",1,0,1
chr1,161738803,161738821,2,"1,3",1,0,1
chr1,161738821,161738919,3,"1,2,3",1,1,1
chr1,161738919,161738931,2,"1,3",1,0,1
chr1,162790386,162790726,2,"1,3",1,0,1
chr1,165598107,165598150,2,"1,3",1,0,1
chr1,165598150,165598447,3,"1,2,3",1,1,1
chr1,165598447,165598460,2,"2,3",0,1,1
chr1,166876186,166876526,2,"1,3",1,0,1
chr1,167935949,167936034,2,"1,3",1,0,1
chr1,167936034,167936289,3,"1,2,3",1,1,1
chr1,167936289,167936344,2,"2,3",0,1,1
chr1,169485879,169485897,2,"2,3",0,1,1
chr1,169485897,169486189,3,"1,2,3",1,1,1
chr1,169486189,169486237,2,"1,3",1,0,1
chr1,170532014,170532354,2,"1,3",1,0,1
chr1,171313940,171314279,2,"1,3",1,0,1
chr1,171781407,171781412,2,"2,3",0,1,1
chr1,171781412,171781717,3,"1,2,3",1,1,1
chr1,171781717,171781752,2,"1,3",1,0,1
chr1,172532334,172532644,2,"2,3",0,1,1
chr1,172532863,172532899,2,"1,3",1,0,1
chr1,172532899,172533203,3,"1,2,3",1,1,1
chr1,172533203,172533209,2,"2,3",0,1,1
chr1,179293592,179293932,2,"1,3",1,0,1
chr1,179882468,179882808,2,"1,3",1,0,1
chr1,181033748,181034055,3,"1,2,3",1,1,1
chr1,181034055,181034071,2,"1,3",1,0,1
chr1,181088396,181088532,2,"1,3",1,0,1
chr1,181088532,181088736,3,"1,2,3",1,1,1
chr1,181088736,181088842,2,"2,3",0,1,1
chr1,182839066,182839406,2,"1,3",1,0,1
chr1,183471591,183472112,2,"2,3",0,1,1
chr1,183635554,183635894,2,"1,3",1,0,1
chr1,184051512,184051852,2,"1,3",1,0,1
chr1,185156839,185157179,2,"1,3",1,0,1
chr1,185317356,185317696,2,"1,3",1,0,1
chr1,193059236,193059576,2,"1,3",1,0,1
chr1,198159135,198159296,2,"1,3",1,0,1
chr1,198681807,198682116,3,"1,2,3",1,1,1
chr1,198682116,198682133,2,"1,3",1,0,1
chr1,200669337,200669890,2,"1,3",1,0,1
chr1,200969909,200970159,2,"1,3",1,0,1
chr1,201043117,201043225,2,"1,3",1,0,1
chr1,201955234,201955272,2,"1,3",1,0,1
chr1,201955272,201955574,3,"1,2,3",1,1,1
chr1,201955574,201955582,2,"2,3",0,1,1
chr1,202341898,202341901,2,"2,3",0,1,1
chr1,202341901,202342208,3,"1,2,3",1,1,1
chr1,202342208,202342241,2,"1,3",1,0,1
chr1,202810669,202811009,2,"1,3",1,0,1
chr1,203007132,203007162,2,"1,3",1,0,1
chr1,203007162,203007472,3,"1,2,3",1,1,1
chr1,203287321,203287661,2,"1,3",1,0,1
