chrom,start,end,num,list,ENCFF447PYN_MAFK_sorted.bed,ENCFF774ZGC_MAFK_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778586,778589,2,"2,3",0,1,1
chr1,778589,778998,3,"1,2,3",1,1,1
chr1,778998,779017,2,"2,3",0,1,1
chr1,1658996,1659380,2,"2,3",0,1,1
chr1,3313094,3313210,2,"1,3",1,0,1
chr1,3313210,3313381,3,"1,2,3",1,1,1
chr1,3313381,3313444,2,"1,3",1,0,1
chr1,8005175,8005184,2,"2,3",0,1,1
chr1,8005184,8005483,3,"1,2,3",1,1,1
chr1,8005483,8005552,2,"2,3",0,1,1
chr1,8047860,8048073,2,"2,3",0,1,1
chr1,8061235,8061261,2,"1,3",1,0,1
chr1,8061261,8061585,3,"1,2,3",1,1,1
chr1,8061585,8061601,2,"2,3",0,1,1
chr1,8182712,8182726,2,"2,3",0,1,1
chr1,8182726,8182895,3,"1,2,3",1,1,1
chr1,8194559,8194629,2,"2,3",0,1,1
chr1,8194629,8194979,3,"1,2,3",1,1,1
chr1,8194979,8195092,2,"2,3",0,1,1
chr1,8197789,8197992,3,"1,2,3",1,1,1
chr1,8197992,8198006,2,"2,3",0,1,1
chr1,8873638,8873681,2,"1,3",1,0,1
chr1,8873681,8873777,3,"1,2,3",1,1,1
chr1,8873777,8873951,2,"1,3",1,0,1
chr1,8880107,8880314,3,"1,2,3",1,1,1
chr1,9290089,9290100,2,"1,3",1,0,1
chr1,9719073,9719077,2,"2,3",0,1,1
chr1,9719077,9719421,3,"1,2,3",1,1,1
chr1,11037660,11037774,2,"1,3",1,0,1
chr1,11735795,11735946,3,"1,2,3",1,1,1
chr1,11735946,11735974,2,"2,3",0,1,1
chr1,12019234,12019347,2,"2,3",0,1,1
chr1,12619035,12619039,2,"2,3",0,1,1
chr1,12619039,12619389,3,"1,2,3",1,1,1
chr1,12619389,12619419,2,"2,3",0,1,1
chr1,15835576,15835960,2,"2,3",0,1,1
chr1,16145655,16145673,2,"1,3",1,0,1
chr1,16145673,16145868,3,"1,2,3",1,1,1
chr1,16145868,16145870,2,"1,3",1,0,1
chr1,16164234,16164618,2,"2,3",0,1,1
chr1,16621072,16621256,3,"1,2,3",1,1,1
chr1,16621256,16621280,2,"2,3",0,1,1
chr1,16895959,16896009,2,"1,3",1,0,1
chr1,16896009,16896167,3,"1,2,3",1,1,1
chr1,16896167,16896309,2,"1,3",1,0,1
