chrom,start,end,num,list,ENCFF359DIP_MAX_sorted.bed,ENCFF545CNM_MAX_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778529,778919,2,"2,3",0,1,1
chr1,827257,827931,2,"1,3",1,0,1
chr1,904611,905001,2,"2,3",0,1,1
chr1,905276,905576,2,"2,3",0,1,1
chr1,959112,959451,2,"2,3",0,1,1
chr1,966648,967038,2,"2,3",0,1,1
chr1,1000720,1000883,2,"2,3",0,1,1
chr1,1013230,1013620,2,"2,3",0,1,1
chr1,1059555,1059803,2,"1,3",1,0,1
chr1,1079623,1080013,2,"2,3",0,1,1
chr1,1201424,1201814,2,"2,3",0,1,1
chr1,1231874,1231895,2,"1,3",1,0,1
chr1,1231895,1232285,3,"1,2,3",1,1,1
chr1,1232285,1232298,2,"1,3",1,0,1
chr1,1250915,1250921,2,"1,3",1,0,1
chr1,1250921,1251311,3,"1,2,3",1,1,1
chr1,1251311,1251333,2,"1,3",1,0,1
chr1,1273888,1274278,2,"2,3",0,1,1
chr1,1307904,1308582,2,"1,3",1,0,1
chr1,1324448,1324838,2,"2,3",0,1,1
chr1,1399379,1399769,2,"2,3",0,1,1
chr1,1407075,1407129,2,"1,3",1,0,1
chr1,1407129,1407499,3,"1,2,3",1,1,1
chr1,1407499,1407519,2,"2,3",0,1,1
chr1,1435561,1435827,2,"1,3",1,0,1
chr1,1462342,1462732,2,"2,3",0,1,1
chr1,1471482,1471872,2,"2,3",0,1,1
chr1,1511813,1512203,2,"2,3",0,1,1
chr1,1574646,1575070,2,"1,3",1,0,1
chr1,1615189,1615231,2,"2,3",0,1,1
chr1,1615231,1615579,3,"1,2,3",1,1,1
chr1,1615579,1615655,2,"1,3",1,0,1
chr1,1630202,1630354,2,"1,3",1,0,1
chr1,1630354,1630519,3,"1,2,3",1,1,1
chr1,1630519,1630626,2,"1,3",1,0,1
chr1,1677894,1677900,2,"1,3",1,0,1
chr1,1677900,1678290,3,"1,2,3",1,1,1
chr1,1678290,1678318,2,"1,3",1,0,1
chr1,1679014,1679197,2,"2,3",0,1,1
chr1,1778639,1778805,2,"1,3",1,0,1
chr1,1778805,1779195,3,"1,2,3",1,1,1
chr1,1779195,1779291,2,"1,3",1,0,1
chr1,1780284,1780674,2,"2,3",0,1,1
chr1,1890973,1891339,2,"2,3",0,1,1
chr1,1909155,1909161,2,"1,3",1,0,1
chr1,1909161,1909508,3,"1,2,3",1,1,1
chr1,2205420,2205754,2,"2,3",0,1,1
chr1,2391394,2391784,2,"2,3",0,1,1
chr1,2412360,2412414,2,"1,3",1,0,1
chr1,2412414,2412804,3,"1,2,3",1,1,1
chr1,2412804,2413011,2,"1,3",1,0,1
chr1,2546046,2546593,2,"2,3",0,1,1
chr1,2548129,2548312,2,"1,3",1,0,1
chr1,2548686,2548710,2,"2,3",0,1,1
chr1,2548710,2549044,3,"1,2,3",1,1,1
chr1,2555571,2555942,3,"1,2,3",1,1,1
chr1,2555942,2555976,2,"1,3",1,0,1
chr1,2578224,2578282,2,"1,3",1,0,1
chr1,2578282,2578648,3,"1,2,3",1,1,1
chr1,2578648,2578672,2,"2,3",0,1,1
chr1,2586322,2586712,2,"2,3",0,1,1
chr1,2643027,2643443,2,"1,3",1,0,1
chr1,3624600,3624625,2,"1,3",1,0,1
chr1,3624625,3625015,3,"1,2,3",1,1,1
chr1,3625015,3625259,2,"1,3",1,0,1
chr1,3772005,3772326,2,"2,3",0,1,1
chr1,3775998,3776235,3,"1,2,3",1,1,1
chr1,3857190,3857580,2,"2,3",0,1,1
chr1,3900280,3900972,2,"1,3",1,0,1
chr1,3901177,3901567,2,"2,3",0,1,1
chr1,5992217,5992641,2,"1,3",1,0,1
chr1,6199280,6199452,2,"1,3",1,0,1
chr1,6199452,6199602,3,"1,2,3",1,1,1
chr1,6199602,6199704,2,"1,3",1,0,1
chr1,6209266,6209517,2,"2,3",0,1,1
chr1,6245098,6245448,3,"1,2,3",1,1,1
chr1,6245448,6245468,2,"2,3",0,1,1
chr1,6393514,6393895,2,"2,3",0,1,1
chr1,6393895,6393904,3,"1,2,3",1,1,1
chr1,6393904,6393953,2,"1,3",1,0,1
chr1,6393953,6394162,3,"1,2,3",1,1,1
chr1,6414328,6414718,2,"2,3",0,1,1
chr1,6613022,6613313,2,"1,3",1,0,1
chr1,6613313,6613703,3,"1,2,3",1,1,1
chr1,6613703,6613719,2,"1,3",1,0,1
chr1,6784457,6784766,2,"2,3",0,1,1
chr1,6784876,6785266,2,"2,3",0,1,1
chr1,7961351,7961741,2,"2,3",0,1,1
chr1,8026237,8026242,2,"2,3",0,1,1
chr1,8026242,8026587,3,"1,2,3",1,1,1
chr1,8427479,8427869,2,"2,3",0,1,1
chr1,8877941,8878204,2,"2,3",0,1,1
chr1,8878767,8879157,2,"2,3",0,1,1
chr1,8879168,8879240,2,"1,3",1,0,1
chr1,8879240,8879361,3,"1,2,3",1,1,1
chr1,8879361,8879459,2,"2,3",0,1,1
chr1,9182111,9182501,2,"2,3",0,1,1
chr1,9234394,9234784,2,"2,3",0,1,1
chr1,9428912,9429238,2,"2,3",0,1,1
chr1,9539229,9539290,2,"2,3",0,1,1
chr1,9539290,9539714,3,"1,2,3",1,1,1
chr1,9539714,9539892,2,"2,3",0,1,1
chr1,9943018,9943200,2,"2,3",0,1,1
chr1,9943200,9943583,3,"1,2,3",1,1,1
chr1,9950340,9950704,2,"2,3",0,1,1
chr1,10032583,10033207,2,"1,3",1,0,1
chr1,10398649,10399073,2,"1,3",1,0,1
chr1,10399326,10399731,2,"1,3",1,0,1
chr1,10430244,10430301,2,"1,3",1,0,1
chr1,10430301,10430691,3,"1,2,3",1,1,1
chr1,10430691,10430855,2,"1,3",1,0,1
chr1,10472535,10472553,2,"2,3",0,1,1
chr1,10472553,10472697,3,"1,2,3",1,1,1
chr1,10472697,10472715,2,"2,3",0,1,1
chr1,10474755,10475140,2,"1,3",1,0,1
chr1,11012288,11012678,2,"2,3",0,1,1
chr1,11060103,11060246,2,"1,3",1,0,1
chr1,11062958,11062966,2,"2,3",0,1,1
chr1,11062966,11063281,3,"1,2,3",1,1,1
chr1,11063281,11063337,2,"1,3",1,0,1
chr1,11273290,11273346,2,"1,3",1,0,1
chr1,11273346,11273736,3,"1,2,3",1,1,1
chr1,11273736,11273800,2,"1,3",1,0,1
chr1,11663997,11664387,2,"2,3",0,1,1
chr1,11735897,11736263,3,"1,2,3",1,1,1
chr1,11736263,11736858,2,"2,3",0,1,1
chr1,11803477,11803793,2,"1,3",1,0,1
chr1,11806049,11806060,2,"2,3",0,1,1
chr1,11806060,11806276,3,"1,2,3",1,1,1
chr1,12019339,12019359,2,"2,3",0,1,1
chr1,12019359,12019659,3,"1,2,3",1,1,1
chr1,12063146,12063363,3,"1,2,3",1,1,1
chr1,12068389,12068832,2,"2,3",0,1,1
chr1,12079332,12079756,2,"1,3",1,0,1
chr1,12157419,12157633,2,"2,3",0,1,1
chr1,12161713,12162175,2,"2,3",0,1,1
chr1,12166787,12167211,2,"1,3",1,0,1
chr1,12229760,12230184,2,"1,3",1,0,1
chr1,13700126,13700314,2,"2,3",0,1,1
chr1,13700517,13700941,2,"1,3",1,0,1
chr1,13701444,13701639,2,"1,3",1,0,1
chr1,13702801,13703191,2,"2,3",0,1,1
chr1,15112136,15112505,2,"2,3",0,1,1
chr1,15524531,15524955,2,"1,3",1,0,1
chr1,15526590,15526610,2,"2,3",0,1,1
chr1,15526610,15526980,3,"1,2,3",1,1,1
chr1,15526980,15527034,2,"1,3",1,0,1
chr1,15584468,15585102,2,"1,3",1,0,1
chr1,15603551,15603582,2,"2,3",0,1,1
chr1,15603582,15603788,3,"1,2,3",1,1,1
chr1,15603788,15603820,2,"2,3",0,1,1
chr1,15617144,15617185,2,"2,3",0,1,1
chr1,15617185,15617534,3,"1,2,3",1,1,1
chr1,15617534,15617609,2,"1,3",1,0,1
chr1,15834323,15834998,2,"2,3",0,1,1
chr1,15949629,15950019,2,"2,3",0,1,1
