chrom,start,end,num,list,ENCFF168GFU_MAFK_sorted.bed,ENCFF231CNR_MAFK_sorted.bed,ENCFF239XOI_MAFK_sorted.bed,ENCFF355ALI_MAFK_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778678,778719,2,"4,5",0,0,0,1,1
chr1,778719,778741,3,"2,4,5",0,1,0,1,1
chr1,778741,778810,4,"2,3,4,5",0,1,1,1,1
chr1,778810,778894,5,"1,2,3,4,5",1,1,1,1,1
chr1,778894,778914,4,"2,3,4,5",0,1,1,1,1
chr1,778914,778965,3,"2,3,5",0,1,1,0,1
chr1,778965,778969,2,"2,5",0,1,0,0,1
chr1,1305632,1305633,2,"1,5",1,0,0,0,1
chr1,1305633,1305857,3,"1,3,5",1,0,1,0,1
chr1,1305857,1305878,2,"1,5",1,0,0,0,1
chr1,1574806,1575030,2,"3,5",0,0,1,0,1
chr1,4173231,4173467,2,"4,5",0,0,0,1,1
chr1,6604283,6604299,2,"2,5",0,1,0,0,1
chr1,6604299,6604482,4,"1,2,4,5",1,1,0,1,1
chr1,8005209,8005485,2,"1,5",1,0,0,0,1
chr1,8189955,8189978,2,"1,5",1,0,0,0,1
chr1,8189978,8189999,3,"1,4,5",1,0,0,1,1
chr1,8189999,8190047,4,"1,3,4,5",1,0,1,1,1
chr1,8190047,8190126,5,"1,2,3,4,5",1,1,1,1,1
chr1,8190126,8190214,4,"1,3,4,5",1,0,1,1,1
chr1,8190214,8190223,3,"1,3,5",1,0,1,0,1
chr1,8190223,8190231,2,"1,5",1,0,0,0,1
chr1,8211993,8212243,2,"2,5",0,1,0,0,1
chr1,8742005,8742243,2,"2,5",0,1,0,0,1
chr1,8858084,8858097,2,"1,5",1,0,0,0,1
chr1,8858097,8858106,3,"1,2,5",1,1,0,0,1
chr1,8858106,8858110,4,"1,2,4,5",1,1,0,1,1
chr1,8858110,8858334,5,"1,2,3,4,5",1,1,1,1,1
chr1,8858334,8858342,4,"1,2,4,5",1,1,0,1,1
chr1,8858342,8858347,3,"1,2,5",1,1,0,0,1
chr1,8858347,8858360,2,"1,5",1,0,0,0,1
chr1,8878646,8878922,2,"1,5",1,0,0,0,1
chr1,8994459,8994683,2,"3,5",0,0,1,0,1
chr1,9438518,9438734,2,"4,5",0,0,0,1,1
chr1,9943327,9943551,2,"3,5",0,0,1,0,1
chr1,10056320,10056552,2,"4,5",0,0,0,1,1
chr1,11653546,11653796,2,"2,5",0,1,0,0,1
chr1,11671551,11671775,2,"3,5",0,0,1,0,1
chr1,11735781,11735942,5,"1,2,3,4,5",1,1,1,1,1
chr1,11735942,11735947,4,"1,2,4,5",1,1,0,1,1
chr1,11735947,11735958,3,"1,4,5",1,0,0,1,1
chr1,11735958,11735964,2,"1,5",1,0,0,0,1
chr1,12019148,12019384,2,"4,5",0,0,0,1,1
chr1,12528400,12528650,2,"2,5",0,1,0,0,1
chr1,12619063,12619299,2,"4,5",0,0,0,1,1
chr1,15835695,15835705,2,"4,5",0,0,0,1,1
chr1,15835705,15835931,3,"1,4,5",1,0,0,1,1
chr1,15835931,15835981,2,"1,5",1,0,0,0,1
chr1,20480602,20480785,2,"1,5",1,0,0,0,1
chr1,23019193,23019383,3,"1,3,5",1,0,1,0,1
chr1,23019383,23019407,2,"1,5",1,0,0,0,1
chr1,23168736,23168749,2,"1,5",1,0,0,0,1
chr1,23168749,23168762,3,"1,2,5",1,1,0,0,1
chr1,23168762,23168763,4,"1,2,3,5",1,1,1,0,1
chr1,23168763,23168986,5,"1,2,3,4,5",1,1,1,1,1
chr1,23168986,23168999,4,"1,2,4,5",1,1,0,1,1
chr1,23168999,23169012,2,"1,5",1,0,0,0,1
chr1,26225021,26225253,2,"1,5",1,0,0,0,1
chr1,26693034,26693284,2,"2,5",0,1,0,0,1
chr1,26914149,26914156,2,"2,5",0,1,0,0,1
chr1,26914156,26914213,3,"1,2,5",1,1,0,0,1
chr1,26914213,26914268,4,"1,2,4,5",1,1,0,1,1
chr1,26914268,26914399,5,"1,2,3,4,5",1,1,1,1,1
chr1,26914399,26914432,4,"1,3,4,5",1,0,1,1,1
chr1,26914432,26914449,3,"3,4,5",0,0,1,1,1
chr1,26914449,26914492,2,"3,5",0,0,1,0,1
chr1,27817423,27817445,2,"1,5",1,0,0,0,1
chr1,27817445,27817452,3,"1,4,5",1,0,0,1,1
chr1,27817452,27817515,4,"1,2,4,5",1,1,0,1,1
chr1,27817515,27817579,5,"1,2,3,4,5",1,1,1,1,1
chr1,27817579,27817681,4,"1,2,4,5",1,1,0,1,1
chr1,27817681,27817699,3,"1,2,5",1,1,0,0,1
chr1,27817699,27817702,2,"2,5",0,1,0,0,1
chr1,27943289,27943399,5,"1,2,3,4,5",1,1,1,1,1
chr1,27943399,27943414,4,"1,2,4,5",1,1,0,1,1
chr1,27943414,27943430,3,"1,2,5",1,1,0,0,1
chr1,27943430,27943451,2,"1,5",1,0,0,0,1
chr1,28668599,28668747,2,"2,5",0,1,0,0,1
chr1,28736678,28736902,2,"3,5",0,0,1,0,1
chr1,28885029,28885229,5,"1,2,3,4,5",1,1,1,1,1
chr1,28885229,28885230,4,"1,2,3,5",1,1,1,0,1
chr1,28885230,28885234,3,"1,2,5",1,1,0,0,1
chr1,28885234,28885247,2,"1,5",1,0,0,0,1
chr1,31170842,31170857,2,"2,5",0,1,0,0,1
chr1,31170857,31170870,3,"1,2,5",1,1,0,0,1
chr1,31170870,31170876,4,"1,2,4,5",1,1,0,1,1
chr1,31170876,31171092,5,"1,2,3,4,5",1,1,1,1,1
chr1,31171092,31171100,4,"1,3,4,5",1,0,1,1,1
chr1,31171100,31171106,3,"1,4,5",1,0,0,1,1
chr1,31171106,31171133,2,"1,5",1,0,0,0,1
chr1,32448736,32448756,2,"1,5",1,0,0,0,1
chr1,32448756,32448763,3,"1,4,5",1,0,0,1,1
chr1,32448763,32448767,4,"1,3,4,5",1,0,1,1,1
chr1,32448767,32448987,5,"1,2,3,4,5",1,1,1,1,1
chr1,32448987,32448992,4,"1,2,4,5",1,1,0,1,1
chr1,32448992,32449012,3,"1,2,5",1,1,0,0,1
chr1,32449012,32449017,2,"2,5",0,1,0,0,1
chr1,32539288,32539300,2,"3,5",0,0,1,0,1
chr1,32539300,32539512,3,"3,4,5",0,0,1,1,1
chr1,32539512,32539536,2,"4,5",0,0,0,1,1
chr1,32737421,32737459,2,"2,5",0,1,0,0,1
chr1,32737459,32737462,3,"2,3,5",0,1,1,0,1
chr1,32737462,32737671,4,"1,2,3,5",1,1,1,0,1
chr1,32737671,32737683,3,"1,3,5",1,0,1,0,1
chr1,32737683,32737708,2,"1,5",1,0,0,0,1
chr1,32817283,32817507,2,"3,5",0,0,1,0,1
chr1,33342411,33342687,2,"1,5",1,0,0,0,1
chr1,36240281,36240300,2,"1,5",1,0,0,0,1
chr1,36240300,36240320,3,"1,4,5",1,0,0,1,1
chr1,36240320,36240536,4,"1,2,4,5",1,1,0,1,1
chr1,36240536,36240557,3,"1,2,5",1,1,0,0,1
chr1,36240557,36240570,2,"2,5",0,1,0,0,1
chr1,36299975,36300018,2,"2,5",0,1,0,0,1
chr1,36300018,36300023,3,"1,2,5",1,1,0,0,1
chr1,36300023,36300225,4,"1,2,3,5",1,1,1,0,1
chr1,36300225,36300247,3,"1,3,5",1,0,1,0,1
chr1,36300247,36300272,2,"1,5",1,0,0,0,1
chr1,36386522,36386553,2,"2,5",0,1,0,0,1
chr1,36386553,36386772,3,"2,3,5",0,1,1,0,1
chr1,36386772,36386777,2,"3,5",0,0,1,0,1
chr1,36464268,36464284,2,"1,5",1,0,0,0,1
chr1,36464284,36464508,3,"1,3,5",1,0,1,0,1
chr1,36464508,36464544,2,"1,5",1,0,0,0,1
chr1,41240222,41240471,2,"1,5",1,0,0,0,1
chr1,43349193,43349205,2,"1,5",1,0,0,0,1
chr1,43349205,43349211,3,"1,2,5",1,1,0,0,1
chr1,43349211,43349220,4,"1,2,4,5",1,1,0,1,1
chr1,43349220,43349444,5,"1,2,3,4,5",1,1,1,1,1
chr1,43349444,43349447,4,"1,2,4,5",1,1,0,1,1
chr1,43349447,43349455,3,"1,2,5",1,1,0,0,1
chr1,43349455,43349469,2,"1,5",1,0,0,0,1
chr1,43389671,43389677,2,"3,5",0,0,1,0,1
chr1,43389677,43389689,3,"1,3,5",1,0,1,0,1
chr1,43389689,43389711,4,"1,2,3,5",1,1,1,0,1
chr1,43389711,43389895,5,"1,2,3,4,5",1,1,1,1,1
chr1,43389895,43389939,4,"1,2,4,5",1,1,0,1,1
chr1,43389939,43389947,3,"1,4,5",1,0,0,1,1
chr1,43389947,43389953,2,"1,5",1,0,0,0,1
chr1,44213362,44213598,2,"4,5",0,0,0,1,1
chr1,44731272,44731503,2,"2,5",0,1,0,0,1
chr1,44775333,44775557,2,"3,5",0,0,1,0,1
chr1,44807414,44807650,2,"4,5",0,0,0,1,1
chr1,44986530,44986550,2,"2,5",0,1,0,0,1
chr1,44986550,44986564,3,"1,2,5",1,1,0,0,1
chr1,44986564,44986580,4,"1,2,4,5",1,1,0,1,1
chr1,44986580,44986780,5,"1,2,3,4,5",1,1,1,1,1
chr1,44986780,44986800,4,"1,3,4,5",1,0,1,1,1
chr1,44986800,44986804,3,"1,3,5",1,0,1,0,1
chr1,44986804,44986826,2,"1,5",1,0,0,0,1
chr1,45011260,45011496,2,"4,5",0,0,0,1,1
chr1,45012022,45012159,2,"4,5",0,0,0,1,1
chr1,45491501,45491503,2,"4,5",0,0,0,1,1
chr1,45491503,45491519,3,"1,4,5",1,0,0,1,1
chr1,45491519,45491672,4,"1,2,4,5",1,1,0,1,1
chr1,45521857,45521871,2,"1,5",1,0,0,0,1
chr1,45521871,45521884,3,"1,2,5",1,1,0,0,1
chr1,45521884,45521904,4,"1,2,4,5",1,1,0,1,1
chr1,45521904,45522120,5,"1,2,3,4,5",1,1,1,1,1
chr1,45522120,45522121,4,"1,2,3,5",1,1,1,0,1
chr1,45522121,45522128,3,"1,3,5",1,0,1,0,1
chr1,45522128,45522133,2,"1,5",1,0,0,0,1
chr1,46303216,46303440,2,"3,5",0,0,1,0,1
chr1,47379675,47379951,2,"1,5",1,0,0,0,1
chr1,48494468,48494502,2,"3,5",0,0,1,0,1
chr1,48494502,48494503,3,"2,3,5",0,1,1,0,1
chr1,48494503,48494515,4,"2,3,4,5",0,1,1,1,1
chr1,48494515,48494636,5,"1,2,3,4,5",1,1,1,1,1
chr1,48494636,48494639,4,"2,3,4,5",0,1,1,1,1
chr1,48494639,48494644,3,"2,3,5",0,1,1,0,1
chr1,48494644,48494692,2,"3,5",0,0,1,0,1
chr1,50970031,50970039,2,"1,5",1,0,0,0,1
chr1,50970039,50970065,3,"1,4,5",1,0,0,1,1
chr1,50970065,50970275,4,"1,3,4,5",1,0,1,1,1
chr1,50970275,50970285,3,"1,3,5",1,0,1,0,1
chr1,53183521,53183757,2,"4,5",0,0,0,1,1
chr1,53326071,53326092,2,"2,5",0,1,0,0,1
chr1,53326092,53326118,3,"1,2,5",1,1,0,0,1
chr1,53326118,53326321,4,"1,2,3,5",1,1,1,0,1
chr1,53326321,53326342,3,"1,3,5",1,0,1,0,1
chr1,53326342,53326368,2,"1,5",1,0,0,0,1
chr1,54794738,54794765,2,"1,5",1,0,0,0,1
chr1,54794765,54794772,3,"1,2,5",1,1,0,0,1
chr1,54794772,54794776,4,"1,2,4,5",1,1,0,1,1
chr1,54794776,54795000,5,"1,2,3,4,5",1,1,1,1,1
chr1,54795000,54795008,4,"1,2,4,5",1,1,0,1,1
chr1,54795008,54795014,3,"1,2,5",1,1,0,0,1
chr1,54795014,54795015,2,"2,5",0,1,0,0,1
chr1,58885358,58885373,2,"1,5",1,0,0,0,1
chr1,58885373,58885403,3,"1,2,5",1,1,0,0,1
chr1,58885403,58885623,4,"1,2,4,5",1,1,0,1,1
chr1,58885623,58885634,3,"1,4,5",1,0,0,1,1
chr1,58885634,58885639,2,"4,5",0,0,0,1,1
chr1,59730943,59730970,2,"1,5",1,0,0,0,1
chr1,59730970,59730973,3,"1,4,5",1,0,0,1,1
chr1,59730973,59730999,4,"1,2,4,5",1,1,0,1,1
chr1,59730999,59731056,5,"1,2,3,4,5",1,1,1,1,1
chr1,59731056,59731083,4,"1,2,4,5",1,1,0,1,1
chr1,59731083,59731097,3,"1,2,5",1,1,0,0,1
chr1,59731097,59731121,2,"1,5",1,0,0,0,1
chr1,62237951,62238227,2,"1,5",1,0,0,0,1
chr1,65158961,65158977,2,"1,5",1,0,0,0,1
chr1,65158977,65159213,3,"1,4,5",1,0,0,1,1
chr1,65159213,65159237,2,"1,5",1,0,0,0,1
chr1,67534638,67534888,2,"2,5",0,1,0,0,1
chr1,67552423,67552647,2,"3,5",0,0,1,0,1
chr1,67686635,67686693,2,"2,5",0,1,0,0,1
chr1,67686693,67686885,3,"2,4,5",0,1,0,1,1
chr1,67686885,67686925,2,"4,5",0,0,0,1,1
chr1,67700812,67700842,2,"1,5",1,0,0,0,1
chr1,67700842,67701088,3,"1,2,5",1,1,0,0,1
chr1,67701088,67701092,2,"2,5",0,1,0,0,1
chr1,78089058,78089104,2,"4,5",0,0,0,1,1
chr1,89943035,89943069,2,"1,5",1,0,0,0,1
chr1,89943069,89943073,3,"1,4,5",1,0,0,1,1
chr1,89943073,89943074,4,"1,2,4,5",1,1,0,1,1
chr1,89943074,89943298,5,"1,2,3,4,5",1,1,1,1,1
chr1,89943298,89943305,4,"1,2,4,5",1,1,0,1,1
chr1,89943305,89943311,3,"1,2,5",1,1,0,0,1
chr1,89943311,89943323,2,"2,5",0,1,0,0,1
chr1,91500475,91500751,2,"1,5",1,0,0,0,1
chr1,91501520,91501599,2,"1,5",1,0,0,0,1
chr1,92822908,92823184,2,"1,5",1,0,0,0,1
chr1,93879103,93879379,2,"1,5",1,0,0,0,1
chr1,94425833,94426083,2,"2,5",0,1,0,0,1
chr1,94579858,94579879,2,"1,5",1,0,0,0,1
chr1,94579879,94579885,3,"1,4,5",1,0,0,1,1
chr1,94579885,94579906,4,"1,2,4,5",1,1,0,1,1
chr1,94579906,94580115,5,"1,2,3,4,5",1,1,1,1,1
