chrom,start,end,num,list,ENCFF099EFN_CEBPB_sorted.bed,ENCFF342QGM_CEBPB_sorted.bed,ENCFF757UIC_CEBPB_sorted.bed,ENCFF824TMR_CEBPB_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,1000760,1000793,2,"2,5",0,1,0,0,1
chr1,1000793,1000809,3,"2,3,5",0,1,1,0,1
chr1,1000809,1000816,4,"2,3,4,5",0,1,1,1,1
chr1,1000816,1000885,5,"1,2,3,4,5",1,1,1,1,1
chr1,1238088,1238109,2,"4,5",0,0,0,1,1
chr1,1238109,1238136,3,"3,4,5",0,0,1,1,1
chr1,1238136,1238308,4,"1,3,4,5",1,0,1,1,1
chr1,1238308,1238312,3,"1,3,5",1,0,1,0,1
chr1,1238312,1238339,2,"3,5",0,0,1,0,1
chr1,1308125,1308132,2,"4,5",0,0,0,1,1
chr1,1308132,1308139,3,"3,4,5",0,0,1,1,1
chr1,1308139,1308155,4,"2,3,4,5",0,1,1,1,1
chr1,1308155,1308241,5,"1,2,3,4,5",1,1,1,1,1
chr1,1308241,1308342,4,"2,3,4,5",0,1,1,1,1
chr1,1308342,1308362,3,"2,3,5",0,1,1,0,1
chr1,1308362,1308363,2,"2,5",0,1,0,0,1
chr1,1431969,1432189,2,"4,5",0,0,0,1,1
chr1,1462343,1462563,2,"4,5",0,0,0,1,1
chr1,1511953,1512173,2,"4,5",0,0,0,1,1
chr1,1891262,1891438,2,"1,5",1,0,0,0,1
chr1,1919591,1919811,2,"4,5",0,0,0,1,1
chr1,2189418,2189442,2,"1,5",1,0,0,0,1
chr1,2189442,2189507,3,"1,3,5",1,0,1,0,1
chr1,2189507,2189567,4,"1,3,4,5",1,0,1,1,1
chr1,2189567,2189594,3,"1,3,5",1,0,1,0,1
chr1,2189594,2189672,2,"3,5",0,0,1,0,1
chr1,2234587,2234616,2,"4,5",0,0,0,1,1
chr1,2234616,2234618,3,"1,4,5",1,0,0,1,1
chr1,2234618,2234633,4,"1,2,4,5",1,1,0,1,1
chr1,2234633,2234733,5,"1,2,3,4,5",1,1,1,1,1
chr1,2391499,2391719,2,"4,5",0,0,0,1,1
chr1,2643207,2643427,2,"4,5",0,0,0,1,1
chr1,3197936,3197958,2,"3,5",0,0,1,0,1
chr1,3197958,3197970,3,"1,3,5",1,0,1,0,1
chr1,3197970,3198134,4,"1,3,4,5",1,0,1,1,1
chr1,3198134,3198141,3,"3,4,5",0,0,1,1,1
chr1,3198141,3198166,2,"3,5",0,0,1,0,1
chr1,3460184,3460414,2,"3,5",0,0,1,0,1
chr1,3668916,3668929,2,"3,5",0,0,1,0,1
chr1,3668929,3668938,3,"3,4,5",0,0,1,1,1
chr1,3900257,3900260,2,"1,5",1,0,0,0,1
chr1,3900260,3900266,3,"1,3,5",1,0,1,0,1
chr1,3900266,3900310,4,"1,2,3,5",1,1,1,0,1
chr1,3900310,3900365,5,"1,2,3,4,5",1,1,1,1,1
chr1,3900365,3900433,4,"1,2,3,5",1,1,1,0,1
chr1,3900433,3900490,3,"2,3,5",0,1,1,0,1
chr1,6240496,6240716,2,"4,5",0,0,0,1,1
chr1,6450902,6451107,2,"3,5",0,0,1,0,1
chr1,6554545,6554569,2,"4,5",0,0,0,1,1
chr1,6554569,6554585,3,"2,4,5",0,1,0,1,1
chr1,6554585,6554758,4,"1,2,4,5",1,1,0,1,1
chr1,6572689,6572716,2,"3,5",0,0,1,0,1
chr1,6572716,6572736,3,"3,4,5",0,0,1,1,1
chr1,6572736,6572737,4,"1,3,4,5",1,0,1,1,1
chr1,6572737,6572912,5,"1,2,3,4,5",1,1,1,1,1
chr1,6572912,6572919,4,"2,3,4,5",0,1,1,1,1
