chrom,start,end,num,list,ENCFF100OVE_SIN3A_sorted.bed,ENCFF368XPS_SIN3A_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778711,779205,2,"1,3",1,0,1
chr1,827257,827693,2,"1,3",1,0,1
chr1,959145,959457,2,"1,3",1,0,1
chr1,1006452,1006871,2,"1,3",1,0,1
chr1,1019399,1019835,2,"1,3",1,0,1
chr1,1020191,1020297,2,"1,3",1,0,1
chr1,1058564,1058760,2,"1,3",1,0,1
chr1,1058867,1059000,2,"1,3",1,0,1
chr1,1231445,1231742,2,"1,3",1,0,1
chr1,1238101,1238537,2,"1,3",1,0,1
chr1,1273688,1274124,2,"1,3",1,0,1
chr1,1281493,1282175,2,"1,3",1,0,1
chr1,1305632,1305911,2,"1,3",1,0,1
chr1,1307906,1308325,2,"1,3",1,0,1
chr1,1347948,1348263,2,"1,3",1,0,1
chr1,1358457,1358787,2,"1,3",1,0,1
chr1,1375258,1375332,2,"2,3",0,1,1
chr1,1375332,1375508,3,"1,2,3",1,1,1
chr1,1375508,1375689,2,"1,3",1,0,1
chr1,1399457,1399630,2,"1,3",1,0,1
chr1,1400808,1400877,2,"1,3",1,0,1
chr1,1400877,1401127,3,"1,2,3",1,1,1
chr1,1401127,1401237,2,"1,3",1,0,1
chr1,1407018,1407454,2,"1,3",1,0,1
chr1,1421173,1421546,2,"1,3",1,0,1
chr1,1431923,1432359,2,"1,3",1,0,1
chr1,1433149,1433245,2,"2,3",0,1,1
chr1,1433245,1433399,3,"1,2,3",1,1,1
chr1,1433399,1433445,2,"1,3",1,0,1
chr1,1438089,1438357,2,"1,3",1,0,1
chr1,1462270,1462706,2,"1,3",1,0,1
chr1,1471581,1471694,2,"1,3",1,0,1
chr1,1511855,1512033,2,"1,3",1,0,1
chr1,1574458,1574761,2,"1,3",1,0,1
chr1,1574829,1575079,2,"2,3",0,1,1
chr1,1615153,1615358,3,"1,2,3",1,1,1
chr1,1615358,1615799,2,"1,3",1,0,1
chr1,1658810,1659246,2,"1,3",1,0,1
chr1,1724120,1724556,2,"1,3",1,0,1
chr1,1778760,1779196,2,"1,3",1,0,1
chr1,1890973,1891286,2,"1,3",1,0,1
chr1,1891597,1891883,2,"1,3",1,0,1
chr1,1909121,1909460,2,"1,3",1,0,1
chr1,1919142,1919873,2,"1,3",1,0,1
chr1,1923066,1923320,2,"1,3",1,0,1
chr1,2049457,2050305,2,"1,3",1,0,1
chr1,2134704,2135140,2,"1,3",1,0,1
chr1,2189627,2189665,2,"2,3",0,1,1
chr1,2189665,2189877,3,"1,2,3",1,1,1
chr1,2189877,2189890,2,"1,3",1,0,1
chr1,2208230,2208856,2,"1,3",1,0,1
chr1,2234493,2234733,2,"1,3",1,0,1
chr1,2311473,2311791,2,"1,3",1,0,1
chr1,2391472,2392133,2,"1,3",1,0,1
chr1,2412467,2412681,2,"1,3",1,0,1
chr1,2526107,2526293,2,"1,3",1,0,1
chr1,2546200,2546494,2,"1,3",1,0,1
chr1,2546827,2547147,2,"1,3",1,0,1
chr1,2578281,2578661,2,"1,3",1,0,1
chr1,2586643,2587079,2,"1,3",1,0,1
chr1,2643215,2643412,2,"1,3",1,0,1
chr1,3456724,3457070,2,"1,3",1,0,1
chr1,3624320,3624655,2,"1,3",1,0,1
chr1,3624658,3624813,2,"1,3",1,0,1
chr1,3625406,3625842,2,"1,3",1,0,1
chr1,3668900,3668938,2,"2,3",0,1,1
chr1,3747129,3747565,2,"1,3",1,0,1
chr1,3772051,3772370,2,"1,3",1,0,1
chr1,3775400,3775836,2,"1,3",1,0,1
chr1,3775971,3776268,2,"1,3",1,0,1
chr1,3785127,3785563,2,"1,3",1,0,1
chr1,3900031,3900467,2,"1,3",1,0,1
chr1,3900785,3901111,2,"1,3",1,0,1
chr1,3901242,3901532,2,"1,3",1,0,1
chr1,5992237,5992439,2,"1,3",1,0,1
chr1,6199356,6199792,2,"1,3",1,0,1
chr1,6235705,6236120,2,"1,3",1,0,1
chr1,6393175,6393910,2,"1,3",1,0,1
chr1,6446988,6447551,2,"1,3",1,0,1
chr1,6554301,6554737,2,"1,3",1,0,1
chr1,6579477,6579572,2,"1,3",1,0,1
chr1,6613267,6613703,2,"1,3",1,0,1
chr1,6625021,6625457,2,"1,3",1,0,1
chr1,7771083,7771519,2,"1,3",1,0,1
chr1,7961268,7961318,2,"2,3",0,1,1
chr1,7961318,7961518,3,"1,2,3",1,1,1
chr1,7961518,7962034,2,"1,3",1,0,1
