chrom,start,end,num,list,ENCFF046UEE_RFX5_sorted.bed,ENCFF404XDD_RFX5_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778562,778615,2,"2,3",0,1,1
chr1,778615,778926,3,"1,2,3",1,1,1
chr1,778926,778979,2,"1,3",1,0,1
chr1,1375175,1375346,2,"1,3",1,0,1
chr1,1375346,1375658,3,"1,2,3",1,1,1
chr1,1574683,1575250,2,"2,3",0,1,1
chr1,1615229,1615242,2,"2,3",0,1,1
chr1,1615242,1615337,3,"1,2,3",1,1,1
chr1,1615337,1615381,2,"2,3",0,1,1
chr1,1909350,1909440,2,"2,3",0,1,1
chr1,2050036,2050069,2,"1,3",1,0,1
chr1,2050069,2050327,3,"1,2,3",1,1,1
chr1,2050327,2050488,2,"2,3",0,1,1
chr1,5992351,5992715,2,"1,3",1,0,1
chr1,6784919,6785003,2,"2,3",0,1,1
chr1,6785003,6785283,3,"1,2,3",1,1,1
chr1,6785283,6785367,2,"1,3",1,0,1
chr1,7704466,7704828,3,"1,2,3",1,1,1
chr1,7704828,7704876,2,"1,3",1,0,1
chr1,7783915,7783965,2,"2,3",0,1,1
chr1,7783965,7784279,3,"1,2,3",1,1,1
chr1,7784279,7784329,2,"1,3",1,0,1
chr1,9428791,9429155,2,"1,3",1,0,1
chr1,9539263,9539321,2,"1,3",1,0,1
chr1,9539321,9539627,3,"1,2,3",1,1,1
chr1,9539627,9539685,2,"2,3",0,1,1
chr1,11735795,11736112,2,"2,3",0,1,1
chr1,12019139,12019501,2,"2,3",0,1,1
chr1,15247038,15247402,2,"2,3",0,1,1
chr1,15603440,15603804,2,"1,3",1,0,1
chr1,16236260,16236265,2,"1,3",1,0,1
chr1,16236265,16236801,3,"1,2,3",1,1,1
chr1,16236801,16236836,2,"2,3",0,1,1
chr1,18902611,18902655,2,"1,3",1,0,1
chr1,18902731,18902975,2,"1,3",1,0,1
chr1,23544943,23545137,2,"1,3",1,0,1
chr1,23959459,23959490,2,"1,3",1,0,1
chr1,23959490,23960054,3,"1,2,3",1,1,1
chr1,23960054,23960070,2,"1,3",1,0,1
chr1,24502302,24502666,2,"1,3",1,0,1
chr1,26693007,26693315,2,"2,3",0,1,1
chr1,27012836,27013163,2,"1,3",1,0,1
chr1,27321925,27322491,2,"2,3",0,1,1
chr1,27366117,27366149,2,"2,3",0,1,1
chr1,27366149,27366481,3,"1,2,3",1,1,1
chr1,27366481,27366513,2,"1,3",1,0,1
chr1,27392306,27392417,2,"1,3",1,0,1
chr1,27392417,27392670,3,"1,2,3",1,1,1
chr1,27392670,27392781,2,"2,3",0,1,1
chr1,28247134,28247162,2,"1,3",1,0,1
chr1,28247162,28247481,3,"1,2,3",1,1,1
chr1,28247481,28247541,2,"1,3",1,0,1
chr1,28648569,28648933,2,"1,3",1,0,1
chr1,30824397,30824412,2,"1,3",1,0,1
chr1,30824412,30824744,3,"1,2,3",1,1,1
chr1,31296738,31296752,2,"1,3",1,0,1
chr1,31296752,31297102,3,"1,2,3",1,1,1
chr1,31297102,31297316,2,"2,3",0,1,1
chr1,31644630,31644994,2,"2,3",0,1,1
chr1,31788448,31788481,2,"2,3",0,1,1
chr1,31788481,31788812,3,"1,2,3",1,1,1
chr1,31788812,31788822,2,"1,3",1,0,1
chr1,32818177,32818249,2,"1,3",1,0,1
chr1,32818249,32818460,3,"1,2,3",1,1,1
chr1,38991219,38991561,2,"1,3",1,0,1
chr1,40161125,40161130,2,"2,3",0,1,1
chr1,40161130,40161360,3,"1,2,3",1,1,1
chr1,40161360,40161607,2,"2,3",0,1,1
chr1,40257980,40258344,2,"2,3",0,1,1
chr1,40691803,40692167,2,"1,3",1,0,1
chr1,40944316,40944380,2,"2,3",0,1,1
chr1,40944380,40944588,3,"1,2,3",1,1,1
chr1,42463063,42463427,2,"2,3",0,1,1
chr1,43649722,43649747,2,"1,3",1,0,1
chr1,43649747,43650275,3,"1,2,3",1,1,1
chr1,43650275,43650304,2,"1,3",1,0,1
chr1,44674341,44674408,2,"1,3",1,0,1
chr1,44674408,44674705,3,"1,2,3",1,1,1
chr1,44674705,44674772,2,"2,3",0,1,1
chr1,44807257,44807347,2,"1,3",1,0,1
chr1,44807347,44807520,3,"1,2,3",1,1,1
