chrom,start,end,num,list,ENCFF238OMP_MAZ_sorted.bed,ENCFF509HNG_MAZ_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778495,778598,2,"2,3",0,1,1
chr1,778598,778859,3,"1,2,3",1,1,1
chr1,778859,778942,2,"1,3",1,0,1
chr1,827266,827325,2,"2,3",0,1,1
chr1,827325,827630,3,"1,2,3",1,1,1
chr1,827630,827669,2,"1,3",1,0,1
chr1,904520,904884,2,"2,3",0,1,1
chr1,921122,921370,2,"1,3",1,0,1
chr1,966063,966154,2,"2,3",0,1,1
chr1,966154,966363,3,"1,2,3",1,1,1
chr1,966363,966697,2,"1,3",1,0,1
chr1,966702,967066,2,"2,3",0,1,1
chr1,976243,976749,2,"2,3",0,1,1
chr1,1000186,1000367,2,"2,3",0,1,1
chr1,1000477,1000821,2,"1,3",1,0,1
chr1,1001842,1002120,2,"1,3",1,0,1
chr1,1021237,1021414,2,"2,3",0,1,1
chr1,1024681,1024717,2,"2,3",0,1,1
chr1,1024717,1024998,3,"1,2,3",1,1,1
chr1,1063865,1064446,2,"2,3",0,1,1
chr1,1073638,1073947,3,"1,2,3",1,1,1
chr1,1073947,1073972,2,"1,3",1,0,1
chr1,1074003,1074173,2,"2,3",0,1,1
chr1,1074173,1074517,3,"1,2,3",1,1,1
chr1,1074517,1074570,2,"2,3",0,1,1
chr1,1079425,1079473,2,"1,3",1,0,1
chr1,1079473,1079769,3,"1,2,3",1,1,1
chr1,1079769,1079837,2,"2,3",0,1,1
chr1,1080209,1080573,2,"2,3",0,1,1
chr1,1136562,1136622,2,"1,3",1,0,1
chr1,1136622,1136906,3,"1,2,3",1,1,1
chr1,1136906,1136986,2,"2,3",0,1,1
chr1,1157629,1157993,2,"2,3",0,1,1
chr1,1162642,1162656,2,"1,3",1,0,1
chr1,1162656,1162986,3,"1,2,3",1,1,1
chr1,1162986,1163020,2,"2,3",0,1,1
chr1,1308108,1308472,2,"2,3",0,1,1
chr1,1324798,1325142,2,"1,3",1,0,1
chr1,1349589,1349953,2,"2,3",0,1,1
chr1,1375136,1375234,2,"1,3",1,0,1
chr1,1375234,1375480,3,"1,2,3",1,1,1
chr1,1375480,1375705,2,"2,3",0,1,1
chr1,1433212,1433233,2,"2,3",0,1,1
chr1,1433233,1433576,3,"1,2,3",1,1,1
chr1,1433576,1433577,2,"1,3",1,0,1
chr1,1471569,1471913,2,"1,3",1,0,1
chr1,1504870,1505234,2,"2,3",0,1,1
chr1,1511790,1511822,2,"1,3",1,0,1
chr1,1511822,1512134,3,"1,2,3",1,1,1
chr1,1512134,1512186,2,"2,3",0,1,1
chr1,1574515,1574879,2,"2,3",0,1,1
chr1,1615227,1615336,2,"2,3",0,1,1
chr1,1615336,1615591,3,"1,2,3",1,1,1
chr1,1615591,1615680,2,"1,3",1,0,1
chr1,1659018,1659382,2,"2,3",0,1,1
chr1,1724202,1724566,2,"2,3",0,1,1
chr1,1746313,1746657,2,"1,3",1,0,1
