chrom,start,end,num,list,ENCFF377FLV_EP300_sorted.bed,ENCFF449XHW_EP300_sorted.bed,ENCFF695SHP_EP300_sorted.bed,ENCFF764WUM_EP300_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778531,778565,2,"3,5",0,0,1,0,1
chr1,778565,778885,3,"2,3,5",0,1,1,0,1
chr1,778885,779007,2,"3,5",0,0,1,0,1
chr1,1000706,1000904,2,"3,5",0,0,1,0,1
chr1,1013152,1013241,2,"3,5",0,0,1,0,1
chr1,1013241,1013316,3,"2,3,5",0,1,1,0,1
chr1,1013316,1013561,2,"2,5",0,1,0,0,1
chr1,1135376,1135676,2,"2,5",0,1,0,0,1
chr1,1375279,1375312,2,"2,5",0,1,0,0,1
chr1,1375312,1375599,3,"2,3,5",0,1,1,0,1
chr1,1375599,1375616,2,"3,5",0,0,1,0,1
chr1,1399280,1399584,2,"3,5",0,0,1,0,1
chr1,1407155,1407459,2,"3,5",0,0,1,0,1
chr1,1471539,1471857,2,"2,5",0,1,0,0,1
chr1,1574752,1574767,2,"2,5",0,1,0,0,1
chr1,1574767,1575071,3,"2,3,5",0,1,1,0,1
chr1,1575071,1575072,2,"2,5",0,1,0,0,1
chr1,1658917,1658932,2,"3,5",0,0,1,0,1
chr1,1658932,1659221,3,"2,3,5",0,1,1,0,1
chr1,1659221,1659252,2,"2,5",0,1,0,0,1
chr1,1724252,1724266,2,"2,5",0,1,0,0,1
chr1,1724266,1724570,3,"2,3,5",0,1,1,0,1
chr1,1724570,1724572,2,"2,5",0,1,0,0,1
chr1,1758831,1759135,2,"3,5",0,0,1,0,1
chr1,1890985,1891289,2,"3,5",0,0,1,0,1
chr1,1906267,1906526,2,"3,5",0,0,1,0,1
chr1,2180384,2180391,2,"3,5",0,0,1,0,1
chr1,2180391,2180403,3,"2,3,5",0,1,1,0,1
chr1,2180403,2180667,4,"2,3,4,5",0,1,1,1,1
chr1,2180667,2180688,3,"2,3,5",0,1,1,0,1
chr1,2180688,2180711,2,"2,5",0,1,0,0,1
chr1,2205401,2205692,2,"3,5",0,0,1,0,1
chr1,2391558,2391646,2,"2,5",0,1,0,0,1
chr1,2391646,2391878,3,"2,3,5",0,1,1,0,1
chr1,2391878,2391933,2,"3,5",0,0,1,0,1
chr1,2586388,2586692,2,"3,5",0,0,1,0,1
chr1,3313128,3313432,2,"3,5",0,0,1,0,1
chr1,3624683,3624967,2,"2,5",0,1,0,0,1
chr1,3649929,3650182,2,"3,5",0,0,1,0,1
chr1,3775527,3775769,2,"3,5",0,0,1,0,1
chr1,5885841,5885892,2,"4,5",0,0,0,1,1
chr1,5885892,5885901,3,"3,4,5",0,0,1,1,1
chr1,5885901,5886105,4,"2,3,4,5",0,1,1,1,1
chr1,5886105,5886128,3,"2,3,5",0,1,1,0,1
chr1,5886128,5886143,2,"2,5",0,1,0,0,1
chr1,6199557,6199582,2,"2,5",0,1,0,0,1
chr1,6199582,6199877,3,"2,3,5",0,1,1,0,1
chr1,6199877,6199886,2,"3,5",0,0,1,0,1
chr1,6393932,6393949,2,"2,5",0,1,0,0,1
chr1,6393949,6394184,3,"2,3,5",0,1,1,0,1
chr1,6554435,6554512,2,"2,5",0,1,0,0,1
chr1,6554512,6554755,3,"2,3,5",0,1,1,0,1
chr1,6554755,6554757,2,"3,5",0,0,1,0,1
chr1,7771038,7771205,2,"3,5",0,0,1,0,1
chr1,7953983,7954287,2,"3,5",0,0,1,0,1
chr1,7961324,7961363,2,"4,5",0,0,0,1,1
chr1,7961363,7961442,3,"2,4,5",0,1,0,1,1
chr1,7961442,7961588,4,"2,3,4,5",0,1,1,1,1
chr1,7961588,7961683,3,"2,3,5",0,1,1,0,1
chr1,7961683,7961746,2,"3,5",0,0,1,0,1
chr1,8004806,8004834,2,"2,5",0,1,0,0,1
chr1,8004834,8004865,3,"2,3,5",0,1,1,0,1
chr1,8004865,8005046,4,"2,3,4,5",0,1,1,1,1
chr1,8005046,8005126,3,"2,4,5",0,1,0,1,1
chr1,8005126,8005129,2,"4,5",0,0,0,1,1
chr1,8197805,8197898,2,"3,5",0,0,1,0,1
chr1,8197898,8198016,3,"2,3,5",0,1,1,0,1
chr1,8198016,8198086,2,"3,5",0,0,1,0,1
chr1,8789339,8789594,3,"2,3,5",0,1,1,0,1
chr1,8789594,8789651,2,"2,5",0,1,0,0,1
chr1,8878596,8878792,2,"3,5",0,0,1,0,1
chr1,8879335,8879532,2,"2,5",0,1,0,0,1
