chrom,start,end,peak_count,files,ENCFF001XHD.bed.gz,ENCFF001XHB.bed.gz,TF_TSS_10kb_named.bed
chr1,713032,713667,3,"1,2,3",1,1,1
chr1,713880,714758,3,"1,2,3",1,1,1
chr1,715079,715570,3,"1,2,3",1,1,1
chr1,716013,716278,3,"1,2,3",1,1,1
chr1,761959,763151,3,"1,2,3",1,1,1
chr1,805451,805571,3,"1,2,3",1,1,1
chr1,825125,825217,3,"1,2,3",1,1,1
chr1,825872,826006,3,"1,2,3",1,1,1
chr1,858408,861696,3,"1,2,3",1,1,1
chr1,861853,862060,3,"1,2,3",1,1,1
chr1,868383,868409,3,"1,2,3",1,1,1
chr1,868931,868983,3,"1,2,3",1,1,1
chr1,875284,877179,3,"1,2,3",1,1,1
chr1,877446,877914,3,"1,2,3",1,1,1
chr1,878146,878678,3,"1,2,3",1,1,1
chr1,895547,897028,3,"1,2,3",1,1,1
chr1,901479,902989,3,"1,2,3",1,1,1
chr1,911039,911984,3,"1,2,3",1,1,1
chr1,919774,919957,3,"1,2,3",1,1,1
chr1,933060,933171,3,"1,2,3",1,1,1
chr1,933568,935394,3,"1,2,3",1,1,1
chr1,935673,937882,3,"1,2,3",1,1,1
chr1,948189,950376,3,"1,2,3",1,1,1
chr1,954525,954776,3,"1,2,3",1,1,1
chr1,955002,955296,3,"1,2,3",1,1,1
chr1,955504,957793,3,"1,2,3",1,1,1
chr1,960359,960467,3,"1,2,3",1,1,1
chr1,993977,995602,3,"1,2,3",1,1,1
chr1,999296,999940,3,"1,2,3",1,1,1
chr1,1001891,1010326,3,"1,2,3",1,1,1
chr1,1014792,1016051,3,"1,2,3",1,1,1
chr1,1016385,1016585,3,"1,2,3",1,1,1
chr1,1049682,1053004,3,"1,2,3",1,1,1
chr1,1057322,1057980,3,"1,2,3",1,1,1
chr1,1059987,1060212,3,"1,2,3",1,1,1
chr1,1060379,1060746,3,"1,2,3",1,1,1
chr1,1067846,1067916,3,"1,2,3",1,1,1
chr1,1068253,1068578,3,"1,2,3",1,1,1
chr1,1071645,1071748,3,"1,2,3",1,1,1
chr1,1072004,1073357,3,"1,2,3",1,1,1
chr1,1136908,1137041,3,"1,2,3",1,1,1
chr1,1141143,1142326,3,"1,2,3",1,1,1
chr1,1143569,1144033,3,"1,2,3",1,1,1
chr1,1165555,1167424,3,"1,2,3",1,1,1
chr1,1167967,1168362,3,"1,2,3",1,1,1
chr1,1172934,1173335,3,"1,2,3",1,1,1
chr1,1207042,1207298,3,"1,2,3",1,1,1
chr1,1207473,1209179,3,"1,2,3",1,1,1
chr1,1209360,1210020,3,"1,2,3",1,1,1
chr1,1226379,1227286,3,"1,2,3",1,1,1
chr1,1240333,1240643,3,"1,2,3",1,1,1
chr1,1241691,1245932,3,"1,2,3",1,1,1
chr1,1258792,1259237,3,"1,2,3",1,1,1
chr1,1259504,1261459,3,"1,2,3",1,1,1
chr1,1282713,1284503,3,"1,2,3",1,1,1
chr1,1284995,1285369,3,"1,2,3",1,1,1
chr1,1308975,1311819,3,"1,2,3",1,1,1
chr1,1332982,1334676,3,"1,2,3",1,1,1
chr1,1334856,1336601,3,"1,2,3",1,1,1
chr1,1341083,1344204,3,"1,2,3",1,1,1
chr1,1370686,1371008,3,"1,2,3",1,1,1
chr1,1371252,1372217,3,"1,2,3",1,1,1
chr1,1405776,1407297,3,"1,2,3",1,1,1
chr1,1407529,1407726,3,"1,2,3",1,1,1
chr1,1408008,1408984,3,"1,2,3",1,1,1
chr1,1440205,1440869,3,"1,2,3",1,1,1
chr1,1446222,1447754,3,"1,2,3",1,1,1
chr1,1447910,1448110,3,"1,2,3",1,1,1
chr1,1448396,1448577,3,"1,2,3",1,1,1
chr1,1448944,1449293,3,"1,2,3",1,1,1
