chrom,start,end,num,list,ENCFF091VGF_MYC_sorted.bed,ENCFF283AYZ_MYC_sorted.bed,ENCFF592VGA_MYC_sorted.bed,ENCFF669YPX_MYC_sorted.bed,ENCFF777UUX_MYC_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778706,779205,2,"3,6",0,0,1,0,0,1
chr1,938145,938444,2,"2,6",0,1,0,0,0,1
chr1,959145,959436,3,"2,3,6",0,1,1,0,0,1
chr1,959436,959470,2,"3,6",0,0,1,0,0,1
chr1,960445,960694,2,"2,6",0,1,0,0,0,1
chr1,966772,966948,2,"3,6",0,0,1,0,0,1
chr1,966948,967263,3,"2,3,6",0,1,1,0,0,1
chr1,967263,967323,2,"3,6",0,0,1,0,0,1
chr1,1000463,1000736,2,"2,6",0,1,0,0,0,1
chr1,1000736,1000770,3,"2,3,6",0,1,1,0,0,1
chr1,1000770,1000885,4,"1,2,3,6",1,1,1,0,0,1
chr1,1006380,1006473,2,"3,6",0,0,1,0,0,1
chr1,1006473,1006568,3,"2,3,6",0,1,1,0,0,1
chr1,1006568,1006748,4,"2,3,5,6",0,1,1,0,1,1
chr1,1006748,1006871,3,"2,3,6",0,1,1,0,0,1
chr1,1013436,1013582,2,"2,6",0,1,0,0,0,1
chr1,1013859,1014210,2,"2,6",0,1,0,0,0,1
chr1,1019308,1019947,2,"2,6",0,1,0,0,0,1
chr1,1020052,1020297,2,"2,6",0,1,0,0,0,1
chr1,1058246,1058292,2,"3,6",0,0,1,0,0,1
chr1,1058292,1058644,3,"2,3,6",0,1,1,0,0,1
chr1,1058644,1058650,2,"3,6",0,0,1,0,0,1
chr1,1079480,1079700,2,"2,6",0,1,0,0,0,1
chr1,1080025,1080561,2,"2,6",0,1,0,0,0,1
chr1,1231445,1231765,2,"2,6",0,1,0,0,0,1
chr1,1231765,1232138,3,"2,3,6",0,1,1,0,0,1
chr1,1232138,1232169,2,"3,6",0,0,1,0,0,1
chr1,1238301,1238856,2,"2,6",0,1,0,0,0,1
chr1,1273886,1274009,2,"3,6",0,0,1,0,0,1
chr1,1274009,1274290,3,"2,3,6",0,1,1,0,0,1
chr1,1274290,1274298,2,"2,6",0,1,0,0,0,1
chr1,1281370,1281773,2,"3,6",0,0,1,0,0,1
chr1,1281773,1281774,3,"2,3,6",0,1,1,0,0,1
chr1,1281774,1281960,2,"2,6",0,1,0,0,0,1
chr1,1291895,1291962,2,"2,6",0,1,0,0,0,1
chr1,1305632,1305744,2,"2,6",0,1,0,0,0,1
chr1,1305744,1305911,3,"2,3,6",0,1,1,0,0,1
chr1,1306155,1306380,2,"3,6",0,0,1,0,0,1
chr1,1307929,1308160,2,"3,6",0,0,1,0,0,1
chr1,1308160,1308541,3,"2,3,6",0,1,1,0,0,1
chr1,1308541,1308719,2,"2,6",0,1,0,0,0,1
chr1,1324392,1324796,2,"3,6",0,0,1,0,0,1
chr1,1325029,1325418,2,"3,6",0,0,1,0,0,1
chr1,1347920,1348192,2,"2,6",0,1,0,0,0,1
chr1,1358457,1358574,2,"2,6",0,1,0,0,0,1
chr1,1358574,1358978,3,"2,3,6",0,1,1,0,0,1
chr1,1358978,1359074,2,"2,6",0,1,0,0,0,1
chr1,1359756,1360247,2,"2,6",0,1,0,0,0,1
chr1,1375059,1375078,2,"3,6",0,0,1,0,0,1
chr1,1375078,1375451,3,"2,3,6",0,1,1,0,0,1
chr1,1375451,1375463,2,"2,6",0,1,0,0,0,1
chr1,1399261,1399733,2,"2,6",0,1,0,0,0,1
chr1,1400788,1400830,2,"2,6",0,1,0,0,0,1
chr1,1400830,1401223,3,"2,3,6",0,1,1,0,0,1
chr1,1401223,1401234,2,"3,6",0,0,1,0,0,1
chr1,1407070,1407132,2,"2,6",0,1,0,0,0,1
chr1,1407132,1407250,3,"2,3,6",0,1,1,0,0,1
chr1,1407250,1407490,4,"1,2,3,6",1,1,1,0,0,1
chr1,1407490,1407536,3,"2,3,6",0,1,1,0,0,1
chr1,1407536,1407581,2,"2,6",0,1,0,0,0,1
chr1,1421282,1421565,2,"2,6",0,1,0,0,0,1
chr1,1425888,1426020,2,"3,6",0,0,1,0,0,1
chr1,1426020,1426161,3,"2,3,6",0,1,1,0,0,1
chr1,1426161,1426292,2,"3,6",0,0,1,0,0,1
chr1,1431850,1431945,2,"3,6",0,0,1,0,0,1
chr1,1431945,1432174,3,"2,3,6",0,1,1,0,0,1
chr1,1432174,1432254,2,"3,6",0,0,1,0,0,1
chr1,1433055,1433256,2,"2,6",0,1,0,0,0,1
chr1,1433256,1433521,3,"2,3,6",0,1,1,0,0,1
chr1,1433521,1433664,2,"3,6",0,0,1,0,0,1
chr1,1438089,1438357,2,"2,6",0,1,0,0,0,1
chr1,1440930,1440934,2,"3,6",0,0,1,0,0,1
chr1,1440934,1441178,3,"2,3,6",0,1,1,0,0,1
chr1,1471464,1471553,2,"2,6",0,1,0,0,0,1
chr1,1471553,1471614,3,"2,3,6",0,1,1,0,0,1
chr1,1471614,1471794,4,"2,3,5,6",0,1,1,0,1,1
chr1,1471794,1471920,3,"2,3,6",0,1,1,0,0,1
chr1,1471920,1471957,2,"3,6",0,0,1,0,0,1
chr1,1511737,1511831,2,"3,6",0,0,1,0,0,1
chr1,1511831,1512141,3,"2,3,6",0,1,1,0,0,1
chr1,1512141,1512160,2,"2,6",0,1,0,0,0,1
chr1,1574458,1574677,2,"2,6",0,1,0,0,0,1
chr1,1574771,1575067,2,"2,6",0,1,0,0,0,1
chr1,1615372,1615976,2,"2,6",0,1,0,0,0,1
chr1,1678830,1678960,2,"3,6",0,0,1,0,0,1
chr1,1678960,1679172,3,"2,3,6",0,1,1,0,0,1
chr1,1679172,1679197,2,"3,6",0,0,1,0,0,1
chr1,1724228,1724764,2,"2,6",0,1,0,0,0,1
chr1,1745599,1746096,2,"2,6",0,1,0,0,0,1
chr1,1778655,1778702,2,"3,6",0,0,1,0,0,1
chr1,1778702,1779184,3,"2,3,6",0,1,1,0,0,1
chr1,1779184,1779270,2,"3,6",0,0,1,0,0,1
chr1,1890973,1891295,2,"3,6",0,0,1,0,0,1
chr1,1906306,1906491,2,"2,6",0,1,0,0,0,1
chr1,1908554,1908951,2,"2,6",0,1,0,0,0,1
chr1,1908980,1909223,2,"2,6",0,1,0,0,0,1
chr1,1909242,1909460,2,"2,6",0,1,0,0,0,1
chr1,1918895,1919059,2,"2,6",0,1,0,0,0,1
chr1,1919597,1919873,2,"2,6",0,1,0,0,0,1
chr1,1923066,1923320,2,"2,6",0,1,0,0,0,1
chr1,2047261,2047329,2,"2,6",0,1,0,0,0,1
chr1,2047329,2047541,3,"2,3,6",0,1,1,0,0,1
chr1,2049457,2049726,3,"2,3,6",0,1,1,0,0,1
chr1,2049726,2050239,2,"3,6",0,0,1,0,0,1
chr1,2134857,2135053,2,"2,6",0,1,0,0,0,1
chr1,2189629,2189699,2,"2,6",0,1,0,0,0,1
chr1,2189699,2190103,3,"2,3,6",0,1,1,0,0,1
chr1,2190103,2190260,2,"2,6",0,1,0,0,0,1
