chrom,start,end,num,list,ENCFF148BUA_RFX5_sorted.bed,ENCFF752PVS_RFX5_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,778566,778633,2,"2,3",0,1,1
chr1,778633,778767,3,"1,2,3",1,1,1
chr1,778767,778926,2,"2,3",0,1,1
chr1,1000710,1000752,2,"2,3",0,1,1
chr1,1000752,1000885,3,"1,2,3",1,1,1
chr1,1273632,1273992,2,"2,3",0,1,1
chr1,1375385,1375689,2,"1,3",1,0,1
chr1,1471468,1471541,2,"2,3",0,1,1
chr1,1471541,1471828,3,"1,2,3",1,1,1
chr1,1471828,1471845,2,"1,3",1,0,1
chr1,1511913,1511931,2,"2,3",0,1,1
chr1,1511931,1512235,3,"1,2,3",1,1,1
chr1,1512235,1512273,2,"2,3",0,1,1
chr1,1615190,1615216,2,"2,3",0,1,1
chr1,1615216,1615435,3,"1,2,3",1,1,1
chr1,1615435,1615454,2,"2,3",0,1,1
chr1,2050033,2050060,2,"2,3",0,1,1
chr1,2050060,2050381,3,"1,2,3",1,1,1
chr1,2050381,2050387,2,"2,3",0,1,1
chr1,2189572,2189876,2,"1,3",1,0,1
chr1,2214853,2214889,2,"2,3",0,1,1
chr1,2214889,2215193,3,"1,2,3",1,1,1
chr1,2215193,2215213,2,"2,3",0,1,1
chr1,2227659,2228010,2,"2,3",0,1,1
chr1,2391393,2391753,2,"2,3",0,1,1
chr1,2412437,2412741,2,"1,3",1,0,1
chr1,2578281,2578347,2,"2,3",0,1,1
chr1,2578347,2578651,3,"1,2,3",1,1,1
chr1,2578651,2578715,2,"2,3",0,1,1
chr1,5992305,5992355,2,"2,3",0,1,1
chr1,5992355,5992659,3,"1,2,3",1,1,1
chr1,5992659,5992665,2,"2,3",0,1,1
chr1,6579815,6580119,2,"1,3",1,0,1
chr1,6604121,6604142,2,"2,3",0,1,1
chr1,6604257,6604482,2,"2,3",0,1,1
chr1,6784896,6785035,2,"2,3",0,1,1
chr1,6785035,6785339,3,"1,2,3",1,1,1
chr1,6785339,6785490,2,"2,3",0,1,1
chr1,7704451,7704484,2,"2,3",0,1,1
chr1,7704484,7704794,3,"1,2,3",1,1,1
chr1,7704794,7704828,2,"2,3",0,1,1
chr1,9428833,9429137,2,"1,3",1,0,1
chr1,9539245,9539263,2,"1,3",1,0,1
chr1,9539263,9539549,3,"1,2,3",1,1,1
chr1,9539549,9539623,2,"2,3",0,1,1
chr1,9593425,9593521,2,"2,3",0,1,1
chr1,9593521,9593630,3,"1,2,3",1,1,1
chr1,9593630,9593734,2,"2,3",0,1,1
chr1,9943260,9943601,2,"2,3",0,1,1
chr1,10032511,10032871,2,"2,3",0,1,1
chr1,10210089,10210278,2,"1,3",1,0,1
chr1,10210278,10210638,3,"1,2,3",1,1,1
chr1,10210638,10210667,2,"1,3",1,0,1
chr1,10398595,10398955,2,"2,3",0,1,1
chr1,11478680,11479036,2,"2,3",0,1,1
chr1,11980248,11980552,2,"1,3",1,0,1
chr1,12019115,12019138,2,"2,3",0,1,1
chr1,12019138,12019442,3,"1,2,3",1,1,1
chr1,12019442,12019443,2,"2,3",0,1,1
chr1,15409439,15409633,2,"1,3",1,0,1
chr1,15603451,15603472,2,"2,3",0,1,1
chr1,15603472,15603776,3,"1,2,3",1,1,1
chr1,15603776,15603811,2,"2,3",0,1,1
chr1,15800775,15800828,2,"2,3",0,1,1
chr1,15835689,15836049,2,"2,3",0,1,1
chr1,15849364,15849617,3,"1,2,3",1,1,1
chr1,15849617,15849757,2,"1,3",1,0,1
chr1,16155970,16156274,2,"1,3",1,0,1
chr1,16236394,16236435,2,"2,3",0,1,1
chr1,16236435,16236711,3,"1,2,3",1,1,1
chr1,16236711,16236728,2,"2,3",0,1,1
chr1,16237055,16237359,2,"1,3",1,0,1
chr1,16613445,16613805,2,"2,3",0,1,1
chr1,16644574,16644623,2,"1,3",1,0,1
chr1,16644623,16644878,3,"1,2,3",1,1,1
chr1,16644878,16644983,2,"2,3",0,1,1
