chrom,start,end,num,list,ENCFF043BDQ_ELK1_sorted.bed,ENCFF161GMM_ELK1_sorted.bed,ENCFF246GYO_ELK1_sorted.bed,ENCFF687ZYR_ELK1_sorted.bed,../ATAC-seq/consensuspeaks_all_targets_10kb_sorted.bed
chr1,959165,959407,2,"1,5",1,0,0,0,1
chr1,1000478,1000543,2,"2,5",0,1,0,0,1
chr1,1000706,1000904,2,"2,5",0,1,0,0,1
chr1,1157741,1157795,2,"2,5",0,1,0,0,1
chr1,1231868,1232355,2,"4,5",0,0,0,1,1
chr1,1307881,1307957,3,"2,3,5",0,1,1,0,1
chr1,1307957,1307961,4,"1,2,3,5",1,1,1,0,1
chr1,1307961,1308281,5,"1,2,3,4,5",1,1,1,1,1
chr1,1308281,1308291,4,"2,3,4,5",0,1,1,1,1
chr1,1308291,1308310,3,"2,3,5",0,1,1,0,1
chr1,1308310,1308411,2,"3,5",0,0,1,0,1
chr1,1324560,1325071,2,"4,5",0,0,0,1,1
chr1,1375095,1375150,2,"4,5",0,0,0,1,1
chr1,1375150,1375628,3,"1,4,5",1,0,0,1,1
chr1,1375628,1375673,2,"1,5",1,0,0,0,1
chr1,1399248,1399279,2,"2,5",0,1,0,0,1
chr1,1399373,1399678,2,"1,5",1,0,0,0,1
chr1,1407142,1407192,2,"1,5",1,0,0,0,1
chr1,1407192,1407466,3,"1,4,5",1,0,0,1,1
chr1,1407466,1407522,2,"4,5",0,0,0,1,1
chr1,1511881,1512211,2,"4,5",0,0,0,1,1
chr1,1574495,1574794,3,"2,4,5",0,1,0,1,1
chr1,1574794,1575022,4,"1,2,4,5",1,1,0,1,1
chr1,1575022,1575056,3,"1,4,5",1,0,0,1,1
chr1,1575056,1575082,2,"1,5",1,0,0,0,1
chr1,1615219,1615270,2,"4,5",0,0,0,1,1
chr1,1615270,1615549,3,"1,4,5",1,0,0,1,1
chr1,1615549,1615594,2,"1,5",1,0,0,0,1
chr1,1615725,1615938,2,"2,5",0,1,0,0,1
chr1,1659029,1659353,2,"1,5",1,0,0,0,1
chr1,1724301,1724631,2,"4,5",0,0,0,1,1
chr1,1908926,1909256,2,"4,5",0,0,0,1,1
chr1,2180325,2180764,2,"2,5",0,1,0,0,1
chr1,2391571,2391611,2,"4,5",0,0,0,1,1
